"","var","cat","value","value2","class"
"1","Sex",1,24791.9792886577,-0.176160791574787,"Male"
"2","Sex",2,24952.4593345763,0.470005216932165,"Female"
"3","Birth_Area",1,24922.1826461219,0.348097431965144,"Local"
"4","Birth_Area",3,24285.9893772536,-2.21350742570156,"Other"
"5","Father_Occ",0,24488.3410906011,-1.39874694766293,"Dead/unknown/not working"
"6","Father_Occ",1,29078.0730477855,17.081611541236,"Manager"
"7","Father_Occ",2,27552.7997035422,10.9401639669272,"Professional"
"8","Father_Occ",3,26901.0874671571,8.31607265345812,"Technician"
"9","Father_Occ",4,25621.5964085089,3.16425688998058,"Clerical"
"10","Father_Occ",5,25186.9030069549,1.41398258890685,"Service"
"11","Father_Occ",6,24047.7905007315,-3.17260496578577,"Agriculture"
"12","Father_Occ",7,23632.8861905445,-4.84319934087613,"Craft/Trades"
"13","Father_Occ",8,24093.5533940622,-2.98834264237986,"Plant Operator"
"14","Father_Occ",9,23557.9442256394,-5.14494994205016,"Elementary"
"15","Father_Occ",10,27816.7856702309,12.0030921174064,"Armed forces"
"16","Mother_Occ",0,24057.266366465,-3.13445079962055,"Dead/unknown/not working"
"17","Mother_Occ",1,27893.0378472578,12.3101182313847,"Manager"
"18","Mother_Occ",2,27558.1782872701,10.9618206031709,"Professional"
"19","Mother_Occ",3,27000.3314594667,8.71567432363422,"Technician"
"20","Mother_Occ",4,25808.191239163,3.91557295698209,"Clerical"
"21","Mother_Occ",5,23549.0527243027,-5.18075119008378,"Service"
"22","Mother_Occ",6,25138.7907605126,1.22026069615715,"Agriculture"
"23","Mother_Occ",7,23406.0648811314,-5.75648559592955,"Craft/Trades"
"24","Mother_Occ",8,24046.7887968403,-3.17663828345684,"Plant Operator"
"25","Mother_Occ",9,23061.7900543449,-7.14269339130162,"Elementary"
"26","Mother_Occ",10,25900.270176863,4.28632484267997,"Armed forces"
"27","Mother_Edu",0,24804.8331647462,-0.124405211879832,"Unknown"
"28","Mother_Edu",1,23989.819956872,-3.4060208694406,"Basic"
"29","Mother_Edu",2,24097.9173926084,-2.97077118976989,"Primary"
"30","Mother_Edu",3,24807.4115409503,-0.114023490895832,"Lower Secondary"
"31","Mother_Edu",4,25160.8797373072,1.30920101198049,"Upper Secondary"
"32","Mother_Edu",5,28058.3948311426,12.9759210210334,"Post Secondary"
"33","Mother_Edu",6,26450.8949974039,6.50339202032886,"Tertiary"
"34","Father_Edu",0,24638.2399908047,-0.795185467668674,"Unknown"
"35","Father_Edu",1,24275.5033120569,-2.25572911659319,"Basic"
"36","Father_Edu",2,24436.4801901802,-1.60756263456466,"Primary"
"37","Father_Edu",3,24496.236946386,-1.36695462365734,"Lower Secondary"
"38","Father_Edu",4,25695.0444473856,3.45999226220044,"Upper Secondary"
"39","Father_Edu",5,27557.074959039,10.9573780994623,"Post Secondary"
"40","Father_Edu",6,27473.8758647133,10.6223805215138,"Tertiary"
