"","var","cat","value","value2","class"
"1","Sex",1,59842.98849851,-2.44954490470448,"Female"
"2","Sex",2,62433.3902977401,1.77308636313174,"Male"
"3","Ethnicity",1,61689.9904966128,0.56126538397848,"Ahmadis Muslim"
"4","Ethnicity",2,59958.8375455604,-2.26069859963727,"Anglican"
"5","Ethnicity",3,58905.7559072667,-3.97733400915739,"Catholic"
"6","Ethnicity",4,73375.7928536147,19.6103698268088,"Methodist"
"7","Ethnicity",5,61287.7769399482,-0.0943856201338349,"Other"
"8","Ethnicity",6,59017.3281155427,-3.79545940753081,"Other Christian"
"9","Ethnicity",7,58734.90109572,-4.255845578178,"Other Muslim"
"10","Ethnicity",8,56947.9126243993,-7.16882741617097,"Pentecostal"
"11","Ethnicity",9,60993.8884214314,-0.573455256325246,"Seventh-day Advenstist"
"12","Ethnicity",10,63581.8982527296,3.64527684861493,"Shite Muslim"
"13","Ethnicity",11,62155.042081698,1.31934907775957,"Sunni Muslim"
"14","Father_Occ",1,70651.3290618346,15.1692032098472,"Accomodation and food service activities"
"15","Father_Occ",2,79206.4955851229,29.1150372783378,"Administrative activities"
"16","Father_Occ",3,58671.9592847845,-4.35844744441714,"Agriculture, foresting, fishing"
"17","Father_Occ",4,57818.2313760436,-5.7501150084009,"Construction"
"18","Father_Occ",5,64669.8754777769,5.41879578708388,"Education"
"19","Father_Occ",6,60748.4868784906,-0.973485949905452,"Manufacturing"
"20","Father_Occ",7,75105.0263812655,22.4292049455225,"Professional"
"21","Father_Occ",8,84908.3449640977,38.409660019608,"Social and financial activities"
"22","Father_Occ",9,79336.7042541584,29.3272912990754,"Wholesale and transportation"
"23","Mother_Occ",1,81166.2972911428,32.3097231240077,"Accomodation and food service activities"
"24","Mother_Occ",2,74015.4606573827,20.6530965844963,"Administrative activities"
"25","Mother_Occ",3,56110.8820034211,-8.53327661989263,"Agriculture, foresting, fishing"
"26","Mother_Occ",4,62288.3458498208,1.53664844018404,"Construction"
"27","Mother_Occ",5,71697.2816193557,16.8742174572025,"Education"
"28","Mother_Occ",6,63344.1165085149,3.25766723981226,"Manufacturing"
"29","Mother_Occ",7,57214.5226265661,-6.73422467160746,"Professional"
"30","Mother_Occ",8,83103.0195537355,35.4667870148562,"Social and financial activities"
"31","Mother_Occ",9,73468.5083208377,19.7615059289473,"Wholesale and transportation"
"32","Mother_Edu",1,59735.6531077723,-2.62451304177453,"No school"
"33","Mother_Edu",2,60090.2690921984,-2.0464511579551,"Primary incomplete"
"34","Mother_Edu",3,67909.7322428795,10.7001079308984,"Primary complete"
"35","Mother_Edu",4,67627.0676553388,10.2393344995279,"Junior Secondary incomplete"
"36","Mother_Edu",5,73598.9541958433,19.9741466207206,"Junior Secondary complete"
"37","Mother_Edu",6,72445.9849889772,18.0946838187675,"Senior Secondary incomplete"
"38","Mother_Edu",7,89969.189408367,46.6593763371221,"Senior Secondary complete"
"39","Mother_Edu",8,82282.8349401977,34.129798600336,"Vocational"
"40","Mother_Edu",9,82909.1134965251,35.1506994563769,"Post-secondary professional"
"41","Mother_Edu",10,95237.7629738085,55.2477132819701,"First degree or more"
"42","Father_Edu",1,60052.5453592906,-2.10794486683196,"No school"
"43","Father_Edu",2,64333.4196449165,4.87033688757863,"Primary incomplete"
"44","Father_Edu",3,71529.0981825363,16.6000605139603,"Primary complete"
"45","Father_Edu",4,59963.4701542093,-2.25314695334889,"Junior Secondary incomplete"
"46","Father_Edu",5,60454.3840219954,-1.45290497986656,"Junior Secondary complete"
"47","Father_Edu",6,64793.2271062536,5.61987210022536,"Senior Secondary incomplete"
"48","Father_Edu",7,65786.7601914617,7.23943701578256,"Senior Secondary complete"
"49","Father_Edu",8,64911.6308900439,5.81288289870898,"Vocational"
"50","Father_Edu",9,64674.1552652983,5.42577229729667,"Post-secondary professional"
"51","Father_Edu",10,71768.5733134412,16.9904305237128,"First degree or more"
