"","var","cat","value","value2","class"
"1","Sex",0,1425.81723732729,1.97787186392254,"Female"
"2","Sex",1,1445.65303863028,3.39657599418432,"Male"
"3","Ethnicity",1,1726.60573174696,23.4909871069179,"TETUM"
"4","Ethnicity",2,1435.58521417974,2.67650101901421,"BAEQUENO"
"5","Ethnicity",3,1373.22198626077,-1.78386676112444,"BUNAK"
"6","Ethnicity",4,1461.02153066369,4.49576744053194,"FATALUCU"
"7","Ethnicity",5,1510.89895962701,8.06312090390958,"GALOLEN"
"8","Ethnicity",6,1369.39438262533,-2.05762616230295,"ISNI"
"9","Ethnicity",7,1419.81808403513,1.54879801791814,"KAKLUN BIKELI"
"10","Ethnicity",8,1400.66205376508,0.178712743901897,"KEMAK"
"11","Ethnicity",9,1261.95025808451,-9.74228789741706,"LAKLEI"
"12","Ethnicity",10,1812.35970558581,29.6243171909007,"MACALERO"
"13","Ethnicity",11,1550.19644007094,10.8737710492242,"MACASAE"
"14","Ethnicity",12,1447.89678305247,3.55705398195958,"MANGILIH"
"15","Ethnicity",13,1316.93547991955,-5.80961282525045,"MAMBAE"
"16","Ethnicity",14,1358.32507833476,-2.84932937994859,"MIDIKI"
"17","Ethnicity",15,1367.12618262911,-2.21985327144512,"NAUETI"
"18","Ethnicity",16,1133.71283418248,-18.914136322644,"SA ANI"
"19","Ethnicity",17,1360.34664862232,-2.70474181967025,"TETUM TERIK"
"20","Ethnicity",18,1155.8349500971,-17.3319094824569,"TOKODETE"
"21","Ethnicity",19,1320.83263897138,-5.53087865370513,"UAIMUA"
"22","Ethnicity",21,2441.18101678001,74.5991270188914,"BAHASA INDONESIA"
"23","Ethnicity",22,931.187943550212,-33.3992027150704,"PORTUGUESE"
"24","Ethnicity",23,3884.49678007211,177.828535469643,"INGGRIS"
"25","Ethnicity",24,914.08378003944,-34.6225335524158,"DOES NOT SPEAK YET"
"26","Ethnicity",25,1722.86790928011,23.2236490704605,"OTHER (SPECIFY___)"
"27","Mother_Edu",1,1199.48725130245,-14.2097921013901,"PRE-SCHOOL"
"28","Mother_Edu",2,1459.68964200169,4.40050756587529,"PRIMARY"
"29","Mother_Edu",3,1801.05512044679,28.8157861221202,"PRE-SECONDARY"
"30","Mother_Edu",4,1579.89871195894,12.9981488427903,"SECONDARY"
"31","Mother_Edu",5,2344.73020160603,67.7007331620321,"ACADEMY"
"32","Mother_Edu",6,4130.16212743593,195.399110897554,"UNIVERSITY"
"33","Mother_Edu",7,1743.91512842987,24.7289967134511,"VOCATIONAL"
"34","Mother_Edu",9,1513.96859393829,8.28266851931922,"NO EDUCATION, LITERATE"
"35","Mother_Edu",10,1434.28121921582,2.58323616861087,"NO EDUCATION, ILITERATE"
"36","Mother_Edu",11,1275.72269180523,-8.75725037335269,"DON'T KNOW"
"37","Father_Edu",1,1533.0905404308,9.65031603973864,"PRE-SCHOOL"
"38","Father_Edu",2,1755.00513241819,25.5221804231751,"PRIMARY"
"39","Father_Edu",3,1676.34540788964,19.8962480814812,"PRE-SECONDARY"
"40","Father_Edu",4,1701.82487813233,21.7186009634261,"SECONDARY"
"41","Father_Edu",5,1336.84806384755,-4.38541701731103,"ACADEMY"
"42","Father_Edu",6,2893.26121984317,106.932988479712,"UNIVERSITY"
"43","Father_Edu",7,1134.99434094728,-18.8224798822301,"VOCATIONAL"
"44","Father_Edu",8,1566.41059811658,12.0334465590109,"NON-FORMAL"
"45","Father_Edu",9,2094.17670625221,49.7805456545886,"NO EDUCATION, LITERATE"
"46","Father_Edu",10,1396.87642332997,-0.0920446332216898,"NO EDUCATION, ILITERATE"
"47","Father_Edu",11,1650.58971550217,18.0541391285981,"DON'T KNOW"
"48","Birth_Area",1,1628.59529456943,16.4810453400808,"Urban"
"49","Birth_Area",2,1359.31544942474,-2.77849566194656,"Rural"
