"","var","cat","value","value2","class"
"1","Sex",0,3010.8479201412,-2.32830826519337,"Female"
"2","Sex",1,3153.92607891802,2.31313699829816,"Male"
"3","Ethnicity",1,3269.63885047701,6.06685105269668,"Muslim"
"4","Ethnicity",2,3004.23863833757,-2.54271289539543,"Catholic"
"5","Ethnicity",3,3509.80879959422,13.85794706828,"Lutherans"
"6","Ethnicity",4,2921.24806225643,-5.23492126290111,"Other protestants"
"7","Ethnicity",5,2874.84153772574,-6.74034560802481,"Other christians"
"8","Ethnicity",6,3324.54539274331,7.84801536677006,"Traditionalist"
"9","Ethnicity",7,2927.571625994,-5.02978530637871,"Agnostic/athiest"
"10","Mother_Edu",1,2819.73069488947,-8.52813741801326,"No school"
"11","Mother_Edu",2,3175.86202056691,3.02473738047331,"Some primary"
"12","Mother_Edu",3,3627.19401497051,17.6659150807991,"Completed primary"
"13","Mother_Edu",4,3739.8694711579,21.3210988412253,"Some secondary"
"14","Mother_Edu",5,4106.65162734813,33.2194858217141,"Completed secondary"
"15","Mother_Edu",6,4954.64963898902,60.7284808229741,"More than secondary"
"16","Father_Edu",1,2884.37470221912,-6.43109043195749,"No school"
"17","Father_Edu",2,3132.97972653753,1.63363882139275,"Some primary"
"18","Father_Edu",3,3117.47681399536,1.13072544450606,"Completed primary"
"19","Father_Edu",4,3538.60756466491,14.7921769526628,"Some secondary"
"20","Father_Edu",5,3796.87884926482,23.1704789999519,"Completed secondary"
"21","Father_Edu",6,6741.14257673981,118.682184274798,"More than secondary"
"22","Birth_Area",1,2698.17908144932,-12.4712630864922,"Dodoma"
"23","Birth_Area",2,3481.30199050854,12.9331882152228,"Arusha"
"24","Birth_Area",3,4910.66111990855,59.3014964021546,"Kilimanjaro"
"25","Birth_Area",4,3047.04115038924,-1.15420245798011,"Tanga"
"26","Birth_Area",5,3177.05436245954,3.06341686640819,"Morogoro"
"27","Birth_Area",6,3575.79956349493,15.9986827414232,"Pwani"
"28","Birth_Area",7,4238.41318227021,37.4938212634872,"Dar es Salaam"
"29","Birth_Area",8,2791.43225473355,-9.44613679785428,"Lindi"
"30","Birth_Area",9,2847.86806438961,-7.615363158755,"Mtwara"
"31","Birth_Area",10,2204.48551623701,-28.4866471217685,"Ruvuma"
"32","Birth_Area",11,3020.75720862362,-2.00685165375458,"Iringa"
"33","Birth_Area",12,2875.50684540875,-6.71876307425116,"Mbeya"
"34","Birth_Area",13,2856.65518812908,-7.33030949152219,"Singida"
"35","Birth_Area",14,3122.28616383527,1.28674041021264,"Tabora"
"36","Birth_Area",15,2395.3477603807,-22.2950895379031,"Rukwa"
"37","Birth_Area",16,2323.38974189763,-24.6294025239923,"Kigoma"
"38","Birth_Area",17,2919.70900316794,-5.28484822993497,"Shinyanga"
"39","Birth_Area",18,3478.50218195635,12.8423626255289,"Kagera"
"40","Birth_Area",19,3052.69433675161,-0.970813495684524,"Mwanza"
"41","Birth_Area",20,3633.76613191274,17.8791140855487,"Mara"
"42","Birth_Area",21,2511.06606193335,-18.5411960909048,"Manyara"
"43","Birth_Area",22,3028.05388607235,-1.7701479578643,"Unguja(North, South, West)"
"44","Birth_Area",23,2697.15539963293,-12.504471251586,"Pemba(North, South)"
