"","var","cat","value","value2","class"
"1","Sex",0,44284.1263262884,-3.53199876710447,"Female"
"2","Sex",1,48159.2225252358,4.90946357864203,"Male"
"3","Ethnicity",1,49630.6486647461,8.11480035314507,"White"
"4","Ethnicity",2,35380.3659571339,-22.9278418721567,"Black"
"5","Ethnicity",3,41109.7931146508,-10.4469275593678,"Am. Indian, Aleut, Eskimo"
"6","Ethnicity",4,54300.2613357658,18.2870277012923,"Asian, Pac. Islander"
"7","Ethnicity",5,48654.3617966051,5.98806893463275,"Hispanic"
"8","Ethnicity",7,53446.4997644759,16.4272038965963,"Other"
"9","Father_Occ",1,43347.1744155323,-5.57304339370552,"Low"
"10","Father_Occ",2,44078.2598595919,-3.98045576988626,"Middle"
"11","Father_Occ",3,51022.1122432508,11.1459476590148,"High"
"12","Mother_Occ",1,45407.1822768304,-1.08554736771939,"Low"
"13","Mother_Occ",2,43238.078495404,-5.81069661689193,"Middle"
"14","Mother_Occ",3,48306.0859829085,5.22938914545686,"High"
"15","Mother_Edu",1,48634.5788146631,5.94497392780544,"0-5 Grades"
"16","Mother_Edu",2,45469.5830888535,-0.949614199097681,"6-8 Grades"
"17","Mother_Edu",3,41229.3477309365,-10.1864912399006,"9-11 Grades"
"18","Mother_Edu",4,44404.3840926077,-3.27003071417113,"Grades/High school"
"19","Mother_Edu",5,45112.4266681096,-1.7276393944646,"12 Grades + non academic training"
"20","Mother_Edu",6,47384.6211300114,3.22208133700228,"College, no degree"
"21","Mother_Edu",7,49091.9594710183,6.94132637689933,"College degree"
"22","Mother_Edu",8,49216.1562997254,7.21187523534481,"Advanced college"
"23","Father_Edu",1,46491.3023528915,1.2760865970899,"0-5 Grades"
"24","Father_Edu",2,41761.2915567525,-9.02771129092854,"6-8 Grades"
"25","Father_Edu",3,40170.2357909264,-12.4936477858347,"9-11 Grades"
"26","Father_Edu",4,43669.6934728082,-4.87047180889691,"Grades/High school"
"27","Father_Edu",5,43581.7881281677,-5.06196374062587,"12 Grades + non academic training"
"28","Father_Edu",6,48054.3180219964,4.6809408869382,"College, no degree"
"29","Father_Edu",7,51729.3424728567,12.6865693743192,"College degree"
"30","Father_Edu",8,54021.0191859627,17.678730004438,"Advanced college"
"31","Birth_Area",1,49312.3436407827,7.42140856716073,"Northeast"
"32","Birth_Area",2,44553.8938468821,-2.9443404870816,"North central"
"33","Birth_Area",3,44831.6876984221,-2.33919774551767,"South"
"34","Birth_Area",4,46066.9328740217,0.351645294823157,"West"
"35","Birth_Area",5,49041.3780803176,6.83114049167889,"Alaska, Hawaii"
"36","Birth_Area",6,48578.8573777794,5.82359102860615,"Foreign country"
