"","var","cat","value","value2","class"
"1","Sex",1,1739.50458886837,1.1170392401752,"Male"
"2","Sex",3,1648.0649535975,-4.19832770220638,"Female"
"3","Ethnicity",1,1638.31846031886,-4.7648893253356,"Islam"
"4","Ethnicity",2,1877.56781141888,9.14262559482052,"Protestant"
"5","Ethnicity",3,2198.01950037315,27.7704154919711,"Catholic"
"6","Ethnicity",4,2081.52903120944,20.9988487959635,"Hinduism"
"7","Ethnicity",5,2791.22263459711,62.2531900615631,"Buddhism"
"8","Ethnicity",6,3050.97106835998,77.3523123849258,"Other"
"9","Birth_Area",1,1590.89247777207,-7.52175180726074,"Village"
"10","Birth_Area",3,1908.01137746841,10.9123037448756,"Small Town"
"11","Birth_Area",5,2135.78458743124,24.1527129723414,"Big City"
"12","Birth_Area",8,1800.77306067189,4.67856273783528,"Don't Know"
"13","Birth_Area",9,5952.56661458411,246.02145679778,"No data"
"14","Father_Occ",1,1648.36328284371,-4.18098588529594,"Working"
"15","Father_Occ",2,1047.97786808864,-39.0812649253826,"Job Searching"
"16","Father_Occ",3,2069.20576030205,20.2824996262724,"In education"
"17","Father_Occ",4,2148.43880653494,24.8883000917148,"Housekeeping"
"18","Father_Occ",5,1855.35769876388,7.85155637474693,"Retired"
"19","Father_Occ",6,1721.14426131232,0.0497572256129075,"Stayed at home"
"20","Father_Occ",7,1693.1194893492,-1.57931692827349,"Sick/Disabled"
"21","Father_Occ",8,3262.04473110158,89.6219804125877,"Other"
"22","Father_Occ",98,1711.00785356804,-0.539470044146668,"Does not know"
"23","Father_Occ",99,2040.41145875673,18.6086928781418,"No info"
"24","Mother_Occ",1,1663.44001776756,-3.30457842614635,"Working"
"25","Mother_Occ",2,1254.72138524162,-27.0633073583896,"Job Searching"
"26","Mother_Occ",3,2083.23800572823,21.0981911285923,"In education"
"27","Mother_Occ",4,1680.42014513978,-2.31752716063829,"Housekeeping"
"28","Mother_Occ",5,1776.0993310975,3.24428397965271,"Retired"
"29","Mother_Occ",6,1759.47480963993,2.27790401185516,"Stayed at home"
"30","Mother_Occ",7,1665.06752276234,-3.20997189996982,"Sick/Disabled"
"31","Mother_Occ",8,-1051.17720292084,-161.104711741676,"Other"
"32","Mother_Occ",98,1593.12783198248,-7.39181113285512,"Does not know"
"33","Mother_Occ",99,1663.44001776756,-3.30457842614635,"No info"
"34","Mother_Edu",1,1573.07093629452,-8.55771429936199,"Unschooled"
"35","Mother_Edu",2,1641.88098121857,-4.55780072786074,"Elementary"
"36","Mother_Edu",3,2053.8483742573,19.3897779759527,"Jr High - General"
"37","Mother_Edu",4,2406.61108625691,39.8958009091486,"Jr High - Vocational"
"38","Mother_Edu",5,2735.58397782338,59.0189265383379,"Sr High - General"
"39","Mother_Edu",6,2320.17683397434,34.8713958367613,"Sr High - Vocational"
"40","Mother_Edu",7,1509.4873573471,-12.2538144928314,"Madura"
"41","Mother_Edu",8,5315.29914203736,208.977231424442,"College"
"42","Mother_Edu",10,1938.65925588672,12.6938585303494,"Other"
"43","Mother_Edu",11,1636.1867266186,-4.888806561081,"Adult Education (A)"
"44","Mother_Edu",13,2403.24987255883,39.7004142573525,"Open University"
"45","Mother_Edu",14,3421.76279824802,98.90635837075,"Islamic School (pesantren)"
"46","Mother_Edu",60,6628.742564937,285.327423877508,"College D1-D3"
"47","Mother_Edu",61,8531.07059826581,395.909356011951,"University S1"
"48","Mother_Edu",62,1825.49864716181,6.11585592771029,"University S2"
"49","Mother_Edu",63,988.595468648535,-42.5331514296123,"University S3"
"50","Mother_Edu",70,1784.04762402559,3.70631659114721,"Madrasah General"
"51","Mother_Edu",72,1407.57388742074,-18.1780232610017,"Islamic Elementary School"
"52","Mother_Edu",73,1858.13206514909,8.01282971454481,"Islamic Junior/Highschool"
"53","Mother_Edu",74,3109.40040878187,80.748797767043,"Islamic Senior Highschool"
"54","Father_Edu",1,1531.74026815566,-10.9602574250107,"Unschooled"
"55","Father_Edu",2,1667.73240539259,-3.05506282803221,"Elementary"
"56","Father_Edu",3,2121.02241043499,23.2945906999704,"Jr High - General"
"57","Father_Edu",4,1717.25118184236,-0.176546672662852,"Jr High - Vocational"
"58","Father_Edu",5,2030.19521046103,18.0148244937674,"Sr High - General"
"59","Father_Edu",6,1871.79692401931,8.80716511292987,"Sr High - Vocational"
"60","Father_Edu",7,2020.24149459101,17.4362170645861,"Madura"
"61","Father_Edu",8,1089.70696938038,-36.6555609635897,"College"
"62","Father_Edu",10,1531.74026815566,-10.9602574250107,"Other"
"63","Father_Edu",11,2024.16192138075,17.664110656861,"Adult Education (A)"
"64","Father_Edu",12,3177.76401716927,84.7227600757057,"Adult Education (B)"
"65","Father_Edu",13,1437.53936462349,-16.4361363159764,"Open University"
"66","Father_Edu",14,1826.2625664146,6.16026239467503,"Islamic School (pesantren)"
"67","Father_Edu",60,1224.93034266469,-28.7950544549676,"College D1-D3"
"68","Father_Edu",61,5574.38146991806,224.037633151689,"University S1"
"69","Father_Edu",62,2064.76927050759,20.0246073990797,"University S2"
"70","Father_Edu",63,1295.87473202747,-24.6710718860377,"University S3"
"71","Father_Edu",70,2334.10969244169,35.6813099958767,"Madrasah General"
"72","Father_Edu",72,1889.26311690179,9.82247126525372,"Islamic Elementary School"
"73","Father_Edu",73,1664.36600955751,-3.25075071637205,"Islamic Junior/Highschool"
"74","Father_Edu",74,1531.74026815566,-10.9602574250107,"Islamic Senior Highschool"
