Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
AT,2011,exante,5,0.881,8.89,Local,,"Unknown,Low,Medium","Dead/Unknown/Not Working,Elementary,Armed Forces",,,
AT,2011,exante,6,0.979,35.17,Local,,"Unknown,Low,Medium","Manager,Service,Agriculture,Craft/Trades,Plant Operator",,,
AT,2011,exante,7,1.173,4.5,Local,,"Unknown,Low,Medium","Professional,Technician,Clerical",,,
AT,2011,exante,10,0.876,1.02,"European Union,Other",,"Unknown,Low,Medium","Dead/Unknown/Not Working,Manager,Professional","Dead/Unknown/Not Working,Professional,Technician,Agriculture,Plant Operator,Elementary",,
AT,2011,exante,11,0.686,7.87,"European Union,Other",,"Unknown,Low,Medium","Technician,Clerical,Service,Agriculture,Craft/Trades,Plant Operator,Elementary,Armed Forces","Dead/Unknown/Not Working,Professional,Technician,Agriculture,Plant Operator,Elementary",,
AT,2011,exante,12,0.888,1.58,"European Union,Other",,"Unknown,Low,Medium",,"Clerical,Service,Craft/Trades",,
AT,2011,exante,16,1.115,24.36,Local,"Unknown,Low,Medium,High",High,"Dead/Unknown/Not Working,Technician,Clerical,Service,Agriculture,Craft/Trades,Plant Operator,Elementary,Armed Forces",,,
AT,2011,exante,17,1.281,4.87,Local,,High,"Dead/Unknown/Not Working,Technician,Clerical,Service,Agriculture,Craft/Trades,Plant Operator,Elementary,Armed Forces",,,
AT,2011,exante,18,1.294,5.93,Local,,High,"Manager,Professional",,,
AT,2011,exante,19,0.885,5.82,"European Union,Other",,High,,,,
