Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
CHI,2014,exante,5,0.752,43.58,"Hebei,Shanxi,Jilin,Heilongjiang,Shandong,Guangxi Zhuang Autonomous Region,Sichuan,Guizhou,Yunnan,Shaanxi,Gansu",,,,"Armed Forces,Agricultural, Forestry And Fishery Workers",,
CHI,2014,exante,6,0.953,25.99,"Liaoning,Anhui,Fujian,Jiangxi,Henan,Guangdong",,,,"Armed Forces,Agricultural, Forestry And Fishery Workers",,
CHI,2014,exante,10,1.259,4.13,"Hebei,Liaoning,Anhui,Jiangxi,Henan,Guangdong,Yunnan,Shaanxi","Illiterate/Semi-Literate,Senior High School/Secondary School/Technical School/Vocational Senior School,3-Year College,4-Year College/Bachelor's Degree",,,"Managers,Professionals,Clerks,Services And Sales Workers,Plant And Machine Opperators And Assemblers,Elementary Occupations,Unemployed",,
CHI,2014,exante,11,1.153,3.84,"Hebei,Liaoning,Anhui,Jiangxi,Henan,Guangdong,Yunnan,Shaanxi","Primary School,Junior High School,Master's Degree",,,"Managers,Professionals,Clerks,Services And Sales Workers,Plant And Machine Opperators And Assemblers,Elementary Occupations,Unemployed",,
CHI,2014,exante,13,1.087,1.9,"Shanxi,Jilin,Heilongjiang,Fujian,Shandong,Guangxi Zhuang Autonomous Region,Sichuan,Guizhou,Gansu",,,"Armed Forces,Managers,Professionals,Technicians And Associate Professionals,Clerks,Services And Sales Workers,Plant And Machine Opperators And Assemblers,Elementary Occupations","Managers,Professionals,Clerks,Services And Sales Workers,Plant And Machine Opperators And Assemblers,Elementary Occupations,Unemployed",,
CHI,2014,exante,14,0.777,2.22,"Shanxi,Jilin,Heilongjiang,Fujian,Shandong,Guangxi Zhuang Autonomous Region,Sichuan,Guizhou,Gansu",,,"Agricultural, Forestry And Fishery Workers,Craft And Trade Workers,Unemployed","Managers,Professionals,Clerks,Services And Sales Workers,Plant And Machine Opperators And Assemblers,Elementary Occupations,Unemployed",,
CHI,2014,exante,15,1.509,1.71,"Hebei,Shanxi,Liaoning,Jilin,Heilongjiang,Anhui,Fujian,Jiangxi,Shandong,Henan,Guangdong,Guangxi Zhuang Autonomous Region,Sichuan,Guizhou,Yunnan,Shaanxi,Gansu",,,,"Technicians And Associate Professionals,Craft And Trade Workers",,
CHI,2014,exante,18,1.657,3.62,"Jiangsu,Zhejiang",,,,"Armed Forces,Clerks,Agricultural, Forestry And Fishery Workers,Craft And Trade Workers,Plant And Machine Opperators And Assemblers",,
CHI,2014,exante,19,1.186,4.85,"Hubei,Hunan,Other",,,,"Armed Forces,Clerks,Agricultural, Forestry And Fishery Workers,Craft And Trade Workers,Plant And Machine Opperators And Assemblers",,
CHI,2014,exante,20,1.847,2.34,"Jiangsu,Zhejiang,Hubei,Hunan,Other",,,,"Managers,Professionals,Technicians And Associate Professionals,Services And Sales Workers,Elementary Occupations,Unemployed",,
CHI,2014,exante,21,2.847,5.81,Shanghai,,,,,,
