Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
CHL,2015,exante,7,0.637,6.27,"Tarapca,Valparaiso,Libertador,Maule,Metropolitana De Santiago","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,7 Years Of Education","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,8 Years Of Education,9 Years Of Education,13 Years Of Education",,,,Female
CHL,2015,exante,9,0.669,3.81,"Antofagasta,Atacama,Coquimbo,Arica And Perinacota","1 Years Of Education,2 Years Of Education,3 Years Of Education,5 Years Of Education","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,8 Years Of Education,9 Years Of Education,13 Years Of Education",,,,Female
CHL,2015,exante,10,0.792,1.27,"Antofagasta,Atacama,Coquimbo,Arica And Perinacota","4 Years Of Education,7 Years Of Education","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,8 Years Of Education,9 Years Of Education,13 Years Of Education",,,,Female
CHL,2015,exante,14,0.681,2.23,"Tarapca,Valparaiso,Libertador,Maule,Metropolitana De Santiago",1 Years Of Education,"1 Years Of Education,2 Years Of Education,3 Years Of Education,5 Years Of Education,6 Years Of Education,8 Years Of Education,9 Years Of Education",,,,Male
CHL,2015,exante,15,0.754,1.29,"Antofagasta,Atacama,Coquimbo,Arica And Perinacota",1 Years Of Education,"1 Years Of Education,2 Years Of Education,3 Years Of Education,5 Years Of Education,6 Years Of Education,8 Years Of Education,9 Years Of Education",,,,Male
CHL,2015,exante,16,0.806,3.17,"Tarapca,Antofagasta,Atacama,Coquimbo,Valparaiso,Libertador,Maule,Metropolitana De Santiago,Arica And Perinacota","2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,7 Years Of Education","1 Years Of Education,2 Years Of Education,3 Years Of Education,5 Years Of Education,6 Years Of Education,8 Years Of Education,9 Years Of Education",,,,Male
CHL,2015,exante,17,0.932,1.33,"Tarapca,Antofagasta,Atacama,Coquimbo,Valparaiso,Libertador,Maule,Metropolitana De Santiago,Arica And Perinacota","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,7 Years Of Education","4 Years Of Education,7 Years Of Education,13 Years Of Education",,,,Male
CHL,2015,exante,21,0.553,6.31,"Biobio,Araucania,Los Lagos,Magallanes,Los Rios","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,7 Years Of Education","1 Years Of Education,2 Years Of Education",,,"Aymara,Rapa Nui,Kawaskar,Other",Female
CHL,2015,exante,22,0.608,4.78,"Biobio,Araucania,Los Lagos,Magallanes,Los Rios","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,7 Years Of Education","1 Years Of Education,2 Years Of Education",,,"Aymara,Rapa Nui,Kawaskar,Other",Male
CHL,2015,exante,24,0.509,1.1,"Biobio,Magallanes,Los Rios","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,7 Years Of Education","1 Years Of Education,2 Years Of Education",,,"Quechua,Mapuche,Atacameno,Coya,Diaguita",
CHL,2015,exante,25,0.441,1.82,"Araucania,Los Lagos","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,7 Years Of Education","1 Years Of Education,2 Years Of Education",,,"Quechua,Mapuche,Atacameno,Coya,Diaguita",
CHL,2015,exante,27,0.612,6.35,"Biobio,Araucania,Los Lagos,Magallanes,Los Rios","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,7 Years Of Education","3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,8 Years Of Education,9 Years Of Education,13 Years Of Education",,,,Female
CHL,2015,exante,29,0.683,1.63,"Biobio,Araucania,Los Lagos,Magallanes,Los Rios","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,7 Years Of Education","3 Years Of Education,7 Years Of Education,13 Years Of Education",,,,Male
CHL,2015,exante,31,0.72,1.58,"Biobio,Araucania,Los Lagos,Magallanes,Los Rios","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,7 Years Of Education","4 Years Of Education,8 Years Of Education",,,,Male
CHL,2015,exante,32,0.785,1.18,"Biobio,Araucania,Los Lagos,Magallanes,Los Rios","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,7 Years Of Education","5 Years Of Education,6 Years Of Education,9 Years Of Education",,,,Male
CHL,2015,exante,37,0.687,1.53,"Tarapca,Antofagasta,Valparaiso,Magallanes","6 Years Of Education,8 Years Of Education,9 Years Of Education,10 Years Of Education,11 Years Of Education,12 Years Of Education,13 Years Of Education,14 Years Of Education","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,7 Years Of Education,8 Years Of Education,13 Years Of Education",,,,Female
CHL,2015,exante,39,0.587,1.38,"Biobio,Los Lagos","6 Years Of Education,8 Years Of Education,9 Years Of Education,10 Years Of Education,11 Years Of Education,12 Years Of Education,13 Years Of Education,14 Years Of Education","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,7 Years Of Education,8 Years Of Education,13 Years Of Education",,,,Female
CHL,2015,exante,40,0.645,1.36,Araucania,"6 Years Of Education,8 Years Of Education,9 Years Of Education,10 Years Of Education,11 Years Of Education,12 Years Of Education,13 Years Of Education,14 Years Of Education","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,7 Years Of Education,8 Years Of Education,13 Years Of Education",,,,Female
CHL,2015,exante,42,0.697,1.13,"Tarapca,Antofagasta,Valparaiso,Biobio,Araucania,Los Lagos,Magallanes","6 Years Of Education,10 Years Of Education,13 Years Of Education","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,7 Years Of Education,8 Years Of Education,13 Years Of Education",,,,Male
CHL,2015,exante,43,0.797,1.39,"Tarapca,Antofagasta,Valparaiso,Biobio,Araucania,Los Lagos,Magallanes","8 Years Of Education,9 Years Of Education,11 Years Of Education,12 Years Of Education,14 Years Of Education","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,7 Years Of Education,8 Years Of Education,13 Years Of Education",,,,Male
CHL,2015,exante,45,0.754,4.99,"Atacama,Coquimbo,Libertador,Maule,Metropolitana De Santiago,Los Rios,Arica And Perinacota","6 Years Of Education,8 Years Of Education,9 Years Of Education,10 Years Of Education,11 Years Of Education,12 Years Of Education,13 Years Of Education,14 Years Of Education","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,7 Years Of Education,8 Years Of Education,13 Years Of Education",,,,Female
CHL,2015,exante,46,0.961,3.08,"Atacama,Coquimbo,Libertador,Maule,Metropolitana De Santiago,Los Rios,Arica And Perinacota","6 Years Of Education,8 Years Of Education,9 Years Of Education,10 Years Of Education,11 Years Of Education,12 Years Of Education,13 Years Of Education,14 Years Of Education","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,7 Years Of Education,8 Years Of Education,13 Years Of Education",,,,Male
CHL,2015,exante,49,0.84,5.05,"Tarapca,Valparaiso,Maule,Biobio,Araucania,Los Lagos,Magallanes,Metropolitana De Santiago","6 Years Of Education,8 Years Of Education,9 Years Of Education,13 Years Of Education,14 Years Of Education","6 Years Of Education,9 Years Of Education",,,,
CHL,2015,exante,50,0.983,1.08,"Tarapca,Valparaiso,Maule,Biobio,Araucania,Los Lagos,Magallanes,Metropolitana De Santiago","10 Years Of Education,11 Years Of Education,12 Years Of Education","6 Years Of Education,9 Years Of Education",,,,
CHL,2015,exante,52,0.93,3.47,"Antofagasta,Atacama,Coquimbo,Libertador,Los Rios,Arica And Perinacota","6 Years Of Education,8 Years Of Education,9 Years Of Education,10 Years Of Education,11 Years Of Education,12 Years Of Education,13 Years Of Education,14 Years Of Education","6 Years Of Education,9 Years Of Education",,,,Female
CHL,2015,exante,53,1.135,2.46,"Antofagasta,Atacama,Coquimbo,Libertador,Los Rios,Arica And Perinacota","6 Years Of Education,8 Years Of Education,9 Years Of Education,10 Years Of Education,11 Years Of Education,12 Years Of Education,13 Years Of Education,14 Years Of Education","6 Years Of Education,9 Years Of Education",,,,Male
