Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
COL,2010,exante,6,0.299,1.22,Rural,3 Years Of Education,,,,Indigenous,
COL,2010,exante,7,0.478,13.71,Rural,3 Years Of Education,,,,"Gypsi (Rom),Palenquero,Afro-Descendant,None Of The Above",
COL,2010,exante,10,0.417,3.65,Rural,,3 Years Of Education,,,,
COL,2010,exante,11,0.576,13.93,Rural,3 Years Of Education,3 Years Of Education,,,,
COL,2010,exante,12,0.692,2.58,Rural,3 Years Of Education,5 Years Of Education,,,,
COL,2010,exante,14,0.492,1.06,Rural,"5 Years Of Education,7 Years Of Education",,,,,
COL,2010,exante,15,0.829,5.55,Rural,"5 Years Of Education,7 Years Of Education","3 Years Of Education,5 Years Of Education",,,,
COL,2010,exante,17,0.872,24.97,Urban,3 Years Of Education,"3 Years Of Education,5 Years Of Education",,,,
COL,2010,exante,20,0.856,4.17,Urban,"5 Years Of Education,7 Years Of Education",3 Years Of Education,,,,
COL,2010,exante,21,1.181,8.54,Urban,"5 Years Of Education,7 Years Of Education",5 Years Of Education,,,,
COL,2010,exante,23,1.715,1.06,Urban,,3 Years Of Education,,,,
COL,2010,exante,24,1.339,1.56,Urban,,5 Years Of Education,,,,
COL,2010,exante,28,1.459,1.08,,,7 Years Of Education,,,,
COL,2010,exante,29,2.377,2.02,,,,,,,
COL,2010,exante,31,0.894,2.18,Rural,"3 Years Of Education,5 Years Of Education,7 Years Of Education",7 Years Of Education,,,,
COL,2010,exante,33,1.232,6.95,Urban,"3 Years Of Education,5 Years Of Education,7 Years Of Education",7 Years Of Education,,,,
COL,2010,exante,34,1.632,4.06,Urban,,7 Years Of Education,,,,
COL,2010,exante,35,2.653,1.71,,,,,,,
