Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
EL,2019,exante,7,0.846,36.45,"Local,European Union","Unknown,Low",,"Dead/Unknown/Not Working,Agriculture,Elementary,Armed Forces","Dead/Unknown/Not Working,Service,Agriculture,Craft/Trades,Plant Operator,Elementary",,
EL,2019,exante,8,0.926,11.78,"Local,European Union","Unknown,Low",,Craft/Trades,"Dead/Unknown/Not Working,Service,Agriculture,Craft/Trades,Plant Operator,Elementary",,
EL,2019,exante,9,1.063,1.05,"Local,European Union","Unknown,Low",,"Dead/Unknown/Not Working,Agriculture,Craft/Trades,Elementary,Armed Forces","Manager,Professional,Technician,Clerical",,
EL,2019,exante,10,1.029,7.24,"Local,European Union",Medium,,"Dead/Unknown/Not Working,Agriculture,Craft/Trades,Elementary,Armed Forces",,,
EL,2019,exante,11,0.669,4.59,Other,"Unknown,Low,Medium",,"Dead/Unknown/Not Working,Agriculture,Craft/Trades,Elementary,Armed Forces",,,
EL,2019,exante,13,1.14,12.89,,"Unknown,Medium",,"Manager,Professional,Technician,Clerical,Service,Plant Operator",,,
EL,2019,exante,15,0.948,12.3,,Low,,"Manager,Professional,Technician,Clerical,Service,Plant Operator","Dead/Unknown/Not Working,Technician,Agriculture,Craft/Trades,Plant Operator,Elementary",,
EL,2019,exante,16,1.065,3.31,,Low,,"Manager,Professional,Technician,Clerical,Service,Plant Operator","Manager,Professional,Clerical,Service,Armed Forces",,
EL,2019,exante,18,1.325,5.3,,High,"Unknown,Low,Medium",,,,
EL,2019,exante,19,1.538,5.07,,High,High,,,,
