Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
ES,2011,exante,7,0.883,26.07,Local,"Unknown,Low,Medium","Unknown,Medium,High","Dead/Unknown/Not Working,Agriculture,Elementary","Dead/Unknown/Not Working,Manager,Agriculture,Plant Operator,Elementary,Armed Forces",,
ES,2011,exante,8,1.022,1.75,Local,"Unknown,Low,Medium","Unknown,Medium,High","Dead/Unknown/Not Working,Agriculture,Elementary","Professional,Technician,Clerical,Service,Craft/Trades",,
ES,2011,exante,10,0.95,13.47,Local,"Unknown,Low,Medium","Unknown,Medium,High",Craft/Trades,"Dead/Unknown/Not Working,Agriculture,Craft/Trades,Elementary",,
ES,2011,exante,11,1.202,1.1,Local,"Unknown,Low,Medium","Unknown,Medium,High",Craft/Trades,"Manager,Professional,Technician,Clerical,Service,Plant Operator",,
ES,2011,exante,13,0.64,3.25,"European Union,Other","Unknown,Low,Medium","Unknown,Medium,High","Dead/Unknown/Not Working,Agriculture,Craft/Trades,Elementary","Dead/Unknown/Not Working,Technician,Clerical,Agriculture",,
ES,2011,exante,14,0.753,1.02,"European Union,Other","Unknown,Low,Medium","Unknown,Medium,High","Dead/Unknown/Not Working,Agriculture,Craft/Trades,Elementary","Manager,Professional,Service,Craft/Trades,Plant Operator,Elementary",,
ES,2011,exante,16,0.6,3.03,,"Unknown,Low",Low,"Dead/Unknown/Not Working,Agriculture,Craft/Trades,Elementary",,,
ES,2011,exante,17,0.744,2.82,,Medium,Low,"Dead/Unknown/Not Working,Agriculture,Craft/Trades,Elementary",,,
ES,2011,exante,20,0.822,1.0,Local,"Unknown,Low,Medium",Low,"Manager,Professional,Technician,Clerical,Service,Plant Operator,Armed Forces",,,
ES,2011,exante,23,1.059,19.23,Local,"Unknown,Low,Medium","Medium,High","Manager,Professional,Service,Plant Operator","Dead/Unknown/Not Working,Manager,Service,Agriculture,Craft/Trades,Plant Operator,Elementary",,
ES,2011,exante,24,1.19,8.05,Local,"Unknown,Low,Medium","Medium,High","Technician,Clerical,Armed Forces","Dead/Unknown/Not Working,Manager,Service,Agriculture,Craft/Trades,Plant Operator,Elementary",,
ES,2011,exante,25,1.37,1.06,Local,"Unknown,Low,Medium","Medium,High","Manager,Professional,Technician,Clerical,Service,Plant Operator,Armed Forces","Professional,Technician,Clerical",,
ES,2011,exante,26,0.709,2.82,"European Union,Other","Unknown,Low,Medium",,"Manager,Professional,Technician,Clerical,Service,Plant Operator,Armed Forces",,,
ES,2011,exante,30,1.261,5.69,"Local,European Union",High,"Low,Medium,High",,,,
ES,2011,exante,31,1.409,5.52,"Local,European Union",,"Low,Medium,High",,,,
ES,2011,exante,32,1.831,2.8,"Local,European Union",High,,,,,
ES,2011,exante,33,0.843,1.31,Other,High,,,,,
