Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
FR,2005,exante,7,0.741,1.13,"Local,European Union","Unknown,Low,Medium",,Dead/Unknown/Not Working,"Dead/Unknown/Not Working,Service,Agriculture,Plant Operator,Elementary",,
FR,2005,exante,8,0.881,37.31,"Local,European Union","Unknown,Low,Medium",,"Service,Agriculture,Craft/Trades,Plant Operator,Elementary","Dead/Unknown/Not Working,Service,Agriculture,Plant Operator,Elementary",,
FR,2005,exante,9,0.984,5.82,"Local,European Union","Unknown,Low,Medium",,"Manager,Professional,Technician,Clerical,Armed Forces","Dead/Unknown/Not Working,Service,Agriculture,Plant Operator,Elementary",,
FR,2005,exante,11,0.872,1.62,Other,"Unknown,Low,Medium","Unknown,Medium",,"Dead/Unknown/Not Working,Service,Agriculture,Plant Operator,Elementary",,
FR,2005,exante,12,0.602,2.82,Other,"Unknown,Low,Medium","Low,High",,"Dead/Unknown/Not Working,Service,Agriculture,Plant Operator,Elementary",,
FR,2005,exante,14,1.075,4.3,,High,,"Dead/Unknown/Not Working,Manager,Professional,Technician,Clerical","Dead/Unknown/Not Working,Service,Agriculture,Plant Operator,Elementary",,
FR,2005,exante,15,0.953,11.21,,High,,"Service,Agriculture,Craft/Trades,Plant Operator,Elementary,Armed Forces","Dead/Unknown/Not Working,Service,Agriculture,Plant Operator,Elementary",,
FR,2005,exante,19,1.071,5.17,,"Unknown,Low,Medium","Unknown,Low,Medium",,"Manager,Professional,Technician,Clerical,Craft/Trades,Armed Forces",,Male
FR,2005,exante,20,0.971,5.83,,"Unknown,Low,Medium","Unknown,Low,Medium",,"Manager,Professional,Technician,Clerical,Craft/Trades,Armed Forces",,Female
FR,2005,exante,21,1.143,9.07,,High,"Unknown,Low,Medium",,"Manager,Professional,Technician,Clerical,Craft/Trades,Armed Forces",,
FR,2005,exante,24,1.059,1.53,,"Unknown,Medium",High,"Dead/Unknown/Not Working,Clerical,Agriculture,Craft/Trades,Plant Operator","Manager,Professional,Technician,Clerical,Craft/Trades,Armed Forces",,
FR,2005,exante,25,1.269,1.4,,"Low,High",High,"Dead/Unknown/Not Working,Clerical,Agriculture,Craft/Trades,Plant Operator","Manager,Professional,Technician,Clerical,Craft/Trades,Armed Forces",,
FR,2005,exante,26,1.364,2.73,,"Unknown,Low,Medium,High",High,"Manager,Professional,Technician,Service,Elementary,Armed Forces","Manager,Professional,Technician,Clerical,Craft/Trades,Armed Forces",,
FR,2005,exante,29,1.344,7.19,Local,,"Unknown,Low,Medium,High",,,,
FR,2005,exante,30,1.041,1.29,"European Union,Other",,"Unknown,Low,Medium,High",,,,
FR,2005,exante,31,1.978,1.57,,,,,,,
