Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
GAM,2015,exante,4,1.473,1.0,"Banjul,Basse,Kanifing",,,"Accomodation, Food Service And Homely Activities,Administrative And Service Activities,Arts, Entertainment And Recreation,Education,Professional Activities (Ic, Financial, Scientific, Technical, Social),Public Administration And Defense,Transportation And Storage,Wholesale And Retail Trader, Repair Of Motor Vehicles And Motorcycles",,"Bambara,Fula/Tukulur/Lorobo,Mandika/Jahanka,Other",
GAM,2015,exante,5,1.024,12.25,"Banjul,Basse,Kanifing",,,"Agricolture, Forestry And Fishing,Construction, Mining And Energy Supply,Manufacturing",,"Bambara,Fula/Tukulur/Lorobo,Mandika/Jahanka,Other",
GAM,2015,exante,6,1.701,7.4,"Banjul,Basse,Kanifing",,,,,"Creole/Aku Marabout,Jola/Karoninka,Manjago,Sarahulleh,Serrer,Wollof",
GAM,2015,exante,11,0.9,5.09,Brikama,"No School,Primary School,Junior Secondary School",,,,"Bambara,Mandika/Jahanka,Serrer",
GAM,2015,exante,12,1.029,9.61,Kerewan,"No School,Primary School,Junior Secondary School",,,,"Bambara,Mandika/Jahanka,Serrer",
GAM,2015,exante,13,0.868,20.67,"Brikama,Kerewan","No School,Primary School,Junior Secondary School",,,,"Creole/Aku Marabout,Fula/Tukulur/Lorobo,Jola/Karoninka,Manjago,Other,Sarahulleh,Wollof",
GAM,2015,exante,14,1.817,1.25,"Brikama,Kerewan","Upper Secondary School,Vocational,University",,,,,
GAM,2015,exante,19,0.57,8.52,Janjangbureh,,,"Accomodation, Food Service And Homely Activities,Administrative And Service Activities,Agricolture, Forestry And Fishing,Construction, Mining And Energy Supply,Manufacturing,Professional Activities (Ic, Financial, Scientific, Technical, Social),Transportation And Storage",,"Bambara,Mandika/Jahanka,Manjago,Serrer,Wollof",
GAM,2015,exante,20,0.632,15.47,"Kuntaur,Mansakonko",,,"Accomodation, Food Service And Homely Activities,Administrative And Service Activities,Agricolture, Forestry And Fishing,Construction, Mining And Energy Supply,Manufacturing,Professional Activities (Ic, Financial, Scientific, Technical, Social),Transportation And Storage",,"Bambara,Mandika/Jahanka,Manjago,Serrer,Wollof",
GAM,2015,exante,21,1.202,1.35,"Janjangbureh,Kuntaur,Mansakonko",,,"Accomodation, Food Service And Homely Activities,Administrative And Service Activities,Agricolture, Forestry And Fishing,Construction, Mining And Energy Supply,Manufacturing,Professional Activities (Ic, Financial, Scientific, Technical, Social),Transportation And Storage",,Sarahulleh,
GAM,2015,exante,22,1.044,1.3,"Janjangbureh,Kuntaur,Mansakonko",,,"Arts, Entertainment And Recreation,Education,Public Administration And Defense,Wholesale And Retail Trader, Repair Of Motor Vehicles And Motorcycles",,"Bambara,Mandika/Jahanka,Manjago,Sarahulleh,Serrer,Wollof",
GAM,2015,exante,24,0.469,6.01,Janjangbureh,,,,,"Creole/Aku Marabout,Fula/Tukulur/Lorobo,Jola/Karoninka,Other",
GAM,2015,exante,25,0.537,10.07,"Kuntaur,Mansakonko",,,,,"Creole/Aku Marabout,Fula/Tukulur/Lorobo,Jola/Karoninka,Other",
