Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
GNB,2018,exante,6,1.187,3.9,,No School,No School,"Services, Education, Entertainment,Restaurant/Hotel,Transport,Commerce",,"Fula,Mandinga,Papel,Manjaco,Mancanha,Felupe",
GNB,2018,exante,7,0.945,2.19,,No School,No School,"Btp,Industry, Electricity, Water,Extractive Industry,Unemployed",,"Fula,Mandinga,Papel,Manjaco,Mancanha,Felupe",
GNB,2018,exante,8,1.383,5.89,,"Primary (1-9 Grade),Secondary (10-12 Grade),Technical/Professional,Post Secondary",No School,"Services, Education, Entertainment,Restaurant/Hotel,Transport,Commerce,Btp,Industry, Electricity, Water,Extractive Industry,Unemployed",,"Fula,Mandinga,Papel,Manjaco,Mancanha,Felupe",
GNB,2018,exante,9,1.069,4.79,,,No School,"Services, Education, Entertainment,Restaurant/Hotel,Transport,Commerce,Btp,Industry, Electricity, Water,Extractive Industry,Unemployed",,"Balanta,Beafada,Bijagos",
GNB,2018,exante,12,1.581,3.83,,,Primary (1-9 Grade),"Services, Education, Entertainment,Restaurant/Hotel,Transport,Commerce,Btp,Industry, Electricity, Water,Extractive Industry,Unemployed","Services, Education, Entertainment,Commerce,Industry, Electricity, Water",,
GNB,2018,exante,14,1.511,1.7,,,Primary (1-9 Grade),"Services, Education, Entertainment,Restaurant/Hotel,Transport,Commerce,Btp,Industry, Electricity, Water,Extractive Industry,Unemployed","Restaurant/Hotel,Btp,Agriculture, Livestock And Fisheries,Unemployed","Fula,Mandinga,Papel,Mancanha",
GNB,2018,exante,15,1.003,1.79,,,Primary (1-9 Grade),"Services, Education, Entertainment,Restaurant/Hotel,Transport,Commerce,Btp,Industry, Electricity, Water,Extractive Industry,Unemployed","Restaurant/Hotel,Btp,Agriculture, Livestock And Fisheries,Unemployed","Balanta,Manjaco,Beafada,Bijagos,Felupe",
GNB,2018,exante,16,1.755,1.9,,,"Secondary (10-12 Grade),Technical/Professional,Post Secondary","Services, Education, Entertainment,Restaurant/Hotel,Transport,Commerce,Btp,Industry, Electricity, Water,Extractive Industry,Unemployed",,,
GNB,2018,exante,21,0.936,1.7,,No School,,"Agriculture, Livestock And Fisheries","Services, Education, Entertainment,Commerce,Unemployed","Fula,Beafada",
GNB,2018,exante,22,0.789,18.63,,No School,,"Agriculture, Livestock And Fisheries","Transport,Industry, Electricity, Water,Extractive Industry,Agriculture, Livestock And Fisheries","Fula,Beafada",
GNB,2018,exante,23,1.003,2.54,,"Primary (1-9 Grade),Secondary (10-12 Grade),Technical/Professional,Post Secondary",,"Agriculture, Livestock And Fisheries",,"Fula,Beafada",
GNB,2018,exante,25,1.019,2.52,,,,"Agriculture, Livestock And Fisheries","Services, Education, Entertainment,Commerce,Unemployed","Balanta,Bijagos,Felupe",
GNB,2018,exante,27,0.763,21.14,,,,"Agriculture, Livestock And Fisheries","Restaurant/Hotel,Industry, Electricity, Water,Extractive Industry,Agriculture, Livestock And Fisheries","Balanta,Felupe",
GNB,2018,exante,28,0.68,4.56,,,,"Agriculture, Livestock And Fisheries","Restaurant/Hotel,Industry, Electricity, Water,Extractive Industry,Agriculture, Livestock And Fisheries",Bijagos,
GNB,2018,exante,31,1.159,2.21,,No School,,"Agriculture, Livestock And Fisheries","Services, Education, Entertainment,Restaurant/Hotel,Commerce,Unemployed","Mandinga,Papel,Manjaco,Mancanha",
GNB,2018,exante,33,0.876,12.17,,No School,,"Agriculture, Livestock And Fisheries","Industry, Electricity, Water,Extractive Industry,Agriculture, Livestock And Fisheries","Mandinga,Papel",
GNB,2018,exante,34,1.069,4.83,,No School,,"Agriculture, Livestock And Fisheries","Industry, Electricity, Water,Extractive Industry,Agriculture, Livestock And Fisheries","Manjaco,Mancanha",
GNB,2018,exante,35,1.218,3.73,,"Primary (1-9 Grade),Secondary (10-12 Grade),Technical/Professional,Post Secondary",,"Agriculture, Livestock And Fisheries",,"Mandinga,Papel,Manjaco,Mancanha",
