Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
GTM,2000,exante,5,1.273,2.24,"Guatemala,El Progreso,Sacatepequez,Chimaltenengo,Escuintla,Santa Rosa,Solola,Retalhuleu,Peten,Izabal,Zacapa,Chiquimula,Jalapa,Other Country",,3 Years Of Education,"1,4",,,
GTM,2000,exante,7,0.748,18.5,"Guatemala,El Progreso,Sacatepequez,Chimaltenengo,Escuintla,Santa Rosa,Solola,Retalhuleu,Peten,Izabal,Zacapa,Chiquimula,Jalapa,Other Country",,,"2,3,5,6,7",,,
GTM,2000,exante,8,1.052,1.91,"Guatemala,El Progreso,Sacatepequez,Chimaltenengo,Escuintla,Santa Rosa,Solola,Retalhuleu,Peten,Izabal,Zacapa,Chiquimula,Jalapa,Other Country",,3 Years Of Education,"2,3,5,6,7",,,
GTM,2000,exante,11,0.654,1.01,"Totonicapan,Quetzaltenango,Suchitepequez,San Marcos,Huehuetenango,Quiche,Baja Verapaz,Alta Verapaz,Jutiapa",,3 Years Of Education,,"1,3,5,6","White,Indigenous",
GTM,2000,exante,12,0.47,20.86,"Totonicapan,Quetzaltenango,Suchitepequez,San Marcos,Huehuetenango,Quiche,Baja Verapaz,Alta Verapaz,Jutiapa",,3 Years Of Education,,"2,4,7","White,Indigenous",
GTM,2000,exante,14,0.861,1.02,"Totonicapan,Quetzaltenango,Suchitepequez,San Marcos,Huehuetenango,Quiche,Baja Verapaz,Alta Verapaz,Jutiapa",,3 Years Of Education,,"1,2,5,6",Mix-Race,
GTM,2000,exante,16,0.691,5.28,"Totonicapan,Quetzaltenango,Suchitepequez,San Marcos,Huehuetenango,Quiche,Baja Verapaz,Alta Verapaz,Jutiapa",,3 Years Of Education,"1,2,4,6","3,4,7",Mix-Race,
GTM,2000,exante,17,0.527,4.13,"Totonicapan,Quetzaltenango,Suchitepequez,San Marcos,Huehuetenango,Quiche,Baja Verapaz,Alta Verapaz,Jutiapa",,3 Years Of Education,"3,5,7","3,4,7",Mix-Race,
GTM,2000,exante,21,0.968,4.03,,"3 Years Of Education,6 Years Of Education",,"1,4,6",,,
GTM,2000,exante,22,1.549,4.3,,"3 Years Of Education,6 Years Of Education",3 Years Of Education,"1,4,6",,,
GTM,2000,exante,23,2.215,1.04,,,3 Years Of Education,"1,4,6",,,
GTM,2000,exante,26,0.665,6.0,,"3 Years Of Education,6 Years Of Education",,"2,3,5,7",,"White,Indigenous",
GTM,2000,exante,28,0.985,4.84,"Guatemala,Santa Rosa,Solola,Totonicapan,Quetzaltenango,San Marcos,Huehuetenango,Quiche,Alta Verapaz,Peten,Zacapa,Chiquimula","3 Years Of Education,6 Years Of Education",,"2,3,5,7",,"Mix-Race,Afro-Descendant",
GTM,2000,exante,29,0.745,3.89,"El Progreso,Sacatepequez,Chimaltenengo,Escuintla,Suchitepequez,Retalhuleu,Baja Verapaz,Izabal,Jalapa,Jutiapa,Other Country","3 Years Of Education,6 Years Of Education",,"2,3,5,7",,"Mix-Race,Afro-Descendant",
GTM,2000,exante,32,1.409,2.19,"Guatemala,El Progreso,Escuintla,Santa Rosa,Totonicapan,Zacapa","3 Years Of Education,6 Years Of Education",3 Years Of Education,"2,7",,,
GTM,2000,exante,33,1.015,5.17,"Sacatepequez,Chimaltenengo,Solola,Quetzaltenango,Suchitepequez,Retalhuleu,San Marcos,Huehuetenango,Quiche,Baja Verapaz,Alta Verapaz,Peten,Izabal,Chiquimula,Jalapa,Jutiapa,Other Country","3 Years Of Education,6 Years Of Education",3 Years Of Education,"2,7",,,
GTM,2000,exante,34,0.734,2.06,,"3 Years Of Education,6 Years Of Education",3 Years Of Education,"3,5",,,
GTM,2000,exante,36,1.825,6.89,,,6 Years Of Education,,,,
GTM,2000,exante,39,2.576,1.05,,"3 Years Of Education,6 Years Of Education",,,,,
GTM,2000,exante,40,3.195,2.04,,,,,,,
GTM,2000,exante,41,4.773,1.56,,,,,,,
