Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
HU,2011,exante,6,0.802,18.4,,"Unknown,Low,Medium","Unknown,Medium,High","Dead/Unknown/Not Working,Professional,Agriculture,Elementary","Dead/Unknown/Not Working,Plant Operator,Elementary",,
HU,2011,exante,7,0.877,6.14,,"Unknown,Low,Medium","Unknown,Medium,High","Dead/Unknown/Not Working,Professional,Agriculture,Elementary","Service,Agriculture,Craft/Trades",,
HU,2011,exante,8,0.621,1.15,,"Unknown,Low,Medium",Low,"Dead/Unknown/Not Working,Professional,Agriculture,Elementary","Dead/Unknown/Not Working,Service,Agriculture,Craft/Trades,Plant Operator,Elementary",,
HU,2011,exante,10,0.875,19.22,,"Unknown,Low,Medium",,"Manager,Technician,Clerical,Service,Craft/Trades,Plant Operator,Armed Forces","Dead/Unknown/Not Working,Agriculture,Elementary",,
HU,2011,exante,12,0.98,7.26,,"Unknown,Low,Medium",,"Manager,Technician,Craft/Trades","Service,Craft/Trades,Plant Operator",,
HU,2011,exante,13,0.93,6.39,,"Unknown,Low,Medium",,"Clerical,Service,Plant Operator,Armed Forces","Service,Craft/Trades,Plant Operator",,
HU,2011,exante,15,1.064,2.89,,"Unknown,Low,Medium","Low,Medium",,"Manager,Professional,Technician,Clerical,Armed Forces",,
HU,2011,exante,16,1.13,4.18,,"Unknown,Low,Medium",High,,"Manager,Professional,Technician,Clerical,Armed Forces",,
HU,2011,exante,20,0.962,6.36,,High,"Unknown,Low,Medium","Dead/Unknown/Not Working,Service,Agriculture,Craft/Trades,Plant Operator,Elementary,Armed Forces","Dead/Unknown/Not Working,Service,Agriculture,Craft/Trades,Plant Operator,Elementary",,
HU,2011,exante,21,1.055,6.11,,High,High,"Dead/Unknown/Not Working,Service,Agriculture,Craft/Trades,Plant Operator,Elementary,Armed Forces","Dead/Unknown/Not Working,Service,Agriculture,Craft/Trades,Plant Operator,Elementary",,
HU,2011,exante,22,1.198,7.31,,High,,"Dead/Unknown/Not Working,Service,Agriculture,Craft/Trades,Plant Operator,Elementary,Armed Forces","Manager,Professional,Technician,Clerical,Armed Forces",,
HU,2011,exante,24,1.23,6.76,,High,,"Manager,Professional,Technician,Clerical",,,
HU,2011,exante,25,1.415,7.85,,,,"Manager,Professional,Technician,Clerical",,,
