Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
PER,2008,exante,7,0.5,6.81,"Amazonas-San Martin-Ucayali,Apurimac,Cajamarca,Ica,Junin-Pasco,Lambayeque,Loreto,Piura-Tumbes","1 Years Of Education,3 Years Of Education",,,,"White,Mix-Race",
PER,2008,exante,8,0.712,1.02,"Anchash,Ayacucho,Huancavelica,Huánuco,Puno","1 Years Of Education,3 Years Of Education",,,,"White,Mix-Race",
PER,2008,exante,11,0.394,7.93,"Amazonas-San Martin-Ucayali,Anchash,Ayacucho,Cajamarca,Huancavelica,Junin-Pasco,Lambayeque,Piura-Tumbes,Puno",,,,,"Indigenous,Afro-Descendant,Other",
PER,2008,exante,12,0.34,3.54,"Apurimac,Huánuco,Ica,Loreto",,,,,"Indigenous,Afro-Descendant,Other",
PER,2008,exante,14,0.501,4.67,"Amazonas-San Martin-Ucayali,Anchash,Ayacucho,Cajamarca,Huancavelica,Ica,Junin-Pasco,Lambayeque,Piura-Tumbes,Puno","1 Years Of Education,3 Years Of Education",,,,"Indigenous,Afro-Descendant,Other",
PER,2008,exante,15,0.446,1.19,"Apurimac,Huánuco,Loreto","1 Years Of Education,3 Years Of Education",,,,"Indigenous,Afro-Descendant,Other",
PER,2008,exante,17,0.766,1.47,"Arequipa,Cusco-Madre De Dios,Callao","1 Years Of Education,3 Years Of Education",,,,,
PER,2008,exante,18,0.574,2.63,"La Libertad,Lima,Moquegua-Tacna","1 Years Of Education,3 Years Of Education",,,,,
PER,2008,exante,21,0.781,1.27,"Amazonas-San Martin-Ucayali,Anchash,Apurimac,Ayacucho,Cajamarca,Huancavelica,Huánuco,Ica,Junin-Pasco,La Libertad,Lambayeque,Lima,Loreto,Moquegua-Tacna,Piura-Tumbes,Puno","1 Years Of Education,3 Years Of Education","1 Years Of Education,4 Years Of Education,5 Years Of Education",,,,
PER,2008,exante,23,0.566,2.94,"Amazonas-San Martin-Ucayali,Cajamarca,Huánuco,Ica","1 Years Of Education,3 Years Of Education","2 Years Of Education,3 Years Of Education,6 Years Of Education",,,,
PER,2008,exante,24,0.728,7.47,"Anchash,Apurimac,Ayacucho,Huancavelica,Junin-Pasco,La Libertad,Lambayeque,Lima,Loreto,Moquegua-Tacna,Piura-Tumbes,Puno","1 Years Of Education,3 Years Of Education","2 Years Of Education,3 Years Of Education,6 Years Of Education",,,,
PER,2008,exante,25,0.939,1.87,"Arequipa,Cusco-Madre De Dios,Callao","1 Years Of Education,3 Years Of Education","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education",,,,
