Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
PL,2005,exante,7,0.724,14.01,,"Unknown,Low,High","Unknown,Low,High","Dead/Unknown/Not Working,Agriculture,Elementary","Dead/Unknown/Not Working,Service,Agriculture,Craft/Trades,Plant Operator,Elementary,Armed Forces",,
PL,2005,exante,8,0.838,2.07,,"Unknown,Low,High",Medium,"Dead/Unknown/Not Working,Agriculture,Elementary","Dead/Unknown/Not Working,Service,Agriculture,Craft/Trades,Plant Operator,Elementary,Armed Forces",,
PL,2005,exante,10,0.829,17.44,,Medium,"Unknown,Medium","Dead/Unknown/Not Working,Agriculture,Elementary","Dead/Unknown/Not Working,Service,Agriculture,Craft/Trades,Plant Operator,Elementary,Armed Forces",,
PL,2005,exante,11,0.913,1.74,,Medium,"Low,High","Dead/Unknown/Not Working,Agriculture,Elementary","Dead/Unknown/Not Working,Service,Agriculture,Craft/Trades,Plant Operator,Elementary,Armed Forces",,
PL,2005,exante,14,1.039,1.2,,"Unknown,Low,High",,"Manager,Professional,Technician,Clerical,Armed Forces","Dead/Unknown/Not Working,Service,Agriculture,Craft/Trades,Plant Operator,Elementary,Armed Forces",,
PL,2005,exante,16,0.92,1.66,,"Unknown,Low,High",,"Service,Craft/Trades,Plant Operator","Dead/Unknown/Not Working,Plant Operator",,
PL,2005,exante,17,0.784,7.56,,"Unknown,Low,High",,"Service,Craft/Trades,Plant Operator","Service,Agriculture,Craft/Trades,Elementary",,
PL,2005,exante,19,1.019,6.5,,Medium,,"Manager,Professional,Technician,Clerical,Service,Craft/Trades,Plant Operator,Armed Forces","Dead/Unknown/Not Working,Service,Plant Operator,Armed Forces",,
PL,2005,exante,20,0.902,7.18,,Medium,,"Manager,Professional,Technician,Clerical,Service,Craft/Trades,Plant Operator,Armed Forces","Agriculture,Craft/Trades,Elementary",,
PL,2005,exante,23,1.022,10.55,,,,"Dead/Unknown/Not Working,Service,Agriculture,Craft/Trades,Plant Operator,Elementary","Dead/Unknown/Not Working,Service,Craft/Trades,Plant Operator",,
PL,2005,exante,24,0.912,5.66,,,,"Dead/Unknown/Not Working,Service,Agriculture,Craft/Trades,Plant Operator,Elementary","Agriculture,Elementary,Armed Forces",,
PL,2005,exante,25,1.146,3.6,,,,"Manager,Professional,Technician,Clerical,Armed Forces","Dead/Unknown/Not Working,Service,Agriculture,Craft/Trades,Plant Operator,Elementary,Armed Forces",,
PL,2005,exante,28,1.018,3.13,,"Unknown,Low,High","Unknown,Low,Medium,High",,"Manager,Professional,Technician,Clerical",,
PL,2005,exante,29,1.161,1.05,,Medium,"Unknown,Low,Medium,High",,"Manager,Professional,Technician,Clerical",,
PL,2005,exante,32,1.167,4.75,,"Unknown,Low,Medium,High",,"Dead/Unknown/Not Working,Agriculture,Craft/Trades,Plant Operator","Manager,Professional,Technician,Clerical",,
PL,2005,exante,33,1.354,3.99,,"Unknown,Low,Medium,High",,"Manager,Professional,Technician,Clerical,Service,Elementary,Armed Forces","Manager,Professional,Technician,Clerical",,
PL,2005,exante,34,1.509,2.29,,"Unknown,Low,Medium,High",,,"Manager,Professional,Technician,Clerical",,
PL,2005,exante,35,1.703,5.62,,,,,,,
