Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
SRL,2018,exante,3,2.248,1.69,,,,"Accomodation And Food Service Activities,Administrative And Support Service Activities,Financial Activities,Professional","Accomodation And Food Service Activities,Administrative And Support Service Activities,Education,Electricity And Water Supply,Financial Activities,Manufacturing,Mining, Quarring,Professional,Public Administration And Defense,Social Activities,Transportation And Storage,Wholesale And Retail Trader, Repair Of Motor Vehicles And Motorcycles",,
SRL,2018,exante,7,1.183,6.82,,,"No School,Primary Incomplete,Vocational","Agriculture, Foresting, Fishing,Construction,Education,Electricity And Water Supply,Manufacturing,Mining, Quarring,Public Administration And Defense,Social Activities,Transportation And Storage,Wholesale And Retail Trader, Repair Of Motor Vehicles And Motorcycles","Accomodation And Food Service Activities,Administrative And Support Service Activities,Education,Electricity And Water Supply,Financial Activities,Manufacturing,Mining, Quarring,Professional,Public Administration And Defense,Social Activities,Transportation And Storage,Wholesale And Retail Trader, Repair Of Motor Vehicles And Motorcycles","Ahmadis Muslim,Bahai,Methodist,No Religion,Other Muslim,Sda",Female
SRL,2018,exante,8,1.359,5.67,,,"No School,Primary Incomplete,Vocational","Agriculture, Foresting, Fishing,Construction,Education,Electricity And Water Supply,Manufacturing,Mining, Quarring,Public Administration And Defense,Social Activities,Transportation And Storage,Wholesale And Retail Trader, Repair Of Motor Vehicles And Motorcycles","Accomodation And Food Service Activities,Administrative And Support Service Activities,Education,Electricity And Water Supply,Financial Activities,Manufacturing,Mining, Quarring,Professional,Public Administration And Defense,Social Activities,Transportation And Storage,Wholesale And Retail Trader, Repair Of Motor Vehicles And Motorcycles","Ahmadis Muslim,Bahai,Methodist,No Religion,Other Muslim,Sda",Male
SRL,2018,exante,9,1.7,2.62,,,"No School,Primary Incomplete,Vocational","Agriculture, Foresting, Fishing,Construction,Education,Electricity And Water Supply,Manufacturing,Mining, Quarring,Public Administration And Defense,Social Activities,Transportation And Storage,Wholesale And Retail Trader, Repair Of Motor Vehicles And Motorcycles","Accomodation And Food Service Activities,Administrative And Support Service Activities,Education,Electricity And Water Supply,Financial Activities,Manufacturing,Mining, Quarring,Professional,Public Administration And Defense,Social Activities,Transportation And Storage,Wholesale And Retail Trader, Repair Of Motor Vehicles And Motorcycles","Anglican,Catholic,Other Christian,Pentacostal",
SRL,2018,exante,11,1.516,3.32,,"No School,Primary Incomplete,Primary Complete,Secondary Incomplete,Post-Secondary Professional","Primary Complete,Secondary Incomplete,Secondary Complete,Post-Secondary Professional,First Degree Or More","Agriculture, Foresting, Fishing,Construction,Education,Electricity And Water Supply,Manufacturing,Mining, Quarring,Public Administration And Defense,Social Activities,Transportation And Storage,Wholesale And Retail Trader, Repair Of Motor Vehicles And Motorcycles","Accomodation And Food Service Activities,Administrative And Support Service Activities,Education,Electricity And Water Supply,Financial Activities,Manufacturing,Mining, Quarring,Professional,Public Administration And Defense,Social Activities,Transportation And Storage,Wholesale And Retail Trader, Repair Of Motor Vehicles And Motorcycles",,
SRL,2018,exante,12,1.91,2.15,,"Secondary Complete,Vocational,First Degree Or More","Primary Complete,Secondary Incomplete,Secondary Complete,Post-Secondary Professional,First Degree Or More","Agriculture, Foresting, Fishing,Construction,Education,Electricity And Water Supply,Manufacturing,Mining, Quarring,Public Administration And Defense,Social Activities,Transportation And Storage,Wholesale And Retail Trader, Repair Of Motor Vehicles And Motorcycles","Accomodation And Food Service Activities,Administrative And Support Service Activities,Education,Electricity And Water Supply,Financial Activities,Manufacturing,Mining, Quarring,Professional,Public Administration And Defense,Social Activities,Transportation And Storage,Wholesale And Retail Trader, Repair Of Motor Vehicles And Motorcycles",,
SRL,2018,exante,16,0.808,38.31,,,,"Accomodation And Food Service Activities,Agriculture, Foresting, Fishing,Manufacturing,Professional,Public Administration And Defense,Social Activities","Agriculture, Foresting, Fishing,Construction","Ahmadis Muslim,Catholic,Methodist,No Religion,Other Muslim,Traditional",Female
SRL,2018,exante,17,0.865,27.16,,,,"Accomodation And Food Service Activities,Agriculture, Foresting, Fishing,Manufacturing,Professional,Public Administration And Defense,Social Activities","Agriculture, Foresting, Fishing,Construction","Ahmadis Muslim,Catholic,Methodist,No Religion,Other Muslim,Traditional",Male
SRL,2018,exante,18,1.103,3.09,,,,"Administrative And Support Service Activities,Construction,Education,Electricity And Water Supply,Financial Activities,Mining, Quarring,Transportation And Storage,Wholesale And Retail Trader, Repair Of Motor Vehicles And Motorcycles","Agriculture, Foresting, Fishing,Construction","Ahmadis Muslim,Catholic,Methodist,No Religion,Other Muslim,Traditional",
SRL,2018,exante,20,1.029,8.18,,"No School,Secondary Incomplete",,,"Agriculture, Foresting, Fishing,Construction","Anglican,Bahai,Other Christian,Pentacostal,Sda",
SRL,2018,exante,21,1.491,1.0,,"Primary Incomplete,Primary Complete,Secondary Complete,Post-Secondary Professional,Vocational,First Degree Or More",,,"Agriculture, Foresting, Fishing,Construction","Anglican,Bahai,Other Christian,Pentacostal,Sda",
