Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
TGO,2018,exante,6,1.11,11.34,,No School,No School,," Middle Manager,Skilled Worker,Manual Worker,Employer,Self Employed",Muslim,
TGO,2018,exante,7,0.957,24.74,,No School,No School,," Middle Manager,Skilled Worker,Manual Worker,Employer,Self Employed",Christian,
TGO,2018,exante,8,1.091,1.88,,No School,"Primary,Secondary I Cycle,Secondary Ii Cycle",," Middle Manager,Skilled Worker,Manual Worker,Employer,Self Employed","Muslim,Christian",
TGO,2018,exante,10,0.787,2.89,,No School,,,"Unskilled Worker,Other",Muslim,
TGO,2018,exante,11,0.695,5.29,,No School,,,"Unskilled Worker,Other",Christian,
TGO,2018,exante,13,0.542,5.46,,No School,,,"Skilled Worker,Other","Animist,Other,Atheist",
TGO,2018,exante,16,0.659,10.29,,No School,,,"Unskilled Worker,Manual Worker,Employer,Self Employed","Animist,Other",Female
TGO,2018,exante,17,0.541,2.62,,No School,,,"Unskilled Worker,Manual Worker,Employer,Self Employed",Atheist,Female
TGO,2018,exante,18,0.714,9.09,,No School,,,"Unskilled Worker,Manual Worker,Employer,Self Employed","Animist,Other,Atheist",Male
TGO,2018,exante,24,1.449,4.54,,"Primary,Secondary I Cycle","No School,Primary","Senior Executive, Middle Manager,Skilled Worker,Unskilled Worker,Manual Worker","Senior Executive, Middle Manager,Skilled Worker,Unskilled Worker,Manual Worker,Employer,Self Employed","Muslim,Christian",
TGO,2018,exante,25,1.169,11.64,,"Primary,Secondary I Cycle","No School,Primary","Employer,Self Employed,Other","Senior Executive, Middle Manager,Skilled Worker,Unskilled Worker,Manual Worker,Employer,Self Employed","Muslim,Christian",
TGO,2018,exante,26,1.626,1.44,,"Primary,Secondary I Cycle","Secondary I Cycle,Secondary Ii Cycle,Superior",,"Senior Executive, Middle Manager,Skilled Worker,Unskilled Worker,Manual Worker,Employer,Self Employed","Muslim,Christian",
TGO,2018,exante,27,1.006,1.16,,"Primary,Secondary I Cycle",,,Other,"Muslim,Christian",
TGO,2018,exante,28,0.8,3.94,,"Primary,Secondary I Cycle",,,,"Animist,Other,Atheist",
TGO,2018,exante,29,1.796,3.67,,"Secondary Ii Cycle,Superior",,,,,
