Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
USA,2002,exante,6,0.914,5.47,"Northeast,West","0-5 Grades,6-8 Grades,9-11 Grades,High School,12 Grades + Non Academic Training,Some College","0-5 Grades,6-8 Grades,9-11 Grades","Low,Middle",,"White,Am. Indian, Aleut, Eskimo,Asian, Pac. Islander",
USA,2002,exante,8,0.551,3.7,"North Central,South,Foreign Country",,"0-5 Grades,6-8 Grades,9-11 Grades","Low,Middle",,"White,Am. Indian, Aleut, Eskimo,Asian, Pac. Islander",
USA,2002,exante,9,0.758,11.33,"North Central,South,Foreign Country","0-5 Grades,6-8 Grades,9-11 Grades,High School,12 Grades + Non Academic Training,Some College","0-5 Grades,6-8 Grades,9-11 Grades","Low,Middle",,"White,Am. Indian, Aleut, Eskimo,Asian, Pac. Islander",
USA,2002,exante,10,1.059,3.64,,"0-5 Grades,6-8 Grades,9-11 Grades,High School,12 Grades + Non Academic Training,Some College","0-5 Grades,6-8 Grades,9-11 Grades",High,,"White,Am. Indian, Aleut, Eskimo,Asian, Pac. Islander",
USA,2002,exante,13,0.671,1.5,"Northeast,West","0-5 Grades,6-8 Grades,9-11 Grades,High School,12 Grades + Non Academic Training,Some College","0-5 Grades,6-8 Grades,9-11 Grades","Low,Middle",,"Black,Hispanic,Other",
USA,2002,exante,14,0.494,12.13,"North Central,South,Foreign Country","0-5 Grades,6-8 Grades,9-11 Grades,High School,12 Grades + Non Academic Training,Some College","0-5 Grades,6-8 Grades,9-11 Grades","Low,Middle",,"Black,Hispanic,Other",
USA,2002,exante,15,0.808,1.21,,"0-5 Grades,6-8 Grades,9-11 Grades,High School,12 Grades + Non Academic Training,Some College","0-5 Grades,6-8 Grades,9-11 Grades",High,,"Black,Hispanic,Other",
USA,2002,exante,18,0.98,22.85,,"0-5 Grades,6-8 Grades,9-11 Grades,High School,12 Grades + Non Academic Training,Some College",High School,,,"White,Asian, Pac. Islander,Hispanic,Other",
USA,2002,exante,19,1.161,12.35,,"0-5 Grades,6-8 Grades,9-11 Grades,High School,12 Grades + Non Academic Training,Some College","12 Grades + Non Academic Training,Some College,College Degree,Advanced College Degree",,,"White,Asian, Pac. Islander,Hispanic,Other",
USA,2002,exante,21,0.667,6.84,,"0-5 Grades,6-8 Grades,9-11 Grades,High School,12 Grades + Non Academic Training,Some College","High School,12 Grades + Non Academic Training,Some College,College Degree,Advanced College Degree",,"Low,Middle","Black,Am. Indian, Aleut, Eskimo",
USA,2002,exante,23,0.794,2.45,,"0-5 Grades,6-8 Grades,9-11 Grades,High School,12 Grades + Non Academic Training,Some College","High School,Some College",,High,"Black,Am. Indian, Aleut, Eskimo",
USA,2002,exante,24,1.115,1.02,,"0-5 Grades,6-8 Grades,9-11 Grades,High School,12 Grades + Non Academic Training,Some College","12 Grades + Non Academic Training,College Degree,Advanced College Degree",,High,"Black,Am. Indian, Aleut, Eskimo",
USA,2002,exante,25,1.481,15.53,,"College Degree,Advanced College Degree",,,,,
