Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
ind,2005,exante,6,1.15,3.84,,"None,Incomplete Primary",None,"Professionals And Technicians,Administratives And Managers,Clerks And Related,Sales Workers,Services Workers,Production And Related Workers, Transport Opperators And Labourers,Unemployed",,"Forward Caste,Christian, Sikh, Jain",
ind,2005,exante,7,1.607,1.25,,"None,Incomplete Primary","Incomplete Primary,Complete Primary,Incomplete Secondary,Complete Secondary,Higher Secondary,Post-Secondary Or Higher","Professionals And Technicians,Administratives And Managers,Clerks And Related,Sales Workers,Services Workers,Production And Related Workers, Transport Opperators And Labourers,Unemployed",,"Forward Caste,Christian, Sikh, Jain",
ind,2005,exante,11,0.893,1.64,,"None,Incomplete Primary",None,"Professionals And Technicians,Administratives And Managers,Unemployed",,"Other Backward Castes (Obc),Dalit,Adivasi,Muslim",
ind,2005,exante,14,0.696,1.38,,"None,Incomplete Primary",None,"Sales Workers,Services Workers,Production And Related Workers, Transport Opperators And Labourers",,"Other Backward Castes (Obc),Muslim",Female
ind,2005,exante,15,0.819,6.93,,"None,Incomplete Primary",None,"Sales Workers,Services Workers,Production And Related Workers, Transport Opperators And Labourers",,"Other Backward Castes (Obc),Muslim",Male
ind,2005,exante,17,0.683,4.06,,"None,Incomplete Primary",None,"Sales Workers,Production And Related Workers, Transport Opperators And Labourers",,"Dalit,Adivasi",
ind,2005,exante,18,0.854,1.01,,"None,Incomplete Primary",None,Services Workers,,"Dalit,Adivasi",
ind,2005,exante,19,1.302,1.01,,"None,Incomplete Primary",None,Clerks And Related,,"Other Backward Castes (Obc),Dalit,Adivasi,Muslim",
ind,2005,exante,21,1.366,1.01,,"None,Incomplete Primary","Incomplete Primary,Complete Primary,Incomplete Secondary,Complete Secondary,Higher Secondary,Post-Secondary Or Higher","Professionals And Technicians,Administratives And Managers,Clerks And Related,Sales Workers,Services Workers",,"Other Backward Castes (Obc),Dalit,Adivasi,Muslim",
ind,2005,exante,22,1.074,1.1,,"None,Incomplete Primary","Incomplete Primary,Complete Primary,Incomplete Secondary,Complete Secondary,Higher Secondary,Post-Secondary Or Higher","Production And Related Workers, Transport Opperators And Labourers,Unemployed",,"Other Backward Castes (Obc),Dalit,Adivasi,Muslim",
ind,2005,exante,26,1.627,1.25,,"Complete Primary,Incomplete Secondary",None,"Professionals And Technicians,Administratives And Managers,Clerks And Related,Sales Workers",,"Forward Caste,Adivasi,Christian, Sikh, Jain",
ind,2005,exante,27,1.272,1.25,,"Complete Primary,Incomplete Secondary",None,"Services Workers,Production And Related Workers, Transport Opperators And Labourers,Unemployed",,"Forward Caste,Adivasi,Christian, Sikh, Jain",
ind,2005,exante,29,2.068,1.12,,"Complete Primary,Incomplete Secondary","Incomplete Primary,Complete Primary,Incomplete Secondary,Complete Secondary,Higher Secondary,Post-Secondary Or Higher","Professionals And Technicians,Sales Workers,Services Workers",,"Forward Caste,Adivasi,Christian, Sikh, Jain",
ind,2005,exante,30,1.646,1.57,,"Complete Primary,Incomplete Secondary","Incomplete Primary,Complete Primary,Incomplete Secondary,Complete Secondary,Higher Secondary,Post-Secondary Or Higher","Administratives And Managers,Clerks And Related,Production And Related Workers, Transport Opperators And Labourers,Unemployed",,"Forward Caste,Adivasi,Christian, Sikh, Jain",
ind,2005,exante,32,1.548,1.91,,"Complete Primary,Incomplete Secondary",,"Professionals And Technicians,Administratives And Managers,Clerks And Related",,"Other Backward Castes (Obc),Dalit,Muslim",
ind,2005,exante,34,0.984,2.25,,Complete Primary,,"Sales Workers,Services Workers,Production And Related Workers, Transport Opperators And Labourers,Unemployed",,"Other Backward Castes (Obc),Dalit,Muslim",
ind,2005,exante,35,1.23,3.36,,Incomplete Secondary,,"Sales Workers,Services Workers,Production And Related Workers, Transport Opperators And Labourers,Unemployed",,"Other Backward Castes (Obc),Dalit,Muslim",
ind,2005,exante,38,0.899,9.7,,"None,Incomplete Primary",,"Agricultural, Forestry And Fishery Workers",,"Forward Caste,Christian, Sikh, Jain",
ind,2005,exante,39,1.585,1.86,,"Complete Primary,Incomplete Secondary",,"Agricultural, Forestry And Fishery Workers",,"Forward Caste,Christian, Sikh, Jain",
ind,2005,exante,42,0.627,20.57,,"None,Incomplete Primary,Complete Primary,Incomplete Secondary","None,Higher Secondary","Agricultural, Forestry And Fishery Workers",,"Other Backward Castes (Obc),Muslim",
ind,2005,exante,45,0.542,9.85,,None,"None,Higher Secondary","Agricultural, Forestry And Fishery Workers",,Dalit,
ind,2005,exante,46,0.48,4.37,,None,"None,Higher Secondary","Agricultural, Forestry And Fishery Workers",,Adivasi,
ind,2005,exante,47,0.62,2.26,,"Incomplete Primary,Complete Primary,Incomplete Secondary","None,Higher Secondary","Agricultural, Forestry And Fishery Workers",,"Dalit,Adivasi",
ind,2005,exante,48,0.835,2.85,,"None,Incomplete Primary,Complete Primary,Incomplete Secondary","Incomplete Primary,Complete Primary,Incomplete Secondary,Complete Secondary,Post-Secondary Or Higher","Agricultural, Forestry And Fishery Workers",,"Other Backward Castes (Obc),Dalit,Adivasi,Muslim",
ind,2005,exante,53,1.699,1.26,,Complete Secondary,None,"Professionals And Technicians,Administratives And Managers,Clerks And Related",,,
ind,2005,exante,54,2.237,1.51,,Complete Secondary,"Incomplete Primary,Complete Primary,Incomplete Secondary","Professionals And Technicians,Administratives And Managers,Clerks And Related",,,
ind,2005,exante,56,2.329,1.14,,"Higher Secondary,Post-Secondary Or Higher","None,Incomplete Primary","Professionals And Technicians,Administratives And Managers,Clerks And Related",,,
ind,2005,exante,57,2.964,1.41,,"Higher Secondary,Post-Secondary Or Higher","Complete Primary,Incomplete Secondary","Professionals And Technicians,Administratives And Managers,Clerks And Related",,,
ind,2005,exante,60,1.978,1.33,,"Complete Secondary,Higher Secondary,Post-Secondary Or Higher","None,Incomplete Primary,Complete Primary,Incomplete Secondary","Sales Workers,Services Workers,Production And Related Workers, Transport Opperators And Labourers,Unemployed",,"Forward Caste,Adivasi,Christian, Sikh, Jain",
ind,2005,exante,61,1.504,1.6,,"Complete Secondary,Higher Secondary,Post-Secondary Or Higher","None,Incomplete Primary,Complete Primary,Incomplete Secondary","Sales Workers,Services Workers,Production And Related Workers, Transport Opperators And Labourers,Unemployed",,"Other Backward Castes (Obc),Dalit,Muslim",
ind,2005,exante,62,0.928,1.04,,"Complete Secondary,Higher Secondary,Post-Secondary Or Higher","None,Incomplete Primary,Complete Primary,Incomplete Secondary","Agricultural, Forestry And Fishery Workers",,,
ind,2005,exante,64,2.96,1.87,,"Complete Secondary,Higher Secondary,Post-Secondary Or Higher",Complete Secondary,,,,
ind,2005,exante,65,4.063,1.44,,"Complete Secondary,Higher Secondary,Post-Secondary Or Higher","Higher Secondary,Post-Secondary Or Higher",,,,
