Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
AT,2005,expost,7,0.887,28.43,"Local,European Union","Unknown,High","Unknown,Low,High","Dead/Unknown/Not Working,Service,Agriculture,Craft/Trades,Plant Operator,Elementary","Dead/Unknown/Not Working,Craft/Trades,Plant Operator,Armed Forces",,
AT,2005,expost,8,0.94,16.63,"Local,European Union","Unknown,High","Unknown,Low,High","Dead/Unknown/Not Working,Service,Agriculture,Craft/Trades,Plant Operator,Elementary","Agriculture,Elementary",,
AT,2005,expost,9,1.024,8.22,"Local,European Union","Unknown,High",Medium,"Dead/Unknown/Not Working,Service,Agriculture,Craft/Trades,Plant Operator,Elementary","Dead/Unknown/Not Working,Agriculture,Craft/Trades,Plant Operator,Elementary,Armed Forces",,
AT,2005,expost,10,1.055,11.21,"Local,European Union","Unknown,High",,"Manager,Professional,Technician,Clerical,Armed Forces","Dead/Unknown/Not Working,Agriculture,Craft/Trades,Plant Operator,Elementary,Armed Forces",,
AT,2005,expost,11,1.335,1.38,"Local,European Union",Medium,,,"Dead/Unknown/Not Working,Agriculture,Craft/Trades,Plant Operator,Elementary,Armed Forces",,
AT,2005,expost,12,0.694,7.43,Other,,,,"Dead/Unknown/Not Working,Agriculture,Craft/Trades,Plant Operator,Elementary,Armed Forces",,
AT,2005,expost,16,1.291,1.01,,"Unknown,Medium,High",Medium,,"Manager,Clerical",,
AT,2005,expost,17,1.175,7.32,,"Unknown,Medium,High",High,,"Manager,Clerical",,
AT,2005,expost,18,1.128,15.8,,"Unknown,Medium,High",,,"Professional,Technician,Service",,
AT,2005,expost,20,1.317,1.18,,,"Medium,High",,"Manager,Professional,Technician,Clerical,Service",,
AT,2005,expost,21,1.886,1.38,,,,,"Manager,Professional,Technician,Clerical,Service",,
