Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
CHI,2014,expost,6,1.465,4.44,"Hebei,Liaoning,Anhui,Hubei,Hunan,Shaanxi",,,"Armed Forces,Managers,Professionals,Technicians And Associate Professionals,Services And Sales Workers,Craft And Trade Workers,Plant And Machine Opperators And Assemblers,Elementary Occupations,Unemployed","Armed Forces,Managers,Professionals,Technicians And Associate Professionals,Clerks,Services And Sales Workers,Craft And Trade Workers,Plant And Machine Opperators And Assemblers,Elementary Occupations,Unemployed",,
CHI,2014,expost,7,1.132,1.5,"Hebei,Liaoning,Anhui,Hubei,Hunan,Shaanxi",,,"Clerks,Agricultural, Forestry And Fishery Workers","Armed Forces,Managers,Professionals,Technicians And Associate Professionals,Clerks,Services And Sales Workers,Craft And Trade Workers,Plant And Machine Opperators And Assemblers,Elementary Occupations,Unemployed",,
CHI,2014,expost,9,1.212,2.29,"Heilongjiang,Fujian,Jiangxi,Henan,Guangdong","Illiterate/Semi-Literate,3-Year College,4-Year College/Bachelor's Degree",,,"Armed Forces,Managers,Professionals,Technicians And Associate Professionals,Clerks,Services And Sales Workers,Craft And Trade Workers,Plant And Machine Opperators And Assemblers,Elementary Occupations,Unemployed",,
CHI,2014,expost,10,1.033,3.39,"Heilongjiang,Fujian,Jiangxi,Henan,Guangdong","Primary School,Junior High School,Senior High School/Secondary School/Technical School/Vocational Senior School,Master's Degree",,,"Armed Forces,Managers,Professionals,Technicians And Associate Professionals,Clerks,Services And Sales Workers,Craft And Trade Workers,Plant And Machine Opperators And Assemblers,Elementary Occupations,Unemployed",,
CHI,2014,expost,14,0.814,11.41,"Hebei,Liaoning,Henan,Shaanxi","Illiterate/Semi-Literate,3-Year College",,,"Agricultural, Forestry And Fishery Workers",,
CHI,2014,expost,15,0.733,1.41,"Heilongjiang,Jiangxi","Illiterate/Semi-Literate,3-Year College",,,"Agricultural, Forestry And Fishery Workers",,
CHI,2014,expost,16,0.849,13.85,"Hebei,Liaoning,Heilongjiang,Jiangxi,Henan,Shaanxi","Primary School,Junior High School,Senior High School/Secondary School/Technical School/Vocational Senior School,4-Year College/Bachelor's Degree",,,"Agricultural, Forestry And Fishery Workers",,
CHI,2014,expost,18,1.097,3.38,"Anhui,Hubei",,,,"Agricultural, Forestry And Fishery Workers",,
CHI,2014,expost,19,1.097,7.8,"Fujian,Hunan,Guangdong",,,,"Agricultural, Forestry And Fishery Workers",,
CHI,2014,expost,23,0.766,28.98,"Shanxi,Jilin,Shandong,Guangxi Zhuang Autonomous Region,Sichuan,Gansu",,,,"Armed Forces,Agricultural, Forestry And Fishery Workers,Unemployed","Han,Mongol,Hui,Tibetan,Miao,Zhuang,Manchu",
CHI,2014,expost,24,0.758,4.81,"Guizhou,Yunnan",,,,"Armed Forces,Agricultural, Forestry And Fishery Workers,Unemployed","Han,Mongol,Hui,Tibetan,Miao,Zhuang,Manchu",
CHI,2014,expost,25,1.252,1.57,"Shanxi,Jilin,Shandong,Guangxi Zhuang Autonomous Region,Sichuan,Guizhou,Yunnan,Gansu",,,,"Managers,Professionals,Technicians And Associate Professionals,Clerks,Services And Sales Workers,Craft And Trade Workers,Plant And Machine Opperators And Assemblers,Elementary Occupations","Han,Mongol,Hui,Tibetan,Miao,Zhuang,Manchu",
CHI,2014,expost,27,0.364,1.34,"Guangxi Zhuang Autonomous Region,Sichuan,Gansu",,,,,"Yi,Bouyei,Other",
CHI,2014,expost,28,0.739,1.69,"Guizhou,Yunnan",,,,,"Yi,Bouyei,Other",
CHI,2014,expost,31,2.248,2.15,Shanghai,,,"Armed Forces,Agricultural, Forestry And Fishery Workers",,,
CHI,2014,expost,32,3.041,3.66,Shanghai,,,"Managers,Professionals,Technicians And Associate Professionals,Clerks,Services And Sales Workers,Craft And Trade Workers,Plant And Machine Opperators And Assemblers,Elementary Occupations,Unemployed",,,
CHI,2014,expost,35,1.65,3.4,"Jiangsu,Zhejiang",,,,"Armed Forces,Managers,Services And Sales Workers,Agricultural, Forestry And Fishery Workers,Plant And Machine Opperators And Assemblers",,
CHI,2014,expost,36,1.208,1.1,Other,,,,"Armed Forces,Managers,Services And Sales Workers,Agricultural, Forestry And Fishery Workers,Plant And Machine Opperators And Assemblers",,
CHI,2014,expost,37,1.928,1.84,"Jiangsu,Zhejiang,Other",,,,"Professionals,Technicians And Associate Professionals,Clerks,Craft And Trade Workers,Elementary Occupations,Unemployed",,
