Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
CHL,2006,expost,5,0.645,10.19,"Tarapca,Libertador,Magallanes,Arica And Perinacota","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,8 Years Of Education,9 Years Of Education,10 Years Of Education,11 Years Of Education","2 Years Of Education,4 Years Of Education",,,,
CHL,2006,expost,7,0.699,4.65,"Tarapca,Libertador","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,8 Years Of Education,9 Years Of Education,10 Years Of Education,11 Years Of Education","3 Years Of Education,5 Years Of Education,6 Years Of Education,8 Years Of Education,12 Years Of Education,14 Years Of Education,15 Years Of Education",,,,
CHL,2006,expost,10,0.793,6.21,"Magallanes,Arica And Perinacota","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,8 Years Of Education,9 Years Of Education,10 Years Of Education,11 Years Of Education","3 Years Of Education,5 Years Of Education,8 Years Of Education",,,,Female
CHL,2006,expost,11,0.913,4.66,"Magallanes,Arica And Perinacota","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,8 Years Of Education,9 Years Of Education,10 Years Of Education,11 Years Of Education","3 Years Of Education,5 Years Of Education,8 Years Of Education",,,,Male
CHL,2006,expost,12,1.33,1.26,"Magallanes,Arica And Perinacota","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,8 Years Of Education,9 Years Of Education,10 Years Of Education,11 Years Of Education","6 Years Of Education,12 Years Of Education,14 Years Of Education,15 Years Of Education",,,,
CHL,2006,expost,14,0.888,3.04,"Atacama,Coquimbo","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,8 Years Of Education,9 Years Of Education,10 Years Of Education,11 Years Of Education",,,,,
CHL,2006,expost,15,0.913,1.58,"Metropolitana De Santiago,Los Rios","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,8 Years Of Education,9 Years Of Education,10 Years Of Education,11 Years Of Education",,,,,
CHL,2006,expost,18,0.544,1.55,"Antofagasta,Valparaiso,Maule,Biobio,Aisen","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,8 Years Of Education,9 Years Of Education,10 Years Of Education,11 Years Of Education",,,,"Aymara,Mapuche,Yagan",
CHL,2006,expost,20,0.459,2.98,"Araucania,Los Lagos","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,8 Years Of Education,9 Years Of Education,10 Years Of Education,11 Years Of Education","3 Years Of Education,4 Years Of Education",,,"Aymara,Mapuche,Yagan",
CHL,2006,expost,21,0.542,1.36,"Araucania,Los Lagos","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,8 Years Of Education,9 Years Of Education,10 Years Of Education,11 Years Of Education","2 Years Of Education,6 Years Of Education,8 Years Of Education,12 Years Of Education,14 Years Of Education,15 Years Of Education",,,"Aymara,Mapuche,Yagan",
CHL,2006,expost,25,0.58,6.43,"Antofagasta,Valparaiso,Biobio","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,8 Years Of Education,9 Years Of Education,10 Years Of Education,11 Years Of Education","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,7 Years Of Education,9 Years Of Education",,,"Quechua,Atacameno,Coya,Kawaskar,Diaguita,Other",
CHL,2006,expost,26,0.588,4.27,Maule,"1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,6 Years Of Education,7 Years Of Education,8 Years Of Education,9 Years Of Education,10 Years Of Education,11 Years Of Education","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,5 Years Of Education,7 Years Of Education,9 Years Of Education",,,"Quechua,Atacameno,Coya,Kawaskar,Diaguita,Other",
