Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
CY,2005,expost,6,0.819,27.01,"Local,European Union","Unknown,Low","Unknown,Low,Medium",,"Dead/Unknown/Not Working,Agriculture,Plant Operator,Elementary",,
CY,2005,expost,8,0.927,13.7,"Local,European Union",Medium,"Unknown,Low,Medium",,"Dead/Unknown/Not Working,Agriculture,Plant Operator,Elementary",,Male
CY,2005,expost,9,0.881,14.54,"Local,European Union",Medium,"Unknown,Low,Medium",,"Dead/Unknown/Not Working,Agriculture,Plant Operator,Elementary",,Female
CY,2005,expost,10,1.045,5.55,"Local,European Union","Unknown,Low,Medium","Unknown,Low,Medium",,"Manager,Technician,Clerical,Service,Craft/Trades",,
CY,2005,expost,11,0.72,3.54,Other,"Unknown,Low,Medium","Unknown,Low,Medium",,,,
CY,2005,expost,14,0.908,1.27,,High,"Unknown,Low",,"Dead/Unknown/Not Working,Clerical,Agriculture",,
CY,2005,expost,15,1.028,1.53,,High,"Unknown,Low",,"Service,Craft/Trades,Plant Operator,Elementary",,
CY,2005,expost,16,1.066,6.71,,High,Medium,,,,
CY,2005,expost,22,1.215,4.83,Local,,High,"Dead/Unknown/Not Working,Technician,Service","Dead/Unknown/Not Working,Clerical,Service,Agriculture",,
CY,2005,expost,23,1.091,4.16,Local,,High,"Agriculture,Craft/Trades,Plant Operator,Elementary","Dead/Unknown/Not Working,Clerical,Service,Agriculture",,
CY,2005,expost,24,1.243,2.04,Local,,High,"Dead/Unknown/Not Working,Technician,Service,Agriculture,Craft/Trades,Plant Operator,Elementary","Craft/Trades,Plant Operator,Elementary",,
CY,2005,expost,26,1.557,2.35,Local,,High,"Manager,Professional,Armed Forces","Dead/Unknown/Not Working,Clerical,Service,Agriculture,Craft/Trades,Plant Operator,Elementary",,
CY,2005,expost,27,1.348,1.72,Local,,High,Clerical,"Dead/Unknown/Not Working,Clerical,Service,Agriculture,Craft/Trades,Plant Operator,Elementary",,
CY,2005,expost,29,1.484,1.92,Local,"Unknown,Low,Medium",High,,"Manager,Professional,Technician",,
CY,2005,expost,30,1.957,2.39,Local,High,High,,"Manager,Professional,Technician",,
CY,2005,expost,32,1.128,4.53,"European Union,Other","Unknown,Low",High,,,,
CY,2005,expost,34,0.781,1.03,"European Union,Other","Medium,High",High,"Manager,Clerical,Craft/Trades,Plant Operator",,,
CY,2005,expost,35,0.731,1.17,"European Union,Other","Medium,High",High,"Technician,Service,Agriculture,Elementary,Armed Forces",,,
