Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
DK,2005,expost,4,2.723,4.71,,,Medium,"Manager,Professional,Technician,Armed Forces","Manager,Professional,Clerical",,
DK,2005,expost,5,2.172,5.71,,,Medium,"Manager,Professional,Technician,Armed Forces","Technician,Service,Craft/Trades,Plant Operator,Elementary",,
DK,2005,expost,7,1.714,6.33,,,Medium,"Clerical,Service,Craft/Trades,Elementary",,,
DK,2005,expost,8,1.554,2.81,,,Medium,"Agriculture,Plant Operator",,,
DK,2005,expost,13,0.916,2.76,,Low,High,"Manager,Service,Agriculture,Craft/Trades,Elementary","Manager,Professional,Agriculture",,
DK,2005,expost,14,0.892,4.71,,Low,High,"Professional,Technician,Clerical,Plant Operator,Armed Forces","Manager,Professional,Agriculture",,
DK,2005,expost,15,0.812,38.57,,Low,High,,"Technician,Clerical,Service,Craft/Trades,Plant Operator,Elementary",,
DK,2005,expost,18,1.05,14.14,,High,High,,"Manager,Professional,Technician,Clerical,Service,Craft/Trades",,
DK,2005,expost,19,0.857,5.33,,High,,,"Manager,Professional,Technician,Clerical,Service,Craft/Trades",,
DK,2005,expost,20,0.793,8.71,,High,High,,"Agriculture,Plant Operator,Elementary",,
DK,2005,expost,22,1.983,2.95,,Medium,High,"Manager,Professional,Clerical,Service,Agriculture,Craft/Trades,Plant Operator",,,
DK,2005,expost,23,1.155,3.24,,Medium,High,"Technician,Elementary",,,
