Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
EL,2019,expost,8,0.903,2.09,"Local,European Union",Unknown,"Unknown,Low,High","Dead/Unknown/Not Working,Agriculture,Craft/Trades,Elementary","Dead/Unknown/Not Working,Service,Agriculture,Craft/Trades,Plant Operator,Elementary",,
EL,2019,expost,9,1.03,3.05,"Local,European Union",Medium,"Unknown,Low,High","Dead/Unknown/Not Working,Agriculture,Craft/Trades,Elementary","Dead/Unknown/Not Working,Service,Agriculture,Craft/Trades,Plant Operator,Elementary",,
EL,2019,expost,10,0.981,3.33,"Local,European Union","Unknown,Medium",Medium,"Dead/Unknown/Not Working,Agriculture,Craft/Trades,Elementary","Dead/Unknown/Not Working,Service,Agriculture,Craft/Trades,Plant Operator,Elementary",,
EL,2019,expost,11,1.097,1.44,"Local,European Union","Unknown,Medium",,"Dead/Unknown/Not Working,Agriculture,Craft/Trades,Elementary","Manager,Professional,Technician,Clerical",,
EL,2019,expost,13,0.86,25.34,"Local,European Union",Low,,"Dead/Unknown/Not Working,Agriculture,Craft/Trades,Elementary","Dead/Unknown/Not Working,Professional,Elementary",,
EL,2019,expost,15,0.939,2.47,"Local,European Union",Low,,"Dead/Unknown/Not Working,Agriculture,Craft/Trades,Elementary","Manager,Clerical,Service",,
EL,2019,expost,16,0.871,18.6,"Local,European Union",Low,,"Dead/Unknown/Not Working,Agriculture,Craft/Trades,Elementary","Technician,Agriculture,Craft/Trades,Plant Operator",,
EL,2019,expost,18,0.715,1.01,Other,"Unknown,Medium",,"Dead/Unknown/Not Working,Agriculture,Craft/Trades,Elementary",,,
EL,2019,expost,19,0.655,3.56,Other,Low,,"Dead/Unknown/Not Working,Agriculture,Craft/Trades,Elementary",,,
EL,2019,expost,21,0.999,18.29,,"Unknown,Low,Medium","Unknown,Low","Manager,Professional,Technician,Clerical,Service,Plant Operator,Armed Forces",,,
EL,2019,expost,23,1.099,7.39,,"Unknown,Low,Medium","Medium,High","Manager,Professional,Technician,Clerical,Service,Plant Operator,Armed Forces","Dead/Unknown/Not Working,Technician,Service,Agriculture,Craft/Trades,Plant Operator,Elementary",,
EL,2019,expost,24,1.212,3.06,,"Unknown,Low,Medium","Medium,High","Manager,Professional,Technician,Clerical,Service,Plant Operator,Armed Forces","Manager,Professional,Clerical,Armed Forces",,
EL,2019,expost,26,1.291,5.36,,High,,,"Dead/Unknown/Not Working,Service,Agriculture,Craft/Trades,Elementary",,
EL,2019,expost,27,1.579,5.01,,High,,,"Manager,Professional,Technician,Clerical,Armed Forces",,
