Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
FR,2005,expost,8,0.795,4.1,"Local,European Union","Unknown,Low,High","Unknown,Low,Medium","Dead/Unknown/Not Working,Professional,Service,Agriculture,Craft/Trades,Plant Operator,Elementary","Dead/Unknown/Not Working,Agriculture",,
FR,2005,expost,9,0.884,18.88,"Local,European Union",Medium,"Unknown,Low,Medium","Dead/Unknown/Not Working,Professional,Service,Agriculture,Craft/Trades,Plant Operator,Elementary","Dead/Unknown/Not Working,Agriculture",,
FR,2005,expost,12,0.892,17.41,"Local,European Union","Unknown,Low,Medium","Unknown,Medium","Dead/Unknown/Not Working,Professional,Service,Agriculture,Craft/Trades,Plant Operator,Elementary","Service,Plant Operator,Elementary",,
FR,2005,expost,13,0.964,1.31,"Local,European Union","Unknown,Low,Medium",Low,"Dead/Unknown/Not Working,Professional,Service,Agriculture,Craft/Trades,Plant Operator,Elementary","Service,Plant Operator,Elementary",,
FR,2005,expost,14,1.057,1.26,"Local,European Union",High,"Unknown,Low,Medium","Dead/Unknown/Not Working,Professional,Service,Agriculture,Craft/Trades,Plant Operator,Elementary","Service,Plant Operator,Elementary",,
FR,2005,expost,15,0.981,6.49,"Local,European Union","Unknown,Low,Medium,High","Unknown,Low,Medium","Manager,Technician,Clerical,Armed Forces","Dead/Unknown/Not Working,Service,Agriculture,Plant Operator,Elementary",,
FR,2005,expost,16,1.044,10.94,"Local,European Union","Unknown,Low,Medium,High","Unknown,Low,Medium",,"Manager,Professional,Technician,Clerical,Craft/Trades,Armed Forces",,
FR,2005,expost,18,0.875,2.41,Other,"Unknown,Low,Medium,High","Unknown,Medium",,,,
FR,2005,expost,19,0.616,3.19,Other,"Unknown,Low,Medium,High",Low,,,,
FR,2005,expost,22,1.046,4.72,,"Unknown,Low,Medium,High",High,,"Dead/Unknown/Not Working,Agriculture,Craft/Trades",,
FR,2005,expost,25,1.065,3.39,,"Unknown,Low,Medium,High",High,"Dead/Unknown/Not Working,Clerical,Service,Agriculture,Craft/Trades,Plant Operator,Elementary",Clerical,,
FR,2005,expost,26,0.945,4.77,,"Unknown,Low,Medium,High",High,"Dead/Unknown/Not Working,Clerical,Service,Agriculture,Craft/Trades,Plant Operator,Elementary","Service,Plant Operator,Elementary",,
FR,2005,expost,27,1.177,3.91,,"Unknown,Low,Medium,High",High,"Manager,Professional,Technician,Armed Forces","Clerical,Service,Plant Operator,Elementary",,
FR,2005,expost,29,1.378,2.67,,"Unknown,Low,Medium,High",High,,"Manager,Professional,Technician,Armed Forces",,
FR,2005,expost,30,1.171,4.5,,"Unknown,Low,Medium,High",,,"Manager,Professional,Technician,Armed Forces",,
FR,2005,expost,33,1.655,1.17,,,,"Manager,Technician,Clerical,Agriculture,Craft/Trades,Plant Operator",,,
FR,2005,expost,34,1.972,1.37,,,,"Professional,Service,Elementary,Armed Forces",,,
FR,2005,expost,36,1.31,6.29,Local,,,,,,
FR,2005,expost,37,1.056,1.22,"European Union,Other",,,,,,
