Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
GAM,2015,expost,5,1.018,7.13,"Banjul,Basse,Kanifing",,,,,"Bambara,Fula/Tukulur/Lorobo,Jola/Karoninka,Manjago,Other,Serrer",
GAM,2015,expost,7,1.174,5.72,"Banjul,Basse,Kanifing",,,"Accomodation, Food Service And Homely Activities,Agricolture, Forestry And Fishing,Professional Activities (Ic, Financial, Scientific, Technical, Social)",,"Mandika/Jahanka,Wollof",
GAM,2015,expost,8,1.552,1.08,"Banjul,Basse,Kanifing",,,"Administrative And Service Activities,Arts, Entertainment And Recreation,Construction, Mining And Energy Supply,Education,Manufacturing,Public Administration And Defense,Transportation And Storage,Wholesale And Retail Trader, Repair Of Motor Vehicles And Motorcycles",,"Mandika/Jahanka,Wollof",
GAM,2015,expost,12,1.007,9.1,Kerewan,,,"Accomodation, Food Service And Homely Activities,Agricolture, Forestry And Fishing,Arts, Entertainment And Recreation,Construction, Mining And Energy Supply,Manufacturing,Professional Activities (Ic, Financial, Scientific, Technical, Social)",,"Bambara,Mandika/Jahanka,Other,Serrer",
GAM,2015,expost,13,0.751,3.94,Kerewan,,,"Accomodation, Food Service And Homely Activities,Agricolture, Forestry And Fishing,Arts, Entertainment And Recreation,Construction, Mining And Energy Supply,Manufacturing,Professional Activities (Ic, Financial, Scientific, Technical, Social)",,Fula/Tukulur/Lorobo,
GAM,2015,expost,14,1.231,1.17,Kerewan,,,"Administrative And Service Activities,Education,Public Administration And Defense,Transportation And Storage,Wholesale And Retail Trader, Repair Of Motor Vehicles And Motorcycles",,"Bambara,Fula/Tukulur/Lorobo,Mandika/Jahanka,Other,Serrer",
GAM,2015,expost,15,0.714,6.74,Kerewan,,,,,"Jola/Karoninka,Manjago,Wollof",
GAM,2015,expost,16,1.761,6.78,"Banjul,Basse,Kanifing,Kerewan",,,,,"Creole/Aku Marabout,Sarahulleh",
GAM,2015,expost,20,1.323,1.01,"Brikama,Janjangbureh,Kuntaur,Mansakonko",,,"Accomodation, Food Service And Homely Activities,Administrative And Service Activities,Construction, Mining And Energy Supply,Education,Manufacturing,Professional Activities (Ic, Financial, Scientific, Technical, Social),Public Administration And Defense,Wholesale And Retail Trader, Repair Of Motor Vehicles And Motorcycles",,"Bambara,Jola/Karoninka,Wollof",
GAM,2015,expost,23,0.803,6.56,Brikama,,,"Agricolture, Forestry And Fishing,Transportation And Storage",,"Bambara,Jola/Karoninka,Wollof",
GAM,2015,expost,24,0.692,4.93,"Kuntaur,Mansakonko",,,"Agricolture, Forestry And Fishing,Transportation And Storage",,"Bambara,Jola/Karoninka,Wollof",
GAM,2015,expost,25,0.604,4.84,Janjangbureh,,,"Agricolture, Forestry And Fishing,Transportation And Storage",,"Bambara,Jola/Karoninka,Wollof",
GAM,2015,expost,27,1.392,2.38,Brikama,,,,,Fula/Tukulur/Lorobo,
GAM,2015,expost,29,0.5,9.58,"Janjangbureh,Mansakonko",,,,,Fula/Tukulur/Lorobo,
GAM,2015,expost,30,0.529,6.32,Kuntaur,,,,,Fula/Tukulur/Lorobo,
GAM,2015,expost,32,1.601,1.1,"Brikama,Janjangbureh,Kuntaur,Mansakonko",,,"Accomodation, Food Service And Homely Activities,Arts, Entertainment And Recreation,Manufacturing,Professional Activities (Ic, Financial, Scientific, Technical, Social),Transportation And Storage",,"Creole/Aku Marabout,Mandika/Jahanka,Manjago,Other,Sarahulleh,Serrer",
GAM,2015,expost,36,1.05,1.15,"Brikama,Mansakonko",,,"Administrative And Service Activities,Education",,"Creole/Aku Marabout,Mandika/Jahanka",
GAM,2015,expost,38,0.839,4.02,Brikama,,,"Agricolture, Forestry And Fishing,Construction, Mining And Energy Supply,Public Administration And Defense,Wholesale And Retail Trader, Repair Of Motor Vehicles And Motorcycles",,"Creole/Aku Marabout,Mandika/Jahanka",
GAM,2015,expost,39,0.622,6.98,Mansakonko,,,"Agricolture, Forestry And Fishing,Construction, Mining And Energy Supply,Public Administration And Defense,Wholesale And Retail Trader, Repair Of Motor Vehicles And Motorcycles",,"Creole/Aku Marabout,Mandika/Jahanka",
GAM,2015,expost,40,1.024,1.53,"Brikama,Mansakonko",,,"Administrative And Service Activities,Agricolture, Forestry And Fishing,Construction, Mining And Energy Supply,Education,Public Administration And Defense,Wholesale And Retail Trader, Repair Of Motor Vehicles And Motorcycles",,"Manjago,Other,Sarahulleh,Serrer",
GAM,2015,expost,42,0.72,4.53,Janjangbureh,,,"Administrative And Service Activities,Agricolture, Forestry And Fishing,Construction, Mining And Energy Supply,Education,Public Administration And Defense,Wholesale And Retail Trader, Repair Of Motor Vehicles And Motorcycles",,"Creole/Aku Marabout,Mandika/Jahanka,Manjago,Other,Sarahulleh,Serrer",
GAM,2015,expost,43,0.59,3.42,Kuntaur,,,"Administrative And Service Activities,Agricolture, Forestry And Fishing,Construction, Mining And Energy Supply,Education,Public Administration And Defense,Wholesale And Retail Trader, Repair Of Motor Vehicles And Motorcycles",,"Creole/Aku Marabout,Mandika/Jahanka,Manjago,Other,Sarahulleh,Serrer",
