Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
GHA,2017,expost,5,0.971,6.02,"Africa Other Than Ecowas,Brongahafo,Northern,Other Ecowas,Volta","No School,Primary School",,," Sales,Administrative,Clerical,Homeworker,Professional,Service",,
GHA,2017,expost,6,1.24,4.37,"Africa Other Than Ecowas,Brongahafo,Northern,Other Ecowas,Volta","Middle School,Secondary School,Theacher, Nursing Trean,First Degree,Post Graduate",,," Sales,Administrative,Clerical,Homeworker,Professional,Service",,
GHA,2017,expost,9,0.822,5.11,"Africa Other Than Ecowas,Brongahafo,Northern,Other Ecowas,Volta",,,,"Agri,Fish,Hunt,Production","Akan,All Other Tribes",
GHA,2017,expost,11,0.786,11.87,"Africa Other Than Ecowas,Brongahafo,Northern,Other Ecowas,Volta",,,,"Agri,Fish,Hunt,Production","Ewe,Ga-Dangme,Guan,Gurma",
GHA,2017,expost,12,0.744,5.43,"Africa Other Than Ecowas,Brongahafo,Northern,Other Ecowas,Volta",,,,"Agri,Fish,Hunt,Production",Mole-Dagbanii,
GHA,2017,expost,13,0.511,1.25,"Africa Other Than Ecowas,Brongahafo,Northern,Other Ecowas,Volta",,,,"Agri,Fish,Hunt,Production","Grusi,Mande",
GHA,2017,expost,19,1.138,5.0,"Ashanti,Central,Eastern,Western","No School,First Degree","No School,Primary School,Post Graduate",," Sales,Administrative,Clerical,Homeworker,Production,Professional,Service",,
GHA,2017,expost,20,1.12,4.51,"Ashanti,Central,Eastern,Western","Middle School,Secondary School,Theacher, Nursing Trean,Post Graduate","No School,Primary School,Post Graduate",," Sales,Administrative,Clerical,Homeworker,Production,Professional,Service",,
GHA,2017,expost,21,0.915,1.01,"Ashanti,Central,Eastern,Western",Primary School,"No School,Primary School,Post Graduate",," Sales,Administrative,Clerical,Homeworker,Production,Professional,Service",,
GHA,2017,expost,23,1.199,5.76,"Ashanti,Central,Eastern,Western",,Middle School,," Sales,Administrative,Clerical,Homeworker,Production,Professional,Service",,
GHA,2017,expost,24,1.613,1.15,"Ashanti,Central,Eastern,Western",,"Secondary School,Theacher, Nursing Trean,First Degree",," Sales,Administrative,Clerical,Homeworker,Production,Professional,Service",,
GHA,2017,expost,26,1.894,1.75,"Greater Accra,Outside Africa",,," Sales,Administrative,Clerical,Professional"," Sales,Administrative,Clerical,Homeworker,Production,Professional,Service",,
GHA,2017,expost,28,1.747,1.22,"Greater Accra,Outside Africa",,,"Agri,Fish,Hunt,Homeworker,Production,Service"," Sales,Administrative,Clerical,Homeworker,Production,Professional,Service","Akan,All Other Tribes,Ewe,Grusi,Guan,Mole-Dagbanii",
GHA,2017,expost,29,1.183,1.34,"Greater Accra,Outside Africa",,,"Agri,Fish,Hunt,Homeworker,Production,Service"," Sales,Administrative,Clerical,Homeworker,Production,Professional,Service","Ga-Dangme,Gurma,Mande",
GHA,2017,expost,32,0.905,13.22,"Ashanti,Eastern,Outside Africa,Western",,,,"Agri,Fish,Hunt","Akan,Ewe,Ga-Dangme,Guan,Mande",
GHA,2017,expost,33,1.056,5.86,"Central,Greater Accra",,,,"Agri,Fish,Hunt","Akan,Ewe,Ga-Dangme,Guan,Mande",
GHA,2017,expost,34,0.757,1.82,"Ashanti,Central,Eastern,Greater Accra,Outside Africa,Western",,,,"Agri,Fish,Hunt","All Other Tribes,Grusi,Gurma,Mole-Dagbanii",
GHA,2017,expost,36,0.979,3.16,"Upper East,Upper West",,,," Sales,Administrative,Clerical,Homeworker,Professional,Service",,
GHA,2017,expost,38,0.776,1.06,"Upper East,Upper West",,,,"Agri,Fish,Hunt,Production","Akan,All Other Tribes,Ewe,Guan,Mande",
GHA,2017,expost,41,0.493,1.51,Upper East,,,,"Agri,Fish,Hunt,Production","Grusi,Gurma",
GHA,2017,expost,42,0.667,7.58,Upper East,,,,"Agri,Fish,Hunt,Production",Mole-Dagbanii,
GHA,2017,expost,44,0.433,1.8,Upper West,,,,"Agri,Fish,Hunt,Production",Grusi,
GHA,2017,expost,45,0.533,8.21,Upper West,,,,"Agri,Fish,Hunt,Production","Gurma,Mole-Dagbanii",
