Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
GTM,2000,expost,5,1.206,2.34,"Guatemala,El Progreso,Sacatepequez,Escuintla,Santa Rosa,Solola,Suchitepequez,Retalhuleu,Peten,Izabal,Zacapa,Chiquimula,Jalapa,Other Country",,3 Years Of Education,"1,4,6,7",,,
GTM,2000,expost,8,0.729,3.61,"Guatemala,Solola,Izabal",,3 Years Of Education,"2,3,5",,,
GTM,2000,expost,9,0.605,5.63,"Escuintla,Suchitepequez,Jalapa,Other Country",,3 Years Of Education,"2,3,5",,,
GTM,2000,expost,10,0.888,8.33,"El Progreso,Sacatepequez,Santa Rosa,Retalhuleu,Peten,Zacapa,Chiquimula",,3 Years Of Education,"2,3,5",,,
GTM,2000,expost,13,0.636,1.27,"Chimaltenengo,Totonicapan,Quetzaltenango,San Marcos,Huehuetenango,Quiche,Baja Verapaz,Alta Verapaz,Jutiapa",,3 Years Of Education,"1,3,7","1,2,4,6",,
GTM,2000,expost,14,0.778,1.95,"Chimaltenengo,Totonicapan,Quetzaltenango,San Marcos,Huehuetenango,Quiche,Baja Verapaz,Alta Verapaz,Jutiapa",,3 Years Of Education,"2,4,5,6","1,2,4,6",,
GTM,2000,expost,17,0.497,21.52,"Chimaltenengo,Totonicapan,Quetzaltenango,Huehuetenango,Quiche,Baja Verapaz,Alta Verapaz,Jutiapa",,3 Years Of Education,,"3,5,7","White,Indigenous,Afro-Descendant",
GTM,2000,expost,18,0.356,1.03,San Marcos,,3 Years Of Education,,"3,5,7","White,Indigenous,Afro-Descendant",
GTM,2000,expost,19,0.622,9.26,"Chimaltenengo,Totonicapan,Quetzaltenango,San Marcos,Huehuetenango,Quiche,Baja Verapaz,Alta Verapaz,Jutiapa",,3 Years Of Education,,"3,5,7",Mix-Race,
GTM,2000,expost,23,1.028,2.47,,3 Years Of Education,,,"1,2,4",,
GTM,2000,expost,26,0.985,3.07,"Guatemala,El Progreso,Escuintla,San Marcos,Quiche,Alta Verapaz,Izabal,Other Country",3 Years Of Education,,,"3,5,6,7","White,Mix-Race,Afro-Descendant",
GTM,2000,expost,28,1.042,1.99,"Sacatepequez,Santa Rosa,Totonicapan,Retalhuleu,Peten,Zacapa,Chiquimula",3 Years Of Education,,,"3,5,6,7","White,Mix-Race,Afro-Descendant",
GTM,2000,expost,29,0.711,3.05,"Chimaltenengo,Quetzaltenango,Suchitepequez,Huehuetenango,Baja Verapaz,Jalapa,Jutiapa",3 Years Of Education,,,"3,5,6,7","White,Mix-Race,Afro-Descendant",
GTM,2000,expost,31,0.665,3.61,"Guatemala,Sacatepequez,Chimaltenengo,Quetzaltenango,Suchitepequez,San Marcos,Quiche,Baja Verapaz,Alta Verapaz,Izabal,Chiquimula",3 Years Of Education,,,"3,5,6,7",Indigenous,
GTM,2000,expost,32,0.569,1.44,"Santa Rosa,Solola,Totonicapan,Retalhuleu,Huehuetenango,Peten,Jalapa,Jutiapa",3 Years Of Education,,,"3,5,6,7",Indigenous,
GTM,2000,expost,34,0.856,2.51,,6 Years Of Education,,,"1,3,7",,
GTM,2000,expost,35,1.19,1.0,,6 Years Of Education,,,"2,4,5,6",,
GTM,2000,expost,38,1.658,5.01,,"3 Years Of Education,6 Years Of Education",3 Years Of Education,"1,4,6,7",,,
GTM,2000,expost,40,1.098,5.73,,"3 Years Of Education,6 Years Of Education",3 Years Of Education,2,"1,5,6,7",,
GTM,2000,expost,41,1.366,1.58,,"3 Years Of Education,6 Years Of Education",3 Years Of Education,2,"2,3,4",,
GTM,2000,expost,42,0.734,2.06,,"3 Years Of Education,6 Years Of Education",3 Years Of Education,"3,5",,,
GTM,2000,expost,45,1.817,4.55,,,6 Years Of Education,,"1,3,7",,
GTM,2000,expost,47,1.693,1.31,"Guatemala,El Progreso,Sacatepequez,Chimaltenengo,Escuintla,Santa Rosa,Totonicapan,Suchitepequez,Retalhuleu,Zacapa,Jalapa",,6 Years Of Education,,"2,4,5,6",,
GTM,2000,expost,48,2.193,1.02,"Quetzaltenango,San Marcos,Huehuetenango,Quiche,Baja Verapaz,Alta Verapaz,Peten,Izabal,Chiquimula,Jutiapa,Other Country",,6 Years Of Education,,"2,4,5,6",,
GTM,2000,expost,50,2.576,1.05,,"3 Years Of Education,6 Years Of Education",,,,,
GTM,2000,expost,51,3.922,3.6,,,,,,,
