Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
IE,2019,expost,6,0.798,32.89,,"Unknown,Low","Unknown,Low","Dead/Unknown/Not Working,Manager,Technician,Service,Agriculture,Craft/Trades,Plant Operator,Elementary","Dead/Unknown/Not Working,Professional,Service,Agriculture,Craft/Trades,Plant Operator,Elementary",,
IE,2019,expost,7,0.858,4.91,,Medium,"Unknown,Low","Dead/Unknown/Not Working,Manager,Technician,Service,Agriculture,Craft/Trades,Plant Operator,Elementary","Dead/Unknown/Not Working,Professional,Service,Agriculture,Craft/Trades,Plant Operator,Elementary",,
IE,2019,expost,8,1.084,1.44,,"Unknown,Low,Medium","Unknown,Low","Professional,Clerical","Dead/Unknown/Not Working,Professional,Service,Agriculture,Craft/Trades,Plant Operator,Elementary",,
IE,2019,expost,9,1.327,1.34,,"Unknown,Low,Medium","Unknown,Low",,"Manager,Technician,Clerical",,
IE,2019,expost,13,0.94,17.19,Local,"Unknown,Low,Medium","Medium,High","Dead/Unknown/Not Working,Service,Agriculture,Craft/Trades,Plant Operator,Elementary","Dead/Unknown/Not Working,Service,Agriculture,Plant Operator,Elementary",,
IE,2019,expost,14,1.202,5.18,Local,"Unknown,Low,Medium","Medium,High","Manager,Professional,Technician,Clerical","Dead/Unknown/Not Working,Service,Agriculture,Plant Operator,Elementary",,
IE,2019,expost,15,1.157,9.64,Local,"Unknown,Low,Medium","Medium,High",,"Manager,Professional,Technician,Clerical,Craft/Trades",,
IE,2019,expost,16,0.926,7.89,"European Union,Other","Unknown,Low,Medium","Medium,High",,,,
IE,2019,expost,19,0.931,1.34,Local,High,Low,,,,
IE,2019,expost,21,1.472,9.47,Local,High,"Medium,High","Dead/Unknown/Not Working,Manager,Professional,Technician,Agriculture",,,
IE,2019,expost,22,1.199,3.48,Local,High,"Medium,High","Clerical,Service,Craft/Trades,Plant Operator,Elementary",,,
IE,2019,expost,24,0.839,1.94,"European Union,Other",High,"Low,Medium",,,,
IE,2019,expost,25,1.03,3.31,"European Union,Other",High,High,,,,
