Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
IT,2019,expost,7,0.939,4.05,Local,"Unknown,Low","Unknown,High","Dead/Unknown/Not Working,Service,Agriculture,Craft/Trades,Plant Operator,Elementary,Armed Forces","Dead/Unknown/Not Working,Agriculture,Elementary",,
IT,2019,expost,8,0.935,1.03,Local,"Unknown,Low",Medium,"Dead/Unknown/Not Working,Service,Agriculture,Craft/Trades,Plant Operator,Elementary,Armed Forces","Dead/Unknown/Not Working,Agriculture,Elementary",,
IT,2019,expost,10,0.798,12.75,Local,"Unknown,Low",Low,"Dead/Unknown/Not Working,Agriculture,Elementary","Dead/Unknown/Not Working,Agriculture,Elementary",,
IT,2019,expost,11,0.907,19.42,Local,"Unknown,Low",Low,"Service,Craft/Trades,Plant Operator,Armed Forces","Dead/Unknown/Not Working,Agriculture,Elementary",,
IT,2019,expost,12,1.007,5.82,Local,"Medium,High",,"Dead/Unknown/Not Working,Service,Agriculture,Craft/Trades,Plant Operator,Elementary,Armed Forces","Dead/Unknown/Not Working,Agriculture,Elementary",,
IT,2019,expost,14,1.151,5.64,Local,,,"Dead/Unknown/Not Working,Service,Agriculture,Craft/Trades,Plant Operator,Elementary,Armed Forces","Manager,Professional,Technician,Clerical,Armed Forces",,
IT,2019,expost,15,1.053,11.35,Local,,,"Dead/Unknown/Not Working,Service,Agriculture,Craft/Trades,Plant Operator,Elementary,Armed Forces","Service,Craft/Trades,Plant Operator",,
IT,2019,expost,18,0.684,3.02,"European Union,Other","Unknown,Low","Unknown,Medium","Dead/Unknown/Not Working,Service,Agriculture,Craft/Trades,Plant Operator,Elementary,Armed Forces",,,
IT,2019,expost,19,0.732,7.5,"European Union,Other","Unknown,Low","Low,High","Dead/Unknown/Not Working,Service,Agriculture,Craft/Trades,Plant Operator,Elementary,Armed Forces",,,
IT,2019,expost,20,0.893,1.48,"European Union,Other","Medium,High",,"Dead/Unknown/Not Working,Service,Agriculture,Craft/Trades,Plant Operator,Elementary,Armed Forces",,,
IT,2019,expost,25,1.104,11.85,Local,"Low,Medium","Unknown,Low,Medium","Manager,Professional,Technician,Clerical","Dead/Unknown/Not Working,Service,Agriculture,Craft/Trades,Elementary",,
IT,2019,expost,26,1.299,6.69,Local,"Low,Medium","Unknown,Low,Medium","Manager,Professional,Technician,Clerical","Manager,Professional,Technician,Clerical,Plant Operator,Armed Forces",,
IT,2019,expost,27,0.9,1.03,"European Union,Other","Low,Medium","Unknown,Low,Medium","Manager,Professional,Technician,Clerical",,,
IT,2019,expost,28,1.371,4.33,,High,"Unknown,Low,Medium","Manager,Professional,Technician,Clerical",,,
IT,2019,expost,30,1.726,1.22,,,High,"Manager,Professional,Technician,Clerical","Dead/Unknown/Not Working,Manager,Technician,Service,Agriculture,Craft/Trades,Plant Operator",,
IT,2019,expost,31,1.559,2.84,,,High,"Manager,Professional,Technician,Clerical","Professional,Clerical,Elementary",,
