Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
KOR,2009,expost,6,0.997,16.78,"Seoul,Daegu,Daejeon,Gyeonggi-Do,Gangwon-Do,Chungcheongnam-Do,Gyeongsangbuk-Do,Overseas","No Schooling,Elementary School,Middle School,High School,Community College","No Schooling,College/University","Regular/Standard Wage Worker,Employer (With Employees),Self-Employed(With No Employee),Family Worker",,"None,Buddhist,Protestant,Confucian,Daesoon Faith,Other",
KOR,2009,expost,8,0.967,18.6,"Seoul,Daegu,Gangwon-Do,Chungcheongnam-Do,Gyeongsangbuk-Do","No Schooling,Elementary School,Middle School,High School,Community College","Elementary School,Middle School,High School,Community College,Graduate Degree","Regular/Standard Wage Worker,Employer (With Employees),Self-Employed(With No Employee),Family Worker",,"None,Buddhist,Protestant,Confucian,Daesoon Faith,Other",
KOR,2009,expost,9,0.859,5.89,"Daejeon,Gyeonggi-Do,Overseas","No Schooling,Elementary School,Middle School,High School,Community College","Elementary School,Middle School,High School,Community College,Graduate Degree","Regular/Standard Wage Worker,Employer (With Employees),Self-Employed(With No Employee),Family Worker",,"None,Buddhist,Protestant,Confucian,Daesoon Faith,Other",
KOR,2009,expost,12,1.002,12.11,"Busan,Incheon,Gwangju,Chungcheongbuk-Do,Jeollabuk-Do,Jeollanam-Do","No Schooling,Middle School",,"Regular/Standard Wage Worker,Employer (With Employees),Self-Employed(With No Employee),Family Worker",,"None,Buddhist,Protestant,Confucian,Daesoon Faith,Other",
KOR,2009,expost,13,1.088,6.15,"Ulsan,Gyeonsangnam-Do,Jeju-Do,North Korea","No Schooling,Middle School",,"Regular/Standard Wage Worker,Employer (With Employees),Self-Employed(With No Employee),Family Worker",,"None,Buddhist,Protestant,Confucian,Daesoon Faith,Other",
KOR,2009,expost,15,0.991,18.25,"Busan,Incheon,Gwangju,Ulsan,Chungcheongbuk-Do,Jeollabuk-Do,Jeollanam-Do,Gyeonsangnam-Do,Jeju-Do,North Korea","Elementary School,High School,Community College",,"Regular/Standard Wage Worker,Self-Employed(With No Employee),Family Worker",,"None,Buddhist,Protestant,Confucian,Daesoon Faith,Other",
KOR,2009,expost,16,1.148,2.32,"Busan,Incheon,Gwangju,Ulsan,Chungcheongbuk-Do,Jeollabuk-Do,Jeollanam-Do,Gyeonsangnam-Do,Jeju-Do,North Korea","Elementary School,High School,Community College",,Employer (With Employees),,"None,Buddhist,Protestant,Confucian,Daesoon Faith,Other",
KOR,2009,expost,18,1.054,2.06,,"No Schooling,Elementary School,Middle School,High School,Community College",,"Regular/Standard Wage Worker,Employer (With Employees)",,"Catholic,Won Buddhist,Chondo Faith",
KOR,2009,expost,19,1.192,3.15,,"No Schooling,Elementary School,Middle School,High School,Community College",,"Self-Employed(With No Employee),Family Worker",,"Catholic,Won Buddhist,Chondo Faith",
KOR,2009,expost,21,1.294,5.44,"Seoul,Gwangju,Ulsan,Gangwon-Do,Chungcheongbuk-Do,Chungcheongnam-Do,Jeollabuk-Do,Jeollanam-Do,Gyeongsangbuk-Do,Gyeonsangnam-Do,North Korea","College/University,Graduate Degree",,"Regular/Standard Wage Worker,Employer (With Employees),Self-Employed(With No Employee),Family Worker",,,
KOR,2009,expost,22,1.016,2.21,"Busan,Daegu,Daejeon,Incheon,Gyeonggi-Do,Jeju-Do,Overseas","College/University,Graduate Degree",,"Regular/Standard Wage Worker,Employer (With Employees),Self-Employed(With No Employee),Family Worker",,,
KOR,2009,expost,24,0.89,1.16,,"No Schooling,Community College",,"Irregular/Nonstandard Wage Worker,No Job/Housewife",,,
KOR,2009,expost,25,0.715,5.87,,"Elementary School,Middle School,High School,College/University,Graduate Degree",,"Irregular/Nonstandard Wage Worker,No Job/Housewife",,,
