Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
LU,2011,expost,4,0.97,21.01,Local,"Unknown,Low,Medium","Unknown,Low,Medium",,,,
LU,2011,expost,5,1.041,2.53,Local,"Unknown,Low,Medium",High,,,,
LU,2011,expost,8,0.631,5.5,"European Union,Other","Unknown,Low,Medium","Unknown,Low",,"Dead/Unknown/Not Working,Technician,Plant Operator,Elementary",,
LU,2011,expost,9,0.65,1.16,"European Union,Other","Unknown,Low,Medium","Unknown,Low",,"Manager,Service,Agriculture,Craft/Trades",,
LU,2011,expost,14,0.754,12.99,European Union,"Unknown,Low,Medium",Medium,"Dead/Unknown/Not Working,Agriculture,Craft/Trades,Elementary",,,
LU,2011,expost,15,0.819,6.45,European Union,"Unknown,Low,Medium",Medium,"Technician,Clerical,Service,Plant Operator,Armed Forces",,,
LU,2011,expost,16,0.611,3.27,Other,"Unknown,Low,Medium",Medium,"Dead/Unknown/Not Working,Technician,Clerical,Service,Agriculture,Craft/Trades,Plant Operator,Elementary,Armed Forces",,,
LU,2011,expost,17,0.975,1.13,"European Union,Other","Unknown,Low,Medium",Medium,"Manager,Professional",,,
LU,2011,expost,18,0.924,1.99,"European Union,Other","Unknown,Low,Medium",High,,,,
LU,2011,expost,22,1.11,11.8,Local,High,"Unknown,Low,Medium",,,,
LU,2011,expost,23,1.022,3.8,European Union,High,"Unknown,Low,Medium",,,,
LU,2011,expost,26,1.202,9.84,Local,High,High,,,,
LU,2011,expost,27,1.253,5.36,European Union,High,High,,,,
LU,2011,expost,28,1.385,9.02,"Local,European Union",,High,,,,
LU,2011,expost,30,0.781,1.33,Other,High,"Low,Medium",,,,
LU,2011,expost,31,1.098,2.83,Other,High,High,,,,
