Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
NPL,2003,expost,5,1.115,8.73,"Mountains,Rural Hills - Eastern,Rural Terai - Eastern,Rural Terai - Central,Rural Terai - Western","Class 1,Class 4,Class 5,Class 6,Class 7,Class 8,Master Level Or Higher,Literate (Levelless)",,,,,
NPL,2003,expost,6,1.621,1.64,"Mountains,Rural Hills - Eastern,Rural Terai - Eastern,Rural Terai - Central,Rural Terai - Western","Class 9,Class 10,Slc,Intermediate/Class 12,Bachelor Level",,,,,
NPL,2003,expost,8,1.912,4.19,Urban - Hill,"Class 1,Class 4,Class 5,Class 6,Class 7,Class 8,Class 9,Class 10,Slc,Intermediate/Class 12,Bachelor Level,Master Level Or Higher,Literate (Levelless)",,,,,
NPL,2003,expost,9,1.538,11.02,"Urban - Terai,Rural Hills - Central,Rural Hills - Western,Rural Hills - Mid And Far West,Rural Terai - Mid And Far West","Class 1,Class 4,Class 5,Class 6,Class 7,Class 8,Class 9,Class 10,Slc,Intermediate/Class 12,Bachelor Level,Master Level Or Higher,Literate (Levelless)",,,,,
NPL,2003,expost,10,3.288,3.55,Urban - Kathmandu,"Class 1,Class 4,Class 5,Class 6,Class 7,Class 8,Class 9,Class 10,Slc,Intermediate/Class 12,Bachelor Level,Master Level Or Higher,Literate (Levelless)",,,,,
NPL,2003,expost,16,0.735,24.97,"Mountains,Urban - Terai,Rural Hills - Mid And Far West,Rural Terai - Eastern,Rural Terai - Mid And Far West","Class 2,Class 3,Illiterate",,,,"Hindu,Kirant,Other Religion",
NPL,2003,expost,17,0.631,9.27,"Rural Terai - Central,Rural Terai - Western","Class 2,Class 3,Illiterate",,,,"Hindu,Kirant,Other Religion",
NPL,2003,expost,19,0.477,2.26,"Mountains,Rural Hills - Mid And Far West,Rural Terai - Central,Rural Terai - Western","Class 2,Class 3,Illiterate",,,,"Islam,Shikh",
NPL,2003,expost,20,0.679,1.13,"Urban - Terai,Rural Terai - Eastern,Rural Terai - Mid And Far West","Class 2,Class 3,Illiterate",,,,"Islam,Shikh",
NPL,2003,expost,21,0.878,2.53,"Mountains,Urban - Terai,Rural Hills - Mid And Far West,Rural Terai - Eastern,Rural Terai - Central,Rural Terai - Western,Rural Terai - Mid And Far West","Class 2,Class 3,Illiterate",,,,"Bouddha,Christian",
NPL,2003,expost,24,1.02,16.4,"Urban - Hill,Rural Hills - Central,Rural Hills - Western","Class 2,Class 3,Illiterate",,,,"Hindu,Islam,Christian",
NPL,2003,expost,25,0.747,3.96,Rural Hills - Eastern,"Class 2,Class 3,Illiterate",,,,"Hindu,Islam,Christian",
NPL,2003,expost,27,0.581,5.59,"Urban - Hill,Rural Hills - Eastern,Rural Hills - Central","Class 2,Class 3,Illiterate",,,,"Bouddha,Kirant",
NPL,2003,expost,28,0.995,1.04,Rural Hills - Western,"Class 2,Class 3,Illiterate",,,,"Bouddha,Kirant",
NPL,2003,expost,29,1.956,3.71,Urban - Kathmandu,"Class 2,Class 3,Illiterate",,,,,
