Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
PER,2011,expost,5,0.577,3.45,"Amazonas-San Martin-Ucayali,Anchash,Apurimac,Ayacucho,Cajamarca,Huancavelica,Huánuco,Ica,Lambayeque,Loreto,Puno",,"1 Years Of Education,2 Years Of Education,3 Years Of Education",,,"White,Mix-Race",
PER,2011,expost,7,0.403,4.78,"Amazonas-San Martin-Ucayali,Apurimac,Cajamarca,Huánuco,Ica,Loreto",,"1 Years Of Education,2 Years Of Education,3 Years Of Education",,,"Indigenous,Afro-Descendant,Other",
PER,2011,expost,8,0.468,5.82,"Anchash,Ayacucho,Huancavelica,Lambayeque,Puno",,"1 Years Of Education,2 Years Of Education,3 Years Of Education",,,"Indigenous,Afro-Descendant,Other",
PER,2011,expost,10,0.754,1.36,"Arequipa,Cusco-Madre De Dios,Callao,Moquegua-Tacna",,"1 Years Of Education,2 Years Of Education,3 Years Of Education",,,,
PER,2011,expost,12,0.472,1.57,"Junin-Pasco,La Libertad,Lima,Piura-Tumbes",,"1 Years Of Education,2 Years Of Education,3 Years Of Education",,,"White,Indigenous,Other",
PER,2011,expost,13,0.594,2.45,"Junin-Pasco,La Libertad,Lima,Piura-Tumbes",,"1 Years Of Education,2 Years Of Education,3 Years Of Education",,,"Mix-Race,Afro-Descendant",
PER,2011,expost,19,0.612,4.79,"Amazonas-San Martin-Ucayali,Anchash,La Libertad,Lambayeque,Lima,Piura-Tumbes,Puno","1 Years Of Education,3 Years Of Education,4 Years Of Education",,,,,
PER,2011,expost,20,0.619,3.0,"Ayacucho,Cajamarca,Huancavelica","1 Years Of Education,3 Years Of Education,4 Years Of Education",,,,,
PER,2011,expost,21,0.477,2.18,"Apurimac,Huánuco,Ica,Loreto","1 Years Of Education,3 Years Of Education,4 Years Of Education",,,,,
PER,2011,expost,23,0.669,4.88,"Amazonas-San Martin-Ucayali,Anchash,Apurimac,Ayacucho,Cajamarca,Huancavelica,Huánuco,Ica,La Libertad,Lambayeque,Lima,Loreto,Piura-Tumbes,Puno","2 Years Of Education,5 Years Of Education,6 Years Of Education,12 Years Of Education",,,,,
PER,2011,expost,24,0.817,1.01,"Amazonas-San Martin-Ucayali,Anchash,Apurimac,Ayacucho,Cajamarca,Huancavelica,Huánuco,Ica,La Libertad,Lambayeque,Lima,Loreto,Piura-Tumbes,Puno","7 Years Of Education,8 Years Of Education,9 Years Of Education,10 Years Of Education,11 Years Of Education,14 Years Of Education,15 Years Of Education",,,,,
PER,2011,expost,27,0.725,9.41,"Amazonas-San Martin-Ucayali,Anchash,Ayacucho,Huancavelica,La Libertad,Lambayeque,Lima,Loreto,Piura-Tumbes,Puno","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,6 Years Of Education","1 Years Of Education,2 Years Of Education,3 Years Of Education",,,,
PER,2011,expost,29,0.679,1.57,"Apurimac,Cajamarca,Huánuco,Ica","1 Years Of Education,2 Years Of Education,3 Years Of Education,4 Years Of Education,6 Years Of Education","1 Years Of Education,2 Years Of Education,3 Years Of Education",,,"White,Mix-Race,Afro-Descendant,Other",
