Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
RO,2019,expost,6,0.772,3.37,,"Unknown,Medium,High","Unknown,Low","Dead/Unknown/Not Working,Agriculture,Elementary","Dead/Unknown/Not Working,Plant Operator,Elementary",,
RO,2019,expost,7,1.04,6.86,,"Unknown,Medium,High","Medium,High","Dead/Unknown/Not Working,Agriculture,Elementary","Dead/Unknown/Not Working,Plant Operator,Elementary",,
RO,2019,expost,8,0.601,5.51,,"Unknown,Medium,High",,"Dead/Unknown/Not Working,Agriculture,Elementary",Agriculture,,
RO,2019,expost,9,0.649,17.03,,Low,,"Dead/Unknown/Not Working,Agriculture,Elementary","Dead/Unknown/Not Working,Agriculture,Plant Operator,Elementary",,
RO,2019,expost,11,1.291,2.59,,,,Dead/Unknown/Not Working,"Manager,Professional,Technician,Clerical,Service,Craft/Trades",,
RO,2019,expost,12,0.951,1.43,,,,"Agriculture,Elementary","Manager,Professional,Technician,Clerical,Service,Craft/Trades",,
RO,2019,expost,16,1.352,1.29,,,,"Manager,Professional,Technician","Dead/Unknown/Not Working,Agriculture,Elementary",,
RO,2019,expost,18,0.866,5.92,,Low,,"Clerical,Service,Craft/Trades,Plant Operator","Dead/Unknown/Not Working,Agriculture,Elementary",,
RO,2019,expost,21,0.986,11.53,,"Medium,High","Unknown,Medium","Clerical,Service,Craft/Trades,Plant Operator","Dead/Unknown/Not Working,Elementary",,
RO,2019,expost,22,0.846,2.6,,"Medium,High","Unknown,Medium","Clerical,Service,Craft/Trades,Plant Operator",Agriculture,,
RO,2019,expost,23,0.979,6.9,,"Medium,High","Low,High","Clerical,Service,Craft/Trades,Plant Operator","Dead/Unknown/Not Working,Agriculture,Elementary",,
RO,2019,expost,24,1.131,23.9,,,,"Manager,Professional,Technician,Clerical,Service,Craft/Trades,Plant Operator","Service,Craft/Trades,Plant Operator",,
RO,2019,expost,27,1.377,4.3,,"Low,Medium",,"Manager,Professional,Technician,Clerical,Service,Craft/Trades,Plant Operator","Manager,Professional,Technician",,
RO,2019,expost,28,1.359,2.36,,"Low,Medium",,"Manager,Professional,Technician,Clerical,Service,Craft/Trades,Plant Operator",Clerical,,
RO,2019,expost,29,1.726,4.4,,High,,"Manager,Professional,Technician,Clerical,Service,Craft/Trades,Plant Operator","Manager,Professional,Technician,Clerical",,
