Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
SRL,2018,expost,6,1.341,7.97,,"No School,Primary Incomplete,Primary Complete,Secondary Incomplete,Vocational",,"Accomodation And Food Service Activities,Administrative And Support Service Activities,Construction,Education,Electricity And Water Supply,Financial Activities,Mining, Quarring,Professional,Public Administration And Defense,Social Activities,Transportation And Storage,Wholesale And Retail Trader, Repair Of Motor Vehicles And Motorcycles","Accomodation And Food Service Activities,Construction,Education,Manufacturing,Social Activities,Wholesale And Retail Trader, Repair Of Motor Vehicles And Motorcycles","Ahmadis Muslim,Catholic,Methodist,No Religion,Other Muslim,Sda",
SRL,2018,expost,7,1.56,3.3,,"Secondary Complete,Post-Secondary Professional,First Degree Or More",,"Accomodation And Food Service Activities,Administrative And Support Service Activities,Construction,Education,Electricity And Water Supply,Financial Activities,Mining, Quarring,Professional,Public Administration And Defense,Social Activities,Transportation And Storage,Wholesale And Retail Trader, Repair Of Motor Vehicles And Motorcycles","Accomodation And Food Service Activities,Construction,Education,Manufacturing,Social Activities,Wholesale And Retail Trader, Repair Of Motor Vehicles And Motorcycles","Ahmadis Muslim,Catholic,Methodist,No Religion,Other Muslim,Sda",
SRL,2018,expost,9,2.103,1.12,,,,"Accomodation And Food Service Activities,Education,Electricity And Water Supply,Financial Activities,Mining, Quarring,Professional","Accomodation And Food Service Activities,Construction,Education,Manufacturing,Social Activities,Wholesale And Retail Trader, Repair Of Motor Vehicles And Motorcycles","Anglican,Other Christian,Pentacostal",
SRL,2018,expost,11,1.673,1.21,,"No School,Secondary Complete,First Degree Or More",,"Administrative And Support Service Activities,Construction,Public Administration And Defense,Social Activities,Transportation And Storage,Wholesale And Retail Trader, Repair Of Motor Vehicles And Motorcycles","Accomodation And Food Service Activities,Construction,Education,Manufacturing,Social Activities,Wholesale And Retail Trader, Repair Of Motor Vehicles And Motorcycles","Anglican,Other Christian,Pentacostal",
SRL,2018,expost,12,1.931,1.01,,"Primary Incomplete,Primary Complete,Secondary Incomplete,Post-Secondary Professional,Vocational",,"Administrative And Support Service Activities,Construction,Public Administration And Defense,Social Activities,Transportation And Storage,Wholesale And Retail Trader, Repair Of Motor Vehicles And Motorcycles","Accomodation And Food Service Activities,Construction,Education,Manufacturing,Social Activities,Wholesale And Retail Trader, Repair Of Motor Vehicles And Motorcycles","Anglican,Other Christian,Pentacostal",
SRL,2018,expost,13,1.237,6.63,,,,"Agriculture, Foresting, Fishing,Manufacturing","Accomodation And Food Service Activities,Construction,Education,Manufacturing,Social Activities,Wholesale And Retail Trader, Repair Of Motor Vehicles And Motorcycles",,
SRL,2018,expost,14,2.609,1.08,,,,,"Administrative And Support Service Activities,Electricity And Water Supply,Financial Activities,Mining, Quarring,Professional,Public Administration And Defense,Transportation And Storage",,
SRL,2018,expost,18,0.803,8.44,,,,"Accomodation And Food Service Activities,Agriculture, Foresting, Fishing,Professional","Agriculture, Foresting, Fishing",Ahmadis Muslim,
SRL,2018,expost,21,0.807,31.94,,"No School,Primary Complete",,"Accomodation And Food Service Activities,Agriculture, Foresting, Fishing,Professional","Agriculture, Foresting, Fishing","Catholic,Methodist,No Religion,Other Muslim,Traditional",Female
SRL,2018,expost,22,0.88,1.0,,"Primary Incomplete,Secondary Incomplete,Secondary Complete,Post-Secondary Professional,Vocational,First Degree Or More",,"Accomodation And Food Service Activities,Agriculture, Foresting, Fishing,Professional","Agriculture, Foresting, Fishing","Catholic,Methodist,No Religion,Other Muslim,Traditional",Female
SRL,2018,expost,23,0.87,23.15,,,,"Accomodation And Food Service Activities,Agriculture, Foresting, Fishing,Professional","Agriculture, Foresting, Fishing","Catholic,Methodist,No Religion,Other Muslim,Traditional",Male
SRL,2018,expost,24,1.055,4.02,,,,"Administrative And Support Service Activities,Construction,Education,Electricity And Water Supply,Financial Activities,Manufacturing,Mining, Quarring,Public Administration And Defense,Social Activities,Transportation And Storage,Wholesale And Retail Trader, Repair Of Motor Vehicles And Motorcycles","Agriculture, Foresting, Fishing","Ahmadis Muslim,Catholic,Methodist,No Religion,Other Muslim,Traditional",
SRL,2018,expost,27,0.973,4.46,,"No School,Vocational",,,"Agriculture, Foresting, Fishing","Anglican,Other Christian,Sda",
SRL,2018,expost,28,1.087,3.14,,"No School,Vocational",,,"Agriculture, Foresting, Fishing","Bahai,Pentacostal",
SRL,2018,expost,29,1.372,1.53,,"Primary Incomplete,Primary Complete,Secondary Incomplete,Secondary Complete,Post-Secondary Professional,First Degree Or More",,,"Agriculture, Foresting, Fishing","Anglican,Bahai,Other Christian,Pentacostal,Sda",
