Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
TIM,2014,expost,6,1.76,2.14,Urban,"Primary,Pre-Secondary,Secondary,Academy,University,No Education, Literate,Don't Know",,,,"Tetum,Bahasa Indonesia,Inggris",
TIM,2014,expost,7,1.203,3.75,Urban,"No Education, Iliterate",,,,"Tetum,Bahasa Indonesia,Inggris",
TIM,2014,expost,8,1.217,1.4,Urban,,,,,Galolen,
TIM,2014,expost,10,1.354,1.05,Rural,"Primary,Pre-Secondary,Secondary,University,No Education, Literate,Don't Know",,,,"Tetum,Galolen,Isni,Bahasa Indonesia,Inggris",
TIM,2014,expost,11,1.176,5.21,Rural,"Academy,No Education, Iliterate",,,,"Tetum,Galolen,Isni,Bahasa Indonesia,Inggris",
TIM,2014,expost,13,1.079,8.2,Urban,,,,,"Fatalucu,Kaklun Bikeli,Macalero,Macasae,Mangilih,Midiki,Naueti,Tetum Terik,Uaimua",
TIM,2014,expost,17,0.956,4.65,Rural,,,,,"Fatalucu,Mangilih,Midiki",
TIM,2014,expost,18,1.157,1.17,Rural,,,,,"Kaklun Bikeli,Macalero",
TIM,2014,expost,19,1.025,10.59,Rural,,,,,"Macasae,Naueti",
TIM,2014,expost,20,0.907,5.63,Rural,,,,,"Tetum Terik,Uaimua",
TIM,2014,expost,24,1.062,10.6,Urban,"Pre-School,Secondary,No Education, Iliterate",,,,"Baequeno,Bunak,Laklei,Mambae,Sa Ani,Tokodete,Portuguese,Does Not Speak Yet",
TIM,2014,expost,25,1.289,1.08,Urban,"Primary,Pre-Secondary,Academy,University,No Education, Literate,Don't Know",,,,"Baequeno,Bunak,Laklei,Mambae,Sa Ani,Tokodete,Portuguese,Does Not Speak Yet",
TIM,2014,expost,26,1.766,1.01,Urban,,,,,"Kemak,Other (Specify___)",
TIM,2014,expost,30,0.909,5.79,Rural,,,,,"Baequeno,Sa Ani",
TIM,2014,expost,31,0.873,3.09,Rural,,,,,"Laklei,Other (Specify___)",
TIM,2014,expost,34,0.889,6.22,Rural,,,,,Bunak,
TIM,2014,expost,35,0.852,17.7,Rural,,,,,Mambae,
TIM,2014,expost,36,0.898,6.08,Rural,,,,,"Kemak,Does Not Speak Yet",
TIM,2014,expost,37,0.685,4.62,Rural,,,,,"Tokodete,Portuguese",
