Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
UGA,2014,expost,7,0.794,2.08,,"No Formal Education,Currently Attending School,Less Than Primary,Primary,Completed Post Primary Specialized Training Or Certificate,O-Level,Completed University",No Formal Education,"Agricultural Farming And Fishery Workers,Non-Agricultural,Paid Employee,Unemployed",,"Babukusu,Babwisi,Banyarwanda,Nilohamites,Nilotic,Nubi,Other",
UGA,2014,expost,12,0.756,3.07,,"No Formal Education,Completed Post Primary Specialized Training Or Certificate",No Formal Education,"Agricultural Farming And Fishery Workers,Non-Agricultural,Paid Employee,Unemployed","Agricultural Farming And Fishery Workers,Non-Agricultural,Paid Employee,Unemployed",Bantu,
UGA,2014,expost,13,0.977,2.19,,Primary,No Formal Education,"Agricultural Farming And Fishery Workers,Non-Agricultural,Paid Employee,Unemployed","Agricultural Farming And Fishery Workers,Non-Agricultural,Paid Employee,Unemployed",Bantu,
UGA,2014,expost,14,0.735,1.35,,"No Formal Education,Primary,Completed Post Primary Specialized Training Or Certificate",No Formal Education,"Agricultural Farming And Fishery Workers,Non-Agricultural,Paid Employee,Unemployed","Agricultural Farming And Fishery Workers,Non-Agricultural,Paid Employee,Unemployed","Basongora,Ik (Teuso),Indian",
UGA,2014,expost,15,0.987,1.85,,"No Formal Education,Primary,Completed Post Primary Specialized Training Or Certificate",No Formal Education,"Agricultural Farming And Fishery Workers,Non-Agricultural,Paid Employee,Unemployed","Casual Labourer,Other Unpaid Family Work","Bantu,Basongora,Ik (Teuso),Indian",
UGA,2014,expost,16,0.859,2.73,,"Currently Attending School,Less Than Primary,O-Level",No Formal Education,"Agricultural Farming And Fishery Workers,Non-Agricultural,Paid Employee,Unemployed",,"Bantu,Basongora,Ik (Teuso),Indian",
UGA,2014,expost,17,0.741,12.3,,"No Formal Education,Currently Attending School,Less Than Primary,Primary,Completed Post Primary Specialized Training Or Certificate,O-Level,Completed University",No Formal Education,"Casual Labourer,Other Unpaid Family Work",,"Babukusu,Babwisi,Bantu,Banyabindi,Banyarwanda,Basongora,Ethur,Ik (Teuso),Indian,Niloc,Nilohamites,Nilotic,Nubi,Other",
UGA,2014,expost,21,0.952,6.88,,"No Formal Education,Primary,O-Level","Currently Attending School,Less Than Primary,Primary","Agricultural Farming And Fishery Workers,Other Unpaid Family Work,Unemployed","Agricultural Farming And Fishery Workers,Casual Labourer,Non-Agricultural,Other Unpaid Family Work,Paid Employee","Babukusu,Babwisi,Bantu,Banyabindi,Banyarwanda,Basongora,Ethur,Ik (Teuso),Indian,Niloc,Nilohamites,Nilotic,Nubi,Other",
UGA,2014,expost,22,0.892,13.88,,"No Formal Education,Primary,O-Level","Currently Attending School,Less Than Primary,Primary","Casual Labourer,Non-Agricultural,Paid Employee","Agricultural Farming And Fishery Workers,Casual Labourer,Non-Agricultural,Other Unpaid Family Work,Paid Employee","Babukusu,Babwisi,Bantu,Banyabindi,Banyarwanda,Basongora,Ethur,Ik (Teuso),Indian,Niloc,Nilohamites,Nilotic,Nubi,Other",
UGA,2014,expost,24,0.907,15.87,,"No Formal Education,Primary","Currently Attending School,Less Than Primary,Primary",,Unemployed,"Babukusu,Babwisi,Bantu,Banyabindi,Banyarwanda,Basongora,Ethur,Ik (Teuso),Indian,Niloc,Nilohamites,Nilotic,Nubi,Other",
UGA,2014,expost,26,0.846,1.13,,O-Level,"Currently Attending School,Less Than Primary,Primary",,Unemployed,"Babwisi,Banyarwanda,Basongora,Ik (Teuso),Indian,Nilohamites,Nilotic,Nubi",
UGA,2014,expost,27,1.381,2.82,,O-Level,"Currently Attending School,Less Than Primary,Primary",,Unemployed,Bantu,
UGA,2014,expost,30,0.856,1.2,,"Currently Attending School,Less Than Primary,Completed Post Primary Specialized Training Or Certificate,Completed University","Currently Attending School,Less Than Primary,Primary","Agricultural Farming And Fishery Workers,Casual Labourer,Non-Agricultural",,"Babwisi,Banyarwanda,Ethur,Indian,Nilotic,Other",
UGA,2014,expost,31,0.921,1.2,,"Currently Attending School,Less Than Primary,Completed Post Primary Specialized Training Or Certificate,Completed University","Currently Attending School,Less Than Primary,Primary","Other Unpaid Family Work,Paid Employee,Unemployed",,"Babwisi,Banyarwanda,Ethur,Indian,Nilotic,Other",
UGA,2014,expost,34,1.003,5.35,,"Currently Attending School,Less Than Primary,Completed Post Primary Specialized Training Or Certificate,Completed University","Currently Attending School,Less Than Primary,Primary",,"Agricultural Farming And Fishery Workers,Casual Labourer,Non-Agricultural,Other Unpaid Family Work","Bantu,Basongora,Nilohamites,Nubi",
UGA,2014,expost,36,1.342,1.29,,"Currently Attending School,Less Than Primary,Completed Post Primary Specialized Training Or Certificate,Completed University","Currently Attending School,Less Than Primary,Primary","Agricultural Farming And Fishery Workers,Casual Labourer,Non-Agricultural","Paid Employee,Unemployed","Bantu,Basongora,Nilohamites,Nubi",
UGA,2014,expost,37,1.228,3.21,,"Currently Attending School,Less Than Primary,Completed Post Primary Specialized Training Or Certificate,Completed University","Currently Attending School,Less Than Primary,Primary","Paid Employee,Unemployed","Paid Employee,Unemployed","Bantu,Basongora,Nilohamites,Nubi",
UGA,2014,expost,38,0.988,2.35,,"Currently Attending School,Less Than Primary,Completed Post Primary Specialized Training Or Certificate,Completed University","Currently Attending School,Less Than Primary,Primary",,,"Banyabindi,Ik (Teuso)",
UGA,2014,expost,39,1.787,1.85,,"A-Level,Completed Post Secondary Specialized Training Or Diploma,Completed Degree And Above","No Formal Education,Currently Attending School,Less Than Primary,Primary",,,"Babukusu,Babwisi,Bantu,Banyabindi,Banyarwanda,Basongora,Ethur,Ik (Teuso),Indian,Niloc,Nilohamites,Nilotic,Nubi,Other",
UGA,2014,expost,41,0.584,2.3,,"No Formal Education,Currently Attending School,Completed Post Secondary Specialized Training Or Diploma,Completed University","No Formal Education,Currently Attending School,Less Than Primary,Primary",,,Indigenous African Pygmy,
UGA,2014,expost,42,0.341,2.01,,"Less Than Primary,Primary,O-Level","No Formal Education,Currently Attending School,Less Than Primary,Primary",,,Indigenous African Pygmy,
UGA,2014,expost,45,1.195,1.13,,"No Formal Education,Primary","Completed Post Primary Specialized Training Or Certificate,O-Level,A-Level,Completed Post Secondary Specialized Training Or Diploma,Completed Degree And Above,Completed University",,"Agricultural Farming And Fishery Workers,Casual Labourer",,
UGA,2014,expost,46,1.314,2.6,,"No Formal Education,Primary","Completed Post Primary Specialized Training Or Certificate,O-Level,A-Level,Completed Post Secondary Specialized Training Or Diploma,Completed Degree And Above,Completed University",,"Non-Agricultural,Paid Employee,Unemployed",,
UGA,2014,expost,49,1.964,2.14,,Currently Attending School,"Completed Post Primary Specialized Training Or Certificate,O-Level,A-Level,Completed Post Secondary Specialized Training Or Diploma,Completed Degree And Above,Completed University","Agricultural Farming And Fishery Workers,Non-Agricultural,Paid Employee,Unemployed",,,
UGA,2014,expost,51,2.2,2.12,,"Less Than Primary,Completed Post Primary Specialized Training Or Certificate,O-Level,A-Level,Completed Post Secondary Specialized Training Or Diploma,Completed Degree And Above,Completed University","Completed Post Primary Specialized Training Or Certificate,Completed Post Secondary Specialized Training Or Diploma,Completed Degree And Above,Completed University","Agricultural Farming And Fishery Workers,Non-Agricultural,Paid Employee,Unemployed",,,
UGA,2014,expost,53,1.376,1.56,,"Less Than Primary,A-Level,Completed Post Secondary Specialized Training Or Diploma","O-Level,A-Level","Agricultural Farming And Fishery Workers,Non-Agricultural,Paid Employee,Unemployed",,,
UGA,2014,expost,54,1.775,2.37,,"Completed Post Primary Specialized Training Or Certificate,O-Level,Completed Degree And Above","O-Level,A-Level","Agricultural Farming And Fishery Workers,Non-Agricultural,Paid Employee,Unemployed",,,
UGA,2014,expost,55,0.919,1.17,,"Currently Attending School,Less Than Primary,Completed Post Primary Specialized Training Or Certificate,O-Level,A-Level,Completed Post Secondary Specialized Training Or Diploma,Completed Degree And Above,Completed University","Completed Post Primary Specialized Training Or Certificate,O-Level,A-Level,Completed Post Secondary Specialized Training Or Diploma,Completed Degree And Above,Completed University",Casual Labourer,,,
