Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
USA,1994,expost,4,0.935,16.31,,"0-5 Grades,6-8 Grades,9-11 Grades","9-11 Grades,High School,12 Grades + Non Academic Training,Some College,College Degree,Advanced College Degree",,,"White,Asian, Pac. Islander,Other",
USA,1994,expost,6,0.889,9.3,"Northeast,North Central,West,Foreign Country","0-5 Grades,6-8 Grades,9-11 Grades","0-5 Grades,6-8 Grades",,,"White,Asian, Pac. Islander,Other",
USA,1994,expost,7,0.667,5.12,South,"0-5 Grades,6-8 Grades,9-11 Grades","0-5 Grades,6-8 Grades",,,"White,Asian, Pac. Islander,Other",
USA,1994,expost,10,1.011,17.47,,"High School,Some College",,"Low,Middle",,"White,Asian, Pac. Islander,Other",
USA,1994,expost,11,1.281,3.48,,"12 Grades + Non Academic Training,College Degree,Advanced College Degree",,"Low,Middle",,"White,Asian, Pac. Islander,Other",
USA,1994,expost,12,1.377,16.81,,"High School,12 Grades + Non Academic Training,Some College,College Degree,Advanced College Degree",,High,,"White,Asian, Pac. Islander,Other",
USA,1994,expost,16,0.517,11.82,,,"0-5 Grades,6-8 Grades,9-11 Grades,College Degree",,Low,"Black,Am. Indian, Aleut, Eskimo,Hispanic",Female
USA,1994,expost,17,0.624,4.38,,,"High School,12 Grades + Non Academic Training,Some College,Advanced College Degree",,Low,"Black,Am. Indian, Aleut, Eskimo,Hispanic",Female
USA,1994,expost,18,0.635,6.99,,,,,Low,"Black,Am. Indian, Aleut, Eskimo,Hispanic",Male
USA,1994,expost,21,0.685,3.04,,,,Low,"Middle,High","Black,Am. Indian, Aleut, Eskimo,Hispanic",Female
USA,1994,expost,22,0.794,2.23,,,,"Middle,High","Middle,High","Black,Am. Indian, Aleut, Eskimo,Hispanic",Female
USA,1994,expost,23,0.767,3.04,,,,,"Middle,High","Black,Am. Indian, Aleut, Eskimo,Hispanic",Male
