"","var","cat","value","value2","class"
"1","Sex",1,35957.5294328529,2.80369910376595,"Male"
"2","Sex",2,34172.6626964317,-2.29929061231043,"Female"
"3","Birth_Area",1,35647.9176358226,1.91850931117145,"Local"
"4","Birth_Area",2,35143.9661551064,0.477696296384281,"European Union"
"5","Birth_Area",3,28724.7881430411,-17.8749340220638,"Other"
"6","Father_Occ",0,33475.3808700837,-4.29284112028589,"Dead/unknown/not working"
"7","Father_Occ",1,38322.933355295,9.56646275680579,"Manager"
"8","Father_Occ",2,39195.3037013456,12.0605968081985,"Professional"
"9","Father_Occ",3,37900.431015807,8.35851537931789,"Technician"
"10","Father_Occ",4,38502.1418282418,10.0788253751574,"Clerical"
"11","Father_Occ",5,35147.4022029125,0.487520064322268,"Service"
"12","Father_Occ",6,34883.6782012079,-0.26647508899633,"Agriculture"
"13","Father_Occ",7,34664.8876198972,-0.892004190761043,"Craft/Trades"
"14","Father_Occ",8,35563.3552332995,1.67674276264607,"Plant Operator"
"15","Father_Occ",9,33726.9098317114,-3.57371196722923,"Elementary"
"16","Father_Occ",10,37260.6619338614,6.5293956029148,"Armed forces"
"17","Mother_Occ",0,32969.5136883408,-5.73913118410903,"Dead/unknown/not working"
"18","Mother_Occ",1,39250.2904003771,12.217805497202,"Manager"
"19","Mother_Occ",2,38162.5720817716,9.1079848699425,"Professional"
"20","Mother_Occ",3,41121.4131695602,17.567403903525,"Technician"
"21","Mother_Occ",4,40029.4974182953,14.4455826852647,"Clerical"
"22","Mother_Occ",5,38199.3240258043,9.21305982518585,"Service"
"23","Mother_Occ",6,36483.7762724983,4.30825524570663,"Agriculture"
"24","Mother_Occ",7,34339.1391414949,-1.82332925912299,"Craft/Trades"
"25","Mother_Occ",8,34819.1143449277,-0.451065169535966,"Plant Operator"
"26","Mother_Occ",9,34545.1289724623,-1.23439790217992,"Elementary"
"27","Mother_Occ",10,34423.8383446123,-1.58117159342814,"Armed forces"
"28","Mother_Edu",0,36509.2683952596,4.38113802044687,"Unknown"
"29","Mother_Edu",1,37344.7072966693,6.76968391875423,"Basic"
"30","Mother_Edu",2,36926.573506409,5.57422635987744,"Primary"
"31","Mother_Edu",3,34509.9659467107,-1.33493009045758,"Lower Secondary"
"32","Mother_Edu",4,36370.7651496208,3.98515291762895,"Upper Secondary"
"33","Mother_Edu",5,41866.2599178654,19.6969440081694,"Post Secondary"
"34","Mother_Edu",6,38173.1382063599,9.13819374997423,"Tertiary"
"35","Father_Edu",0,34755.5828377054,-0.632703731892789,"Unknown"
"36","Father_Edu",2,44935.2063412989,28.4711576334241,"Primary"
"37","Father_Edu",3,34938.6750052721,-0.109237509389018,"Lower Secondary"
"38","Father_Edu",4,34873.9593060177,-0.294261713731686,"Upper Secondary"
"39","Father_Edu",5,49937.2750033899,42.7722280836132,"Post Secondary"
"40","Father_Edu",6,37968.8445614679,8.55411184196915,"Tertiary"
