"","var","cat","value","value2","class"
"1","Sex",1,12093.536788372,-0.125226974775245,"Male"
"2","Sex",2,12122.8598061113,0.116937893316859,"Female"
"3","Birth_Area",1,12105.3559330056,-0.0276182761543282,"Local"
"4","Birth_Area",2,12070.3392501484,-0.316804418609124,"European Union"
"5","Birth_Area",3,11998.7561364933,-0.907975335260645,"Other"
"6","Father_Occ",0,11639.0987382273,-3.87821486462612,"Dead/unknown/not working"
"7","Father_Occ",1,12923.3518324701,6.72782111467231,"Manager"
"8","Father_Occ",2,13034.4169638653,7.6450552524785,"Professional"
"9","Father_Occ",3,12761.2322026236,5.38895213720146,"Technician"
"10","Father_Occ",4,12336.2788594358,1.87946442985056,"Clerical"
"11","Father_Occ",5,12576.2487434036,3.86126165869885,"Service"
"12","Father_Occ",6,11287.9519316938,-6.77816946143102,"Agriculture"
"13","Father_Occ",7,11997.7375359808,-0.916387472815188,"Craft/Trades"
"14","Father_Occ",8,12160.7163916725,0.429577442574029,"Plant Operator"
"15","Father_Occ",9,10971.9318444119,-9.38802917749368,"Elementary"
"16","Father_Occ",10,13227.399999915,9.23881043431371,"Armed forces"
"17","Mother_Occ",0,11450.2307175251,-5.43798609031852,"Dead/unknown/not working"
"18","Mother_Occ",1,13847.7501765609,14.3619877291676,"Manager"
"19","Mother_Occ",2,13427.9786866673,10.8952944855591,"Professional"
"20","Mother_Occ",3,13855.2898798914,14.4242545558196,"Technician"
"21","Mother_Occ",4,13005.2821698561,7.40444483472236,"Clerical"
"22","Mother_Occ",5,12717.5133308035,5.02789875171453,"Service"
"23","Mother_Occ",6,11139.4365706114,-8.00468724844671,"Agriculture"
"24","Mother_Occ",7,12133.5458526069,0.205188872907371,"Craft/Trades"
"25","Mother_Occ",8,11791.0837441475,-2.62304292980298,"Plant Operator"
"26","Mother_Occ",9,11411.177064797,-5.76051164841439,"Elementary"
"27","Mother_Occ",10,13230.7348598754,9.26635145787398,"Armed forces"
"28","Mother_Edu",0,11409.8444891552,-5.77151675734929,"Unknown"
"29","Mother_Edu",1,10489.6141356132,-13.3712619186905,"None"
"30","Mother_Edu",2,11302.9373713488,-6.65441183697249,"Low"
"31","Mother_Edu",3,12778.2752544894,5.52970260305312,"Medium"
"32","Mother_Edu",4,14227.2365574185,17.4959854022682,"High"
"33","Father_Edu",0,11674.5648715838,-3.58531692409412,"Unknown"
"34","Father_Edu",1,11351.3199861575,-6.2548428145315,"None"
"35","Father_Edu",2,11422.56687662,-5.66644860544164,"Low"
"36","Father_Edu",3,12400.2157991069,2.40748922932156,"Medium"
"37","Father_Edu",4,13733.7222649658,13.4202853977164,"High"
