"","var","cat","value","value2","class"
"1","Sex",0,8232.75636575399,3.91214782876877,"Female"
"2","Sex",1,8382.70071915606,5.80471444007014,"Male"
"3","Ethnicity",1,8401.07645445515,6.03664916982899,"Han"
"4","Ethnicity",2,5632.4515486055,-28.9083616768162,"Mongol"
"5","Ethnicity",3,9171.95017638181,15.7664578258172,"Hui"
"6","Ethnicity",4,4313.66375871065,-45.5538283577409,"Tibetan"
"7","Ethnicity",6,9480.8994323406,19.6659514255938,"Miao"
"8","Ethnicity",7,5681.99877906409,-28.2829867832586,"Yi"
"9","Ethnicity",8,7230.04338173604,-8.74388803529709,"Zhuang"
"10","Ethnicity",9,9286.06115544523,17.2067429986723,"Bouyei"
"11","Ethnicity",10,14888.1156872124,87.9147164632198,"Korean"
"12","Ethnicity",11,6965.84350400515,-12.078564239893,"Manchu"
"13","Ethnicity",99,4716.83690773546,-40.4650602707456,"Other"
"14","Father_Occ",0,8402.97172479265,6.06057087997515,"Armed forces"
"15","Father_Occ",1,9144.51768224434,15.4202105594725,"Managers"
"16","Father_Occ",2,10020.6725674955,26.4788562805866,"Professionals"
"17","Father_Occ",3,11085.4394410309,39.918123501735,"Technicians and Associate professionals"
"18","Father_Occ",4,9333.62737083415,17.8071139298114,"Clerks"
"19","Father_Occ",5,10118.8978663555,27.71863568401,"Services and Sales workers"
"20","Father_Occ",6,7754.92309309794,-2.11896489458128,"Agricultural, Forestry and Fishery workers"
"21","Father_Occ",7,9223.21325254595,16.4134897689322,"Craft and trade workers"
"22","Father_Occ",8,8154.60440547188,2.92572995252458,"Plant and machine opperators and assemblers"
"23","Father_Occ",9,10098.1117380312,27.4562774720979,"Elementary occupations"
"24","Father_Occ",10,10976.6033403092,38.5444167521534,"Unemployed"
"25","Mother_Occ",0,4982.21005891935,-37.1155752513281,"Armed forces"
"26","Mother_Occ",1,9834.13855150086,24.1244625169425,"Managers"
"27","Mother_Occ",2,11236.7994544724,41.828558281212,"Professionals"
"28","Mother_Occ",3,13591.7068858665,71.5517127464645,"Technicians and Associate professionals"
"29","Mother_Occ",4,9392.01638005316,18.5440879258815,"Clerks"
"30","Mother_Occ",5,7769.16502643458,-1.93920615807839,"Services and Sales workers"
"31","Mother_Occ",6,8053.21134758715,1.64596774997035,"Agricultural, Forestry and Fishery workers"
"32","Mother_Occ",7,10482.1728195164,32.3038169961116,"Craft and trade workers"
"33","Mother_Occ",8,9062.87495937225,14.3897329999133,"Plant and machine opperators and assemblers"
"34","Mother_Occ",9,9956.99083778332,25.6750786612982,"Elementary occupations"
"35","Mother_Occ",10,8314.12631378779,4.93918248074502,"Unemployed"
"36","Mother_Edu",1,8408.03435213069,6.12447031498579,"Illiterate/Semi-literate"
"37","Mother_Edu",2,8067.91541382287,1.83155943232921,"Primary school"
"38","Mother_Edu",3,7693.54572391755,-2.89365735191475,"Junior high school"
"39","Mother_Edu",4,7763.23111074773,-2.01410281439391,"Senior high school/secondary school/technical school/vocational senior school"
"40","Mother_Edu",5,19557.4332079054,146.849876319037,"3-year college"
"41","Mother_Edu",6,7914.5742460263,-0.103881067597911,"4-year college/Bachelor's degree"
"42","Mother_Edu",7,4292.91111628324,-45.8157639175887,"Master's degree"
"43","Mother_Edu",8,4785.40542423888,-39.5996026394544,"Doctoral degree"
"44","Father_Edu",1,8623.95510468701,8.8497773886,"Illiterate/Semi-literate"
"45","Father_Edu",2,8239.52241549275,3.99754750895298,"Primary school"
"46","Father_Edu",3,7571.3433823469,-4.43607002856493,"Junior high school"
