"","var","cat","value","value2","class"
"1","Sex",0,12719.1135267532,-7.31058651594105,"Female"
"2","Sex",1,15501.4256151142,12.9652664401113,"Male"
"3","Birth_Area",1,16116.0616590003,17.4443721807857,"Tarapcá"
"4","Birth_Area",2,13635.9380861794,-0.629308728597394,"Antofagasta"
"5","Birth_Area",3,15761.1949691195,14.8583126035285,"Atacama"
"6","Birth_Area",4,13640.5280962498,-0.59585943667831,"Coquimbo"
"7","Birth_Area",5,12992.5393490968,-5.31802004885868,"Valparaíso"
"8","Birth_Area",6,12479.8456320883,-9.05423010992354,"Libertador Gral.Bdo. O'Higgins"
"9","Birth_Area",7,12932.4727087215,-5.75575037138722,"Maule"
"10","Birth_Area",8,12552.1370992107,-8.52741244504546,"Biobío"
"11","Birth_Area",9,12868.9467840722,-6.21868992172507,"Araucanía"
"12","Birth_Area",10,13602.5255300359,-0.872799772641955,"Los Lagos"
"13","Birth_Area",12,14109.5816347101,2.82232668777623,"Magallanes"
"14","Birth_Area",13,16424.7138649982,19.6936477992735,"Metropolitana de Santiago"
"15","Birth_Area",14,13321.4770683182,-2.92091554913944,"Los Ríos"
"16","Birth_Area",15,15290.5311323148,11.4283915724894,"Arica and Perinacota"
"17","Mother_Edu",0,11225.6350746576,-18.194178480479,"Years of Education"
"18","Mother_Edu",1,10296.2080140512,-24.9672958791576,"Years of Education"
"19","Mother_Edu",2,11495.5909798702,-16.2268987272102,"Years of Education"
"20","Mother_Edu",3,10673.5418475529,-22.2175089823432,"Years of Education"
"21","Mother_Edu",4,12085.1468125358,-11.9305628048251,"Years of Education"
"22","Mother_Edu",5,11731.5691693257,-14.507228568621,"Years of Education"
"23","Mother_Edu",6,13829.6620416007,0.782437441294377,"Years of Education"
"24","Mother_Edu",7,12759.5377468344,-7.01599859186921,"Years of Education"
"25","Mother_Edu",8,12997.6906403871,-5.28048046975361,"Years of Education"
"26","Mother_Edu",9,13705.3184001137,-0.12370583478075,"Years of Education"
"27","Mother_Edu",10,16018.4970993415,16.7333790921101,"Years of Education"
"28","Mother_Edu",11,14340.5430283737,4.50543739129408,"Years of Education"
"29","Mother_Edu",12,20754.0836958037,51.2435470535638,"Years of Education"
"30","Mother_Edu",13,13333.8695057633,-2.83060675867176,"Years of Education"
"31","Mother_Edu",14,23507.0703278053,71.3056933433152,"Years of Education"
"32","Mother_Edu",15,25851.2214820138,88.3884872931097,"Years of Education"
"33","Father_Edu",0,11488.8229380419,-16.2762202326892,"Years of Education"
"34","Father_Edu",1,10680.0551838999,-22.1700436205036,"Years of Education"
"35","Father_Edu",2,11540.3323683203,-15.9008498209571,"Years of Education"
"36","Father_Edu",3,11579.4105583586,-15.6160709716257,"Years of Education"
"37","Father_Edu",4,12461.1576485812,-9.19041713481548,"Years of Education"
"38","Father_Edu",5,12558.2424749427,-8.48292006006096,"Years of Education"
"39","Father_Edu",6,13310.8510033185,-2.99835205683289,"Years of Education"
"40","Father_Edu",7,11274.8414261412,-17.8355915515148,"Years of Education"
"41","Father_Edu",8,12691.5629612963,-7.51135882196533,"Years of Education"
"42","Father_Edu",9,12409.4897086017,-9.56694267195701,"Years of Education"
"43","Father_Edu",10,16027.5694959528,16.7994933790076,"Years of Education"
"44","Father_Edu",11,12848.7486836044,-6.3658817902397,"Years of Education"
"45","Father_Edu",12,15374.4619821527,12.0400302081797,"Years of Education"
"46","Father_Edu",13,22041.6967227753,60.6269129629407,"Years of Education"
"47","Father_Edu",14,20825.5662587319,51.7644699007586,"Years of Education"
"48","Father_Edu",15,33392.1786930867,143.342545178711,"Years of Education"
"49","Ethnicity",1,11184.8495597985,-18.49139930825,"Aymara"
"50","Ethnicity",2,9037.51970498522,-34.1398754682285,"Rapa Nui"
"51","Ethnicity",3,13287.1406512314,-3.17113914799542,"Quechua"
"52","Ethnicity",4,11303.7033766209,-17.625262643267,"Mapuche"
"53","Ethnicity",5,12842.7809994651,-6.40937075993637,"Atacameño"
"54","Ethnicity",6,13619.4816754592,-0.749233364421997,"Coya"
"55","Ethnicity",7,15449.1095919151,12.5840180538978,"Kawaskar"
"56","Ethnicity",8,11565.7059734165,-15.7159419207808,"Yagan"
"57","Ethnicity",9,18467.8627064101,34.5829140498474,"Diaguita"
"58","Ethnicity",10,14124.9578828389,2.93437973436944,"Other"
