"","var","cat","value","value2","class"
"1","Sex",1,52175.2448131226,3.9718348414511,"Male"
"2","Sex",2,48301.9899458879,-3.74656526950892,"Female"
"3","Birth_Area",1,50226.5671866818,0.088621852969311,"Local"
"4","Birth_Area",2,53447.7142531825,6.50753894665593,"European Union"
"5","Birth_Area",3,46364.5674619813,-7.60734965559739,"Other"
"6","Father_Occ",0,51055.0480266528,1.73957094523139,"Dead/unknown/not working"
"7","Father_Occ",1,51648.2761708393,2.92172196055625,"Manager"
"8","Father_Occ",2,49256.3323494125,-1.84480647341989,"Professional"
"9","Father_Occ",3,50831.9770714471,1.2950479421167,"Technician"
"10","Father_Occ",4,50121.9093649514,-0.119934250500563,"Clerical"
"11","Father_Occ",5,52766.5008560493,5.15005596651466,"Service"
"12","Father_Occ",6,51852.5509966073,3.3287891151636,"Agriculture"
"13","Father_Occ",7,53526.9858760714,6.66550688934863,"Craft/Trades"
"14","Father_Occ",8,53555.738552652,6.72280357384723,"Plant Operator"
"15","Father_Occ",9,51589.8619043426,2.80531736120396,"Elementary"
"16","Mother_Occ",0,49097.4415651785,-2.16143491350442,"Dead/unknown/not working"
"17","Mother_Occ",1,50738.5644539132,1.10890063649063,"Manager"
"18","Mother_Occ",2,51960.8801876295,3.54466131275105,"Professional"
"19","Mother_Occ",3,51618.257044992,2.86190156860867,"Technician"
"20","Mother_Occ",4,49762.9230005482,-0.835301684304724,"Clerical"
"21","Mother_Occ",5,52918.6589467246,5.45326788109509,"Service"
"22","Mother_Occ",6,53803.7548944837,7.21703631244316,"Agriculture"
"23","Mother_Occ",7,54631.8055055363,8.86712806919655,"Craft/Trades"
"24","Mother_Occ",8,50378.2338354404,0.390854450289581,"Plant Operator"
"25","Mother_Occ",9,51754.3941665922,3.13318781505588,"Elementary"
"26","Mother_Edu",0,47363.8639137238,-5.61600901099938,"Unknown"
"27","Mother_Edu",1,45854.3491731765,-8.62408339296093,"Low"
"28","Mother_Edu",2,49822.1407765663,-0.717295897271242,"Medium"
"29","Mother_Edu",3,56157.5338819684,11.9075120546573,"High"
"30","Father_Edu",0,46304.6029765338,-7.72684344234698,"Unknown"
"31","Father_Edu",1,44986.3775493703,-10.353727453869,"Low"
"32","Father_Edu",2,48280.5111074096,-3.7893670666993,"Medium"
"33","Father_Edu",3,54412.8578919744,8.43082182477514,"High"
