"","var","cat","value","value2","class"
"1","Sex",1,17903.8463489584,-0.428126843359877,"Male"
"2","Sex",2,18080.4418774361,0.554005555393246,"Female"
"3","Birth_Area",1,18904.0345152433,5.1343990678328,"Local"
"4","Birth_Area",2,16251.653081647,-9.6167657110387,"European Union"
"5","Birth_Area",3,14756.6752114781,-17.9310543817018,"Other"
"6","Father_Occ",0,16689.6095194767,-7.1810799915704,"Dead/unknown/not working"
"7","Father_Occ",1,21239.8496950609,18.1249871386289,"Manager"
"8","Father_Occ",2,19558.5658064757,8.77456137918043,"Professional"
"9","Father_Occ",3,19655.5023583401,9.31367201822191,"Technician"
"10","Father_Occ",4,18733.0115132684,4.18325816058811,"Clerical"
"11","Father_Occ",5,18287.1703596272,1.70372175633625,"Service"
"12","Father_Occ",6,17891.5829020664,-0.496329750969338,"Agriculture"
"13","Father_Occ",7,17541.9733485697,-2.44067609066833,"Craft/Trades"
"14","Father_Occ",8,17150.5288666633,-4.61768652410018,"Plant Operator"
"15","Father_Occ",9,16667.62562269,-7.30334298130283,"Elementary"
"16","Father_Occ",10,19508.8062721555,8.49782475269821,"Armed forces"
"17","Mother_Occ",0,18219.1143495554,1.32522965635211,"Dead/unknown/not working"
"18","Mother_Occ",1,18422.0466062537,2.45383322731224,"Manager"
"19","Mother_Occ",2,19215.0142242563,6.8639063221178,"Professional"
"20","Mother_Occ",3,17940.2678919383,-0.22556918133148,"Technician"
"21","Mother_Occ",4,19830.8118932745,10.2886523903393,"Clerical"
"22","Mother_Occ",5,18842.8689410759,4.79422798538221,"Service"
"23","Mother_Occ",6,17607.2801425247,-2.07747369956097,"Agriculture"
"24","Mother_Occ",7,18094.3616805387,0.631420253993824,"Craft/Trades"
"25","Mother_Occ",8,17607.4270558853,-2.07665664392849,"Plant Operator"
"26","Mother_Occ",9,17071.74708052,-5.055829807059,"Elementary"
"27","Mother_Edu",0,17504.1135444968,-2.65123261217778,"Unknown"
"28","Mother_Edu",1,16100.3623104355,-10.4581662228185,"None"
"29","Mother_Edu",2,17542.4072922848,-2.43826272162377,"Low"
"30","Mother_Edu",3,19775.4272756836,9.98063197896475,"Medium"
"31","Mother_Edu",4,20793.958969061,15.6451750387244,"High"
"32","Father_Edu",0,18048.78376881,0.377939635531391,"Unknown"
"33","Father_Edu",1,16451.8861707984,-8.50317350486411,"None"
"34","Father_Edu",2,17531.9272763657,-2.4965471145654,"Low"
"35","Father_Edu",3,18659.2397817127,3.77297819315318,"Medium"
"36","Father_Edu",4,20010.1248532351,11.2858977283822,"High"
