"","var","cat","value","value2","class"
"1","Sex",1,36711.8654696141,3.71418479989973,"Male"
"2","Sex",2,34412.1991174751,-2.78257089401241,"Female"
"3","Birth_Area",1,35528.5830940595,0.371310080817167,"Local"
"4","Birth_Area",3,33568.1137556661,-5.16718480784381,"Other"
"5","Father_Occ",0,33424.5854167799,-5.57266473845627,"Dead/unknown/not working"
"6","Father_Occ",1,38553.188844988,8.91608207172236,"Manager"
"7","Father_Occ",2,40502.7658031852,14.4238050473214,"Professional"
"8","Father_Occ",3,37851.7963448839,6.93458779344154,"Technician"
"9","Father_Occ",4,37669.8890274182,6.42068393977573,"Clerical"
"10","Father_Occ",5,34379.8527330154,-2.87395221862094,"Service"
"11","Father_Occ",6,34168.4059876449,-3.47130750264608,"Agriculture"
"12","Father_Occ",7,32877.0741919129,-7.11943114842994,"Craft/Trades"
"13","Father_Occ",8,32090.8417299004,-9.34060563296636,"Plant Operator"
"14","Father_Occ",9,33080.6758773218,-6.54423883510157,"Elementary"
"15","Father_Occ",10,37117.5542237973,4.86029050399227,"Armed forces"
"16","Mother_Occ",0,35812.7461599695,1.17409523907845,"Dead/unknown/not working"
"17","Mother_Occ",1,37533.4535736567,6.03524202110245,"Manager"
"18","Mother_Occ",2,37899.3463581538,7.06892068010958,"Professional"
"19","Mother_Occ",3,37560.5520943134,6.1117976780608,"Technician"
"20","Mother_Occ",4,36204.7519794592,2.28154547308637,"Clerical"
"21","Mother_Occ",5,33991.7543509813,-3.97036360496546,"Service"
"22","Mother_Occ",6,33234.9168862983,-6.10849468796856,"Agriculture"
"23","Mother_Occ",7,33183.9993865658,-6.2523410141974,"Craft/Trades"
"24","Mother_Occ",8,33021.6816347633,-6.71090265609172,"Plant Operator"
"25","Mother_Occ",9,33160.1258503085,-6.31978581220859,"Elementary"
"26","Mother_Edu",0,35709.5565694371,0.882575750079553,"Unknown"
"27","Mother_Edu",1,38010.6846863387,7.38346105546169,"Basic"
"28","Mother_Edu",2,36134.0612050718,2.08183794134781,"Primary"
"29","Mother_Edu",3,37027.905954246,4.60702641413182,"Lower Secondary"
"30","Mother_Edu",4,33535.7290229678,-5.25867446953228,"Upper Secondary"
"31","Mother_Edu",5,41058.629277778,15.9941672827992,"Post Secondary"
"32","Mother_Edu",6,32844.9249818143,-7.2102554384704,"Tertiary"
"33","Father_Edu",0,34142.6589379941,-3.54404513750556,"Unknown"
"34","Father_Edu",1,38897.9077829114,9.88994278880848,"Basic"
"35","Father_Edu",2,34630.8272105702,-2.16492768357732,"Primary"
"36","Father_Edu",3,38442.844001729,8.60434837693229,"Lower Secondary"
"37","Father_Edu",4,32319.5068824593,-8.69460686427345,"Upper Secondary"
"38","Father_Edu",5,47828.5313188628,35.1197241670563,"Post Secondary"
"39","Father_Edu",6,32568.5984576564,-7.99090169071124,"Tertiary"
