"","var","cat","value","value2","class"
"1","Sex",1,37161.9818012415,1.63584028994585,"Male"
"2","Sex",2,35908.3753933865,-1.79269969849328,"Female"
"3","Birth_Area",1,36570.5592232959,0.0183342323453957,"Local"
"4","Birth_Area",2,37432.1103535658,2.37462603470564,"European Union"
"5","Birth_Area",3,37058.0796437542,1.35167398415943,"Other"
"6","Father_Occ",1,40102.4818848292,9.67793552766813,"Manager"
"7","Father_Occ",2,39249.1980094168,7.34425418238243,"Professional"
"8","Father_Occ",3,38208.2461084968,4.49731179601372,"Technician"
"9","Father_Occ",4,36255.200827534,-0.844152481016124,"Clerical"
"10","Father_Occ",5,36087.9689087432,-1.30152196901906,"Service"
"11","Father_Occ",6,34678.5309593934,-5.15625208230684,"Agriculture"
"12","Father_Occ",7,35827.7000846348,-2.01334193548404,"Craft/Trades"
"13","Father_Occ",8,35967.946443305,-1.62977637142748,"Plant Operator"
"14","Father_Occ",9,34798.2336374215,-4.82887227970622,"Elementary"
"15","Father_Occ",10,37260.342204166,1.90485022208443,"Armed forces"
"16","Mother_Occ",1,38762.4538928067,6.01303757605498,"Manager"
"17","Mother_Occ",2,41117.0940588085,12.4528403059528,"Professional"
"18","Mother_Occ",3,38535.7555814096,5.39303099259595,"Technician"
"19","Mother_Occ",4,37466.3118847916,2.46816521633293,"Clerical"
"20","Mother_Occ",5,35289.8130998068,-3.48443128632682,"Service"
"21","Mother_Occ",6,36487.1081181128,-0.20989964505587,"Agriculture"
"22","Mother_Occ",7,36517.0243774046,-0.128080430792323,"Craft/Trades"
"23","Mother_Occ",8,36366.7344049234,-0.539114689459737,"Plant Operator"
"24","Mother_Occ",9,33841.7569116553,-7.44478001737637,"Elementary"
"25","Mother_Edu",2,51887.9981836462,41.9106312619171,"Primary"
"26","Mother_Edu",3,35740.855637299,-2.2508564046181,"Lower Secondary"
"27","Mother_Edu",4,30810.3162583535,-15.7355923786572,"Upper Secondary"
"28","Mother_Edu",5,54858.7854423543,50.0355601469363,"Post Secondary"
"29","Mother_Edu",6,30669.1360836034,-16.1217118749141,"Tertiary"
"30","Father_Edu",1,39369.4432706988,7.67311791835468,"Basic"
"31","Father_Edu",2,49174.6686614122,34.4898341835828,"Primary"
"32","Father_Edu",3,36361.5415128066,-0.553316944782097,"Lower Secondary"
"33","Father_Edu",4,32559.1844768955,-10.9525403902416,"Upper Secondary"
"34","Father_Edu",5,50001.0562291273,36.7499557050643,"Post Secondary"
"35","Father_Edu",6,33540.4292643358,-8.26889345679699,"Tertiary"
