"","var","cat","value","value2","class"
"1","Sex",1,24668.8753853703,0.58869594070471,"Male"
"2","Sex",2,24372.811876233,-0.618519298519828,"Female"
"3","Birth_Area",1,24630.7568245164,0.433265412659622,"Local"
"4","Birth_Area",3,23479.6816023992,-4.26030710386843,"Other"
"5","Father_Occ",0,23559.2133459541,-3.93601204602304,"Dead/unknown/not working"
"6","Father_Occ",1,27080.8077988681,10.4234829904111,"Manager"
"7","Father_Occ",2,26297.6613241642,7.23016017409239,"Professional"
"8","Father_Occ",3,26108.4731986321,6.45873518866222,"Technician"
"9","Father_Occ",4,24862.8166480652,1.37950210429439,"Clerical"
"10","Father_Occ",5,23746.8317357564,-3.17098774435173,"Service"
"11","Father_Occ",6,22450.9526432958,-8.45500600506003,"Agriculture"
"12","Father_Occ",7,23852.732527875,-2.73917144093754,"Craft/Trades"
"13","Father_Occ",8,23999.5923660887,-2.14034237470699,"Plant Operator"
"14","Father_Occ",9,23385.9498653963,-4.64250341586444,"Elementary"
"15","Father_Occ",10,25515.5345352676,4.04099518272633,"Armed forces"
"16","Mother_Occ",0,22938.5760924905,-6.46669457625093,"Dead/unknown/not working"
"17","Mother_Occ",1,26635.5404430042,8.60788086134632,"Manager"
"18","Mother_Occ",2,26787.5435253011,9.22768178815602,"Professional"
"19","Mother_Occ",3,26284.789345767,7.17767397433953,"Technician"
"20","Mother_Occ",4,25484.1343993141,3.91295940166277,"Clerical"
"21","Mother_Occ",5,23335.7498458742,-4.84719675599622,"Service"
"22","Mother_Occ",6,23513.0277287075,-4.12433644012191,"Agriculture"
"23","Mother_Occ",7,24389.7173204836,-0.549586419947218,"Craft/Trades"
"24","Mother_Occ",8,23850.3449536994,-2.74890690593297,"Plant Operator"
"25","Mother_Occ",9,23044.8170566297,-6.03349120271635,"Elementary"
"26","Mother_Occ",10,26317.8264086595,7.31238441501246,"Armed forces"
"27","Mother_Edu",0,24322.329837369,-0.824362588026545,"Unknown"
"28","Mother_Edu",1,23965.0493860779,-2.28119327524122,"Low"
"29","Mother_Edu",2,24120.8307483204,-1.64598620418315,"Medium"
"30","Mother_Edu",3,25597.2052762326,4.37401212013586,"High"
"31","Father_Edu",0,24145.4360293401,-1.5456568177654,"Unknown"
"32","Father_Edu",1,23391.0864703113,-4.62155862685827,"Low"
"33","Father_Edu",2,24428.07639724,-0.393175175083087,"Medium"
"34","Father_Edu",3,25574.7440396037,4.28242519262416,"High"
