"","var","cat","value","value2","class"
"1","Sex",1,16456.7813806945,0.819432608807801,"Male"
"2","Sex",2,16201.3478195169,-0.745433941426327,"Female"
"3","Birth_Area",1,16566.5000782543,1.49160395134825,"Local"
"4","Birth_Area",2,15167.5931095003,-7.07854130364861,"European Union"
"5","Birth_Area",3,12614.8393069375,-22.7175161439095,"Other"
"6","Father_Occ",0,15850.9828823646,-2.89188003878778,"Dead/unknown/not working"
"7","Father_Occ",1,18186.3949137762,11.4155905697068,"Manager"
"8","Father_Occ",2,17242.7483448483,5.63451409662609,"Professional"
"9","Father_Occ",3,18703.9505740799,14.5862997629699,"Technician"
"10","Father_Occ",4,17471.509990479,7.0359800808682,"Clerical"
"11","Father_Occ",5,17343.245467229,6.25019116147006,"Service"
"12","Father_Occ",6,15744.6396302848,-3.54337233782456,"Agriculture"
"13","Father_Occ",7,16201.5337502448,-0.744294871151538,"Craft/Trades"
"14","Father_Occ",8,16416.4058178077,0.572079177578772,"Plant Operator"
"15","Father_Occ",9,15276.6323814583,-6.4105323366113,"Elementary"
"16","Father_Occ",10,16177.5138512516,-0.891448347386799,"Armed forces"
"17","Mother_Occ",0,16322.1943081361,-0.00509024155515192,"Dead/unknown/not working"
"18","Mother_Occ",1,18446.7749433856,13.0107607454908,"Manager"
"19","Mother_Occ",2,18140.1262295757,11.1321340188329,"Professional"
"20","Mother_Occ",3,17104.6966576249,4.78876592421176,"Technician"
"21","Mother_Occ",4,18135.763223462,11.1054048674469,"Clerical"
"22","Mother_Occ",5,16606.2081966015,1.73486840684048,"Service"
"23","Mother_Occ",6,15572.4506244006,-4.59825649002511,"Agriculture"
"24","Mother_Occ",7,16131.9132482566,-1.17081202210697,"Craft/Trades"
"25","Mother_Occ",8,16595.3564870738,1.66838741203928,"Plant Operator"
"26","Mother_Occ",9,15428.1210394452,-5.48246504376694,"Elementary"
"27","Mother_Occ",10,16927.5966158818,3.70379521757715,"Armed forces"
"28","Mother_Edu",0,16008.2106127567,-1.92865337849409,"Unknown"
"29","Mother_Edu",1,15813.7356080857,-3.12006858745683,"Low"
"30","Mother_Edu",2,16861.7005254605,3.30009498642465,"Medium"
"31","Mother_Edu",3,17447.2300571904,6.88723355253333,"High"
"32","Father_Edu",0,16048.3154986288,-1.68295820001882,"Unknown"
"33","Father_Edu",1,15458.1869372959,-5.29827187184219,"Low"
"34","Father_Edu",2,17347.5490227734,6.2765560999197,"Medium"
"35","Father_Edu",3,19860.6921291986,21.6728633238681,"High"
