"","var","cat","value","value2","class"
"1","Sex",1,25672.1925107489,1.81410213039308,"Male"
"2","Sex",2,24822.3438971136,-1.55633744183304,"Female"
"3","Birth_Area",1,25498.9747935597,1.12713289933461,"Local"
"4","Birth_Area",2,23394.7359385925,-7.21812976557661,"European Union"
"5","Birth_Area",3,20267.8613815315,-19.6190933906445,"Other"
"6","Father_Occ",0,23876.2730788068,-5.30838748108629,"Dead/unknown/not working"
"7","Father_Occ",1,26268.9376135178,4.18075105660724,"Manager"
"8","Father_Occ",2,27860.122789111,10.4912790689061,"Professional"
"9","Father_Occ",3,28790.8162367013,14.1823435420855,"Technician"
"10","Father_Occ",4,28272.7434541483,12.1277034807921,"Clerical"
"11","Father_Occ",5,26426.4417328647,4.80540126856047,"Service"
"12","Father_Occ",6,23345.0128091144,-7.41532818487067,"Agriculture"
"13","Father_Occ",7,24531.4591216504,-2.70996591453911,"Craft/Trades"
"14","Father_Occ",8,25431.6560856598,0.860151658891752,"Plant Operator"
"15","Father_Occ",9,23873.8245363153,-5.31809822765366,"Elementary"
"16","Father_Occ",10,29074.3084357119,15.3066535787587,"Armed forces"
"17","Mother_Occ",0,24930.6730419949,-1.12671170511322,"Dead/unknown/not working"
"18","Mother_Occ",1,25056.5070341266,-0.627662980661256,"Manager"
"19","Mother_Occ",2,28346.1139378849,12.4186856367331,"Professional"
"20","Mother_Occ",3,26797.4204226235,6.27667654789168,"Technician"
"21","Mother_Occ",4,27887.7922125517,10.6010140478294,"Clerical"
"22","Mother_Occ",5,25953.5442238828,2.92992315127333,"Service"
"23","Mother_Occ",6,24346.4746439729,-3.44360128654331,"Agriculture"
"24","Mother_Occ",7,26059.6908595779,3.35089321072316,"Craft/Trades"
"25","Mother_Occ",8,24389.297398713,-3.27376926604927,"Plant Operator"
"26","Mother_Occ",9,24333.0725081592,-3.49675321051454,"Elementary"
"27","Mother_Occ",10,26202.6520314669,3.91786712030643,"Armed forces"
"28","Mother_Edu",0,24968.1009405634,-0.978275303127447,"Unknown"
"29","Mother_Edu",1,23244.7303860062,-7.81304119142204,"Basic"
"30","Mother_Edu",2,25358.9239718238,0.571701232885047,"Primary"
"31","Mother_Edu",3,26329.7812166154,4.42205248877613,"Lower Secondary"
"32","Mother_Edu",4,28157.5268645073,11.6707626246529,"Upper Secondary"
"33","Mother_Edu",5,27517.2329489303,9.13140218293285,"Post Secondary"
"34","Mother_Edu",6,29146.1541611778,15.5915886511,"Tertiary"
"35","Father_Edu",0,24525.3689893435,-2.73411894908882,"Unknown"
"36","Father_Edu",1,22586.8116390098,-10.4223004696137,"Basic"
"37","Father_Edu",2,24970.3615502376,-0.969309884838964,"Primary"
"38","Father_Edu",3,27026.6586911376,7.18581932846709,"Lower Secondary"
"39","Father_Edu",4,28686.1428483284,13.767216277452,"Upper Secondary"
"40","Father_Edu",5,26947.7282630213,6.87278682584554,"Post Secondary"
"41","Father_Edu",6,29210.6015462619,15.8471824280727,"Tertiary"
