"","var","cat","value","value2","class"
"1","Sex",1,33719.8431673443,0.973967852202335,"Male"
"2","Sex",2,33234.6421770292,-0.478965038226363,"Female"
"3","Birth_Area",1,33662.912440844,0.803488964773422,"Local"
"4","Birth_Area",2,32495.3282788053,-2.69283825885397,"European Union"
"5","Birth_Area",3,28360.4343460629,-15.0747655698725,"Other"
"6","Father_Occ",0,32231.6674813084,-3.48236971539778,"Dead/unknown/not working"
"7","Father_Occ",1,38074.5743650835,14.0141971849217,"Manager"
"8","Father_Occ",2,34230.9394686348,2.50444417262199,"Professional"
"9","Father_Occ",3,35470.5209468724,6.21636714072658,"Technician"
"10","Father_Occ",4,35815.4616972721,7.24929116913685,"Clerical"
"11","Father_Occ",5,34203.1625443552,2.42126625731198,"Service"
"12","Father_Occ",6,34548.0605403356,3.4540622577436,"Agriculture"
"13","Father_Occ",7,32925.3521511357,-1.40513308048523,"Craft/Trades"
"14","Father_Occ",8,31710.5482934576,-5.04285953915144,"Plant Operator"
"15","Father_Occ",9,32045.3575302247,-4.04027429751302,"Elementary"
"16","Father_Occ",10,33276.7181650774,-0.352968619932071,"Armed forces"
"17","Mother_Occ",0,30070.4021830516,-9.95427208051933,"Dead/unknown/not working"
"18","Mother_Occ",1,35298.4607861577,5.70113351255034,"Manager"
"19","Mother_Occ",2,34079.7177953484,2.05161133169828,"Professional"
"20","Mother_Occ",3,37390.5907717332,11.9660103940273,"Technician"
"21","Mother_Occ",4,34075.5822850899,2.03922755880153,"Clerical"
"22","Mother_Occ",5,33382.3549328372,-0.036639640024049,"Service"
"23","Mother_Occ",6,32643.3666687179,-2.24953775031526,"Agriculture"
"24","Mother_Occ",7,33151.5061374562,-0.727915655984106,"Craft/Trades"
"25","Mother_Occ",8,34490.7746758675,3.28251991074985,"Plant Operator"
"26","Mother_Occ",9,33446.5069026338,0.155463238502023,"Elementary"
"27","Mother_Occ",10,34636.6700493533,3.71940316311364,"Armed forces"
"28","Mother_Edu",0,34180.0449700153,2.35204075123146,"Unknown"
"29","Mother_Edu",1,34414.7396764588,3.0548333361761,"None"
"30","Mother_Edu",2,33383.1914538855,-0.0341346802879627,"Low"
"31","Mother_Edu",3,33150.0996678789,-0.732127324857615,"Medium"
"32","Mother_Edu",4,34546.0811504346,3.44813498070276,"High"
"33","Father_Edu",0,34422.8706082611,3.07918138673924,"Unknown"
"34","Father_Edu",1,34483.712922787,3.26137351261879,"None"
"35","Father_Edu",2,32581.1891655804,-2.43572809443332,"Low"
"36","Father_Edu",3,34089.4301915227,2.0806950725154,"Medium"
"37","Father_Edu",4,34563.8346972505,3.50129792266986,"High"
