"","var","cat","value","value2","class"
"1","Sex",1,30322.7200813562,1.54957525619281,"Male"
"2","Sex",2,29474.9527205654,-1.28956368561029,"Female"
"3","Birth_Area",1,30267.5493569933,1.36481070965485,"Local"
"4","Birth_Area",2,28792.5502063057,-3.57490237854098,"European Union"
"5","Birth_Area",3,27455.4478926239,-8.05280448178755,"Other"
"6","Father_Occ",0,27969.9418709882,-6.32978475154616,"Dead/unknown/not working"
"7","Father_Occ",1,32118.4865626953,7.56352528936999,"Manager"
"8","Father_Occ",2,31569.4532280618,5.72483463813744,"Professional"
"9","Father_Occ",3,31265.3659638428,4.7064585676728,"Technician"
"10","Father_Occ",4,30104.8512466776,0.819941253576445,"Clerical"
"11","Father_Occ",5,29678.6474758418,-0.607398107300028,"Service"
"12","Father_Occ",6,28052.7273386725,-6.05253953547816,"Agriculture"
"13","Father_Occ",7,29113.5457025603,-2.49990131609189,"Craft/Trades"
"14","Father_Occ",8,28820.8366136626,-3.48017233305323,"Plant Operator"
"15","Father_Occ",9,27863.8787871684,-6.68498577188208,"Elementary"
"16","Father_Occ",10,31203.8883073557,4.50057235801675,"Armed forces"
"17","Mother_Occ",0,29347.860653908,-1.71518992734788,"Dead/unknown/not working"
"18","Mother_Occ",1,31334.3884695358,4.93761217518029,"Manager"
"19","Mother_Occ",2,32425.6978123182,8.59236346184994,"Professional"
"20","Mother_Occ",3,32787.2617177576,9.80322650206656,"Technician"
"21","Mother_Occ",4,31705.495105001,6.18043343610708,"Clerical"
"22","Mother_Occ",5,29545.2312349851,-1.05420375517491,"Service"
"23","Mother_Occ",6,28940.2855742325,-3.08014254752879,"Agriculture"
"24","Mother_Occ",7,31028.208379503,3.91222731487383,"Craft/Trades"
"25","Mother_Occ",8,28882.2981832421,-3.27433999780665,"Plant Operator"
"26","Mother_Occ",9,27910.8385642145,-6.52771935909453,"Elementary"
"27","Mother_Occ",10,31349.4555927525,4.9880713674586,"Armed forces"
"28","Mother_Edu",0,28617.5288060856,-4.16104203901369,"Unknown"
"29","Mother_Edu",1,28401.0056163884,-4.88616953047449,"Basic"
"30","Mother_Edu",2,29001.8188208053,-2.87407016890168,"Primary"
"31","Mother_Edu",3,31951.4360046616,7.00407966018106,"Lower Secondary"
"32","Mother_Edu",4,30774.009567487,3.0609256730158,"Upper Secondary"
"33","Mother_Edu",5,34523.0029562631,15.61615440075,"Post Secondary"
"34","Mother_Edu",6,32008.3736030854,7.19476139719318,"Tertiary"
"35","Father_Edu",0,27545.831910305,-7.7501120260697,"Unknown"
"36","Father_Edu",1,28376.1483434026,-4.9694155422759,"Basic"
"37","Father_Edu",2,28643.7515370684,-4.07322316306127,"Primary"
"38","Father_Edu",3,31481.2871213668,5.42956987749433,"Lower Secondary"
"39","Father_Edu",4,29920.3920727538,0.202194866912777,"Upper Secondary"
"40","Father_Edu",5,37813.1961837557,26.6348797613455,"Post Secondary"
"41","Father_Edu",6,34487.9551536977,15.4987807134743,"Tertiary"
