"","var","cat","value","value2","class"
"1","Sex",0,5533.72759379637,-1.98571141128843,"Female"
"2","Sex",1,5758.81494696934,2.00107261767192,"Male"
"3","Birth_Area",1,7288.51255546729,29.0953269537298,"Guatemala"
"4","Birth_Area",2,5462.55239027693,-3.24637826195443,"El progreso"
"5","Birth_Area",3,6210.36000441883,9.99891255856028,"Sacatepequez"
"6","Birth_Area",4,5263.9135362677,-6.7647021461329,"Chimaltenengo"
"7","Birth_Area",5,6431.23410312921,13.9110707350922,"Escuintla"
"8","Birth_Area",6,5493.5418976408,-2.69748703691656,"Santa Rosa"
"9","Birth_Area",7,5093.48226456878,-9.78340871701035,"Solola"
"10","Birth_Area",8,5425.02571828894,-3.91105681644781,"Totonicapan"
"11","Birth_Area",9,4950.75372589853,-12.3114399476684,"Quetzaltenango"
"12","Birth_Area",10,5338.17127104374,-5.44943699747579,"Suchitepequez"
"13","Birth_Area",11,4856.56040021645,-13.9798075443827,"Retalhuleu"
"14","Birth_Area",12,4948.29645194239,-12.354963586047,"San Marcos"
"15","Birth_Area",13,4956.64924846971,-12.2070174872421,"Huehuetenango"
"16","Birth_Area",14,5577.96940731875,-1.20209317118356,"Quiche"
"17","Birth_Area",15,6878.55810505863,21.8341466499456,"Baja Verapaz"
"18","Birth_Area",16,9311.82879152496,64.9326351886893,"Alta Verapaz"
"19","Birth_Area",17,5874.64513617106,4.0526758813436,"Peten"
"20","Birth_Area",18,6614.16794920876,17.1512249491132,"Izabal"
"21","Birth_Area",19,5382.52510752321,-4.66383458842533,"Zacapa"
"22","Birth_Area",20,5088.10397812356,-9.87866980654165,"Chiquimula"
"23","Birth_Area",21,5010.63865146522,-11.2507483474553,"Jalapa"
"24","Birth_Area",22,5496.6857558134,-2.64180250655468,"Jutiapa"
"25","Birth_Area",23,6944.38693809532,23.0001177118297,"Other country"
"26","Mother_Edu",0,4899.30664684059,-13.2226790298892,"Years of Education"
"27","Mother_Edu",3,6330.90855239766,12.1340881649262,"Years of Education"
"28","Mother_Edu",6,7079.66363177328,25.3961606446879,"Years of Education"
"29","Mother_Edu",9,7255.81280629058,28.5161436458674,"Years of Education"
"30","Mother_Edu",12,8222.65031551653,45.6409278065296,"Years of Education"
"31","Mother_Edu",15,9490.51838815725,68.097614562042,"Years of Education"
"32","Father_Edu",0,4748.64239370214,-15.8912689336766,"Years of Education"
"33","Father_Edu",3,6309.33027348769,11.7518901581611,"Years of Education"
"34","Father_Edu",6,7999.19178779818,41.6829938005354,"Years of Education"
"35","Father_Edu",9,9075.24680406532,60.7422563164523,"Years of Education"
"36","Father_Edu",12,12442.5465846466,120.384420999187,"Years of Education"
"37","Father_Edu",15,13903.2048584225,146.255839342196,"Years of Education"
"38","Ethnicity",1,5857.33171561497,3.74601774357322,"White"
"39","Ethnicity",2,5909.00854591793,4.6613262174385,"Mix-race"
"40","Ethnicity",3,5222.60735272503,-7.49632402769944,"Indigenous"
"41","Ethnicity",4,5487.79610018089,-2.79925754167346,"Afro-descendant"
