"","var","cat","value","value2","class"
"1","Sex",1,15274.3163518828,-0.337145018006169,"Male"
"2","Sex",2,15368.016369143,0.274234962405259,"Female"
"3","Birth_Area",1,15337.1280181256,0.0726926362439997,"Local"
"4","Birth_Area",2,14839.6624874624,-3.17320288528693,"European Union"
"5","Birth_Area",3,15073.1733961877,-1.64957568673574,"Other"
"6","Father_Occ",0,14194.7053359849,-7.38146134848047,"Dead/unknown/not working"
"7","Father_Occ",1,17589.079942986,14.7663753480151,"Manager"
"8","Father_Occ",2,17809.2859003291,16.2031895325106,"Professional"
"9","Father_Occ",3,16912.5956620242,10.3524066152815,"Technician"
"10","Father_Occ",4,15686.5777353259,2.35280492975058,"Clerical"
"11","Father_Occ",5,15060.6179138534,-1.73149851629424,"Service"
"12","Father_Occ",6,15997.4071461344,4.38092493066473,"Agriculture"
"13","Father_Occ",7,15184.5573488665,-0.922810411785946,"Craft/Trades"
"14","Father_Occ",8,15723.8383353014,2.59592532128519,"Plant Operator"
"15","Father_Occ",9,14736.3573382085,-3.84725505703702,"Elementary"
"16","Father_Occ",10,16379.3461593943,6.87302550090016,"Armed forces"
"17","Mother_Occ",0,15018.5031659037,-2.00629156894648,"Dead/unknown/not working"
"18","Mother_Occ",1,15676.9505522248,2.28998885790911,"Manager"
"19","Mother_Occ",2,17879.7086961327,16.6626887810473,"Professional"
"20","Mother_Occ",3,16665.3702542562,8.73929415940323,"Technician"
"21","Mother_Occ",4,17846.6441862038,16.4469473113686,"Clerical"
"22","Mother_Occ",5,16190.5192144055,5.64095514164077,"Service"
"23","Mother_Occ",6,15138.7669263607,-1.22158674537933,"Agriculture"
"24","Mother_Occ",7,14911.1775334102,-2.70657685181197,"Craft/Trades"
"25","Mother_Occ",8,15185.9644701657,-0.913629135010581,"Plant Operator"
"26","Mother_Occ",9,15085.1123019973,-1.57167593587734,"Elementary"
"27","Mother_Occ",10,16688.5169864885,8.89032346668179,"Armed forces"
"28","Mother_Edu",0,14071.9614996439,-8.18234833283833,"Unknown"
"29","Mother_Edu",1,12913.9728193548,-15.7380683569436,"None"
"30","Mother_Edu",2,14891.3212556046,-2.83613638756023,"Low"
"31","Mother_Edu",3,17127.1308547878,11.7522198254026,"Medium"
"32","Mother_Edu",4,17854.5569620791,16.49857710719,"High"
"33","Father_Edu",0,13902.6946601806,-9.28679164054847,"Unknown"
"34","Father_Edu",1,13657.0571361851,-10.8895433688828,"None"
"35","Father_Edu",2,14755.5955423849,-3.72172836839371,"Low"
"36","Father_Edu",3,15880.4662427246,3.61790130135816,"Medium"
"37","Father_Edu",4,17101.9138185118,11.5876820633479,"High"
