"","var","cat","value","value2","class"
"1","Sex",1,15076.3730550172,0.140430812190075,"Male"
"2","Sex",2,15051.9893912869,-0.0215305946959887,"Female"
"3","Birth_Area",1,15054.2129198126,-0.00676145203324552,"Local"
"4","Birth_Area",2,14908.5832065139,-0.974064541149389,"European Union"
"5","Birth_Area",3,14632.4058138186,-2.80849268803645,"Other"
"6","Father_Occ",0,14636.0068792521,-2.78457365641191,"Dead/unknown/not working"
"7","Father_Occ",1,16377.002585669,8.7794848506668,"Manager"
"8","Father_Occ",2,15563.7943316431,3.37798512649526,"Professional"
"9","Father_Occ",3,15748.824165899,4.60699207981773,"Technician"
"10","Father_Occ",4,15765.8883383364,4.72033589089834,"Clerical"
"11","Father_Occ",5,15041.3315475507,-0.0923222273636384,"Service"
"12","Father_Occ",6,14710.7547830717,-2.28808240725751,"Agriculture"
"13","Father_Occ",7,14963.8006742716,-0.607298543158109,"Craft/Trades"
"14","Father_Occ",8,15089.5750977181,0.228121547809906,"Plant Operator"
"15","Father_Occ",9,15499.2671040974,2.94938175206561,"Elementary"
"16","Father_Occ",10,16034.7215177586,6.50598223340448,"Armed forces"
"17","Mother_Occ",0,14147.9430142001,-6.02639617777096,"Dead/unknown/not working"
"18","Mother_Occ",1,17316.5113547192,15.0198990763687,"Manager"
"19","Mother_Occ",2,17607.3946860656,16.9520071510903,"Professional"
"20","Mother_Occ",3,16425.4616194633,9.10135991326929,"Technician"
"21","Mother_Occ",4,16132.9475878625,7.15842038555797,"Clerical"
"22","Mother_Occ",5,15445.8834532569,2.59479635052479,"Service"
"23","Mother_Occ",6,14840.0652144475,-1.42917541024757,"Agriculture"
"24","Mother_Occ",7,15108.7769004585,0.355663947548322,"Craft/Trades"
"25","Mother_Occ",8,14694.5773498037,-2.39553631085755,"Plant Operator"
"26","Mother_Occ",9,14335.4892354637,-4.78067485434693,"Elementary"
"27","Mother_Occ",10,15174.3027690946,0.790900505480224,"Armed forces"
"28","Mother_Edu",0,14181.5942160219,-5.80287783980675,"Unknown"
"29","Mother_Edu",1,14585.9185844114,-3.11727061248234,"Low"
"30","Mother_Edu",2,15225.9656534016,1.13405621492204,"Medium"
"31","Mother_Edu",3,16091.9307201534,6.885977750452,"High"
"32","Father_Edu",0,14587.2055537169,-3.10872229252377,"Unknown"
"33","Father_Edu",1,14488.9725849435,-3.76120626708614,"Low"
"34","Father_Edu",2,15736.4057467842,4.52450633635485,"Medium"
"35","Father_Edu",3,16687.6536885309,10.8428946083949,"High"
