"","var","cat","value","value2","class"
"1","Sex",1,35699.5291304543,4.12901307747806,"Male"
"2","Sex",2,33077.0791270882,-3.5201951150914,"Female"
"3","Birth_Area",1,34734.0555573063,1.31290281571761,"Local"
"4","Birth_Area",2,31861.7318009473,-7.06514152474705,"European Union"
"5","Birth_Area",3,29986.8238605754,-12.5339059089672,"Other"
"6","Father_Occ",1,36587.447056129,6.71890766562348,"Manager"
"7","Father_Occ",2,34370.0247536195,0.251091378956104,"Professional"
"8","Father_Occ",3,37215.516206431,8.55087078553933,"Technician"
"9","Father_Occ",4,34210.4239341259,-0.214435092261226,"Clerical"
"10","Father_Occ",5,34424.125286658,0.408892763161518,"Service"
"11","Father_Occ",6,36041.3269631371,5.12597499423676,"Agriculture"
"12","Father_Occ",7,32801.3068042208,-4.32457266610429,"Craft/Trades"
"13","Father_Occ",8,34791.3924482194,1.48014406536807,"Plant Operator"
"14","Father_Occ",9,32112.1729798354,-6.33465029904275,"Elementary"
"15","Father_Occ",10,33942.1666805101,-0.9968925573951,"Armed forces"
"16","Mother_Occ",1,39935.2717564065,16.4839015041252,"Manager"
"17","Mother_Occ",2,36912.6583510227,7.66748967787299,"Professional"
"18","Mother_Occ",3,38569.2101260027,12.4993489668311,"Technician"
"19","Mother_Occ",4,37541.1982787035,9.50082596950946,"Clerical"
"20","Mother_Occ",5,31739.8634127578,-7.42060937815053,"Service"
"21","Mother_Occ",6,39841.7657726659,16.2111616097651,"Agriculture"
"22","Mother_Occ",7,31157.3084067249,-9.11981604331099,"Craft/Trades"
"23","Mother_Occ",8,32234.0132876199,-5.97926435105734,"Plant Operator"
"24","Mother_Occ",9,31479.3417051228,-8.18050366701239,"Elementary"
"25","Mother_Occ",10,38050.0515988321,10.9850582637944,"Armed forces"
"26","Mother_Edu",1,33353.9170120552,-2.71270951384646,"Basic"
"27","Mother_Edu",2,33300.3985308423,-2.86881315907213,"Primary"
"28","Mother_Edu",3,36473.8451095073,6.38755151405711,"Lower Secondary"
"29","Mother_Edu",4,36594.8703069509,6.74055993389541,"Upper Secondary"
"30","Mother_Edu",5,39505.1016815227,15.2291738804237,"Post Secondary"
"31","Mother_Edu",6,35975.2812371922,4.93333166172937,"Tertiary"
"32","Father_Edu",1,32331.2405037516,-5.69567030075311,"Basic"
"33","Father_Edu",2,32630.5406645893,-4.82266633904619,"Primary"
"34","Father_Edu",3,34962.7775243341,1.98004306310594,"Lower Secondary"
"35","Father_Edu",4,34575.5985898934,0.850712752323204,"Upper Secondary"
"36","Father_Edu",5,41827.8836094862,22.0043049716266,"Post Secondary"
"37","Father_Edu",6,41527.99633834,21.1295885162681,"Tertiary"
