"","var","cat","value","value2","class"
"1","Sex",1,9440.13919408771,1.45805463773448,"Male"
"2","Sex",2,9211.48544508809,-0.999405372352612,"Female"
"3","Birth_Area",1,9309.96897237044,0.0590479922108642,"Local"
"4","Birth_Area",2,9719.04528879905,4.4556025778901,"European Union"
"5","Birth_Area",3,9453.09480830393,1.59729531925299,"Other"
"6","Father_Occ",0,9246.24394538287,-0.625837806289368,"Dead/unknown/not working"
"7","Father_Occ",1,11644.8267443796,25.1529711360776,"Manager"
"8","Father_Occ",2,10741.6767356994,15.4463512396111,"Professional"
"9","Father_Occ",3,9866.10503744239,6.03612969789408,"Technician"
"10","Father_Occ",4,10821.3839173144,16.3030055135633,"Clerical"
"11","Father_Occ",5,9412.67216618556,1.16285229375016,"Service"
"12","Father_Occ",6,9381.71943418768,0.83018728641693,"Agriculture"
"13","Father_Occ",7,9108.21273203484,-2.10933059147496,"Craft/Trades"
"14","Father_Occ",8,8520.70232530791,-8.42360856136659,"Plant Operator"
"15","Father_Occ",9,9026.25021366726,-2.99022413507782,"Elementary"
"16","Father_Occ",10,9366.98677322962,0.671847765175769,"Armed forces"
"17","Mother_Occ",0,9990.3714002416,7.37168452047666,"Dead/unknown/not working"
"18","Mother_Occ",1,10130.639072557,8.87921368599937,"Manager"
"19","Mother_Occ",2,9804.03574320843,5.36903891498916,"Professional"
"20","Mother_Occ",3,10036.6835363173,7.86942498126317,"Technician"
"21","Mother_Occ",4,9735.47848449579,4.6322186248142,"Clerical"
"22","Mother_Occ",5,9294.44328254518,-0.107814620108101,"Service"
"23","Mother_Occ",6,8875.497298735,-4.61044362183866,"Agriculture"
"24","Mother_Occ",7,9211.16352942308,-1.00286516637235,"Craft/Trades"
"25","Mother_Occ",8,9157.91492149121,-1.57515547500665,"Plant Operator"
"26","Mother_Occ",9,8914.2902457326,-4.1935157720347,"Elementary"
"27","Mother_Occ",10,9852.26061526605,5.88733653788698,"Armed forces"
"28","Mother_Edu",0,8842.19550561015,-4.96835520311194,"Unknown"
"29","Mother_Edu",1,8930.26114473779,-4.02186826657234,"Basic"
"30","Mother_Edu",2,9360.08122814445,0.597630303319519,"Primary"
"31","Mother_Edu",3,9162.9065697256,-1.52150765171876,"Lower Secondary"
"32","Mother_Edu",4,9194.43571796326,-1.18264760116132,"Upper Secondary"
"33","Mother_Edu",5,9526.63652294682,2.38768613330625,"Post Secondary"
"34","Mother_Edu",6,10118.9029738529,8.75307976794296,"Tertiary"
"35","Father_Edu",0,9189.46524473928,-1.23606784566896,"Unknown"
"36","Father_Edu",1,8818.14323050686,-5.2268574340027,"Basic"
"37","Father_Edu",2,9266.63349757179,-0.406700751475796,"Primary"
"38","Father_Edu",3,9085.15051702119,-2.3571921349136,"Lower Secondary"
"39","Father_Edu",4,9032.70284310722,-2.92087439173019,"Upper Secondary"
"40","Father_Edu",5,10563.4864057602,13.5312476739555,"Post Secondary"
"41","Father_Edu",6,10824.7441900514,16.3391201012757,"Tertiary"
