"","var","cat","value","value2","class"
"1","Sex",1,50965.5834926342,1.54810677415955,"Male"
"2","Sex",2,49644.2293816757,-1.08467007544675,"Female"
"3","Birth_Area",1,55489.5586384732,10.5620546125024,"Local"
"4","Birth_Area",2,48546.329001141,-3.272218955095,"European Union"
"5","Birth_Area",3,39554.623995742,-21.1880468019785,"Other"
"6","Father_Occ",0,48627.8619191476,-3.10976592510967,"Dead/unknown/not working"
"7","Father_Occ",1,62916.4528756005,25.3600221291734,"Manager"
"8","Father_Occ",2,60360.464096226,20.2672555268057,"Professional"
"9","Father_Occ",3,55761.7895365863,11.1044703058851,"Technician"
"10","Father_Occ",4,53329.5768780669,6.25832563689505,"Clerical"
"11","Father_Occ",5,47207.119314731,-5.94057275208837,"Service"
"12","Father_Occ",6,48199.9854018437,-3.96230301558798,"Agriculture"
"13","Father_Occ",7,48068.8617670189,-4.22356475257419,"Craft/Trades"
"14","Father_Occ",8,48995.4154096773,-2.37742149689544,"Plant Operator"
"15","Father_Occ",9,51344.5839154193,2.30325903109393,"Elementary"
"16","Father_Occ",10,47524.4415098958,-5.30831337334368,"Armed forces"
"17","Mother_Occ",0,49455.570225677,-1.46057041454625,"Dead/unknown/not working"
"18","Mother_Occ",1,56492.9646331067,12.5613249455025,"Manager"
"19","Mother_Occ",2,58996.0916414316,17.5487653178353,"Professional"
"20","Mother_Occ",3,51716.1058291247,3.04351047876627,"Technician"
"21","Mother_Occ",4,52203.8962231786,4.01542500665457,"Clerical"
"22","Mother_Occ",5,49182.9947094637,-2.00367275396016,"Service"
"23","Mother_Occ",6,51708.2038892475,3.02776599043935,"Agriculture"
"24","Mother_Occ",7,55249.0661450576,10.0828771808678,"Craft/Trades"
"25","Mother_Occ",8,51542.7274748605,2.69805689176496,"Plant Operator"
"26","Mother_Occ",9,47359.0166687578,-5.63791971314771,"Elementary"
"27","Mother_Occ",10,56173.0225089684,11.9238454003455,"Armed forces"
"28","Mother_Edu",0,48525.0610865243,-3.31459493347795,"Unknown"
"29","Mother_Edu",1,48151.2490380384,-4.05940943792876,"Low"
"30","Mother_Edu",2,53525.2266396176,6.64815464531135,"Medium"
"31","Mother_Edu",3,57695.901460908,14.9581572597994,"High"
"32","Father_Edu",0,48872.4799393008,-2.62236844769262,"Unknown"
"33","Father_Edu",1,48267.0126226705,-3.8287523543209,"Low"
"34","Father_Edu",2,53129.4266363692,5.85952949404853,"Medium"
"35","Father_Edu",3,55434.417412308,10.4521866047497,"High"
