"","var","cat","value","value2","class"
"1","Sex",1,35442.1940403301,1.34623592941379,"Male"
"2","Sex",2,34585.4157503636,-1.10370423555864,"Female"
"3","Birth_Area",1,35153.1342541571,0.519675326143627,"Local"
"4","Birth_Area",2,33130.4029320192,-5.26428391638902,"European Union"
"5","Birth_Area",3,31828.9923145745,-8.98564121516439,"Other"
"6","Father_Occ",0,33320.0690002645,-4.7219376361808,"Dead/unknown/not working"
"7","Father_Occ",1,38249.1596024753,9.37269709553676,"Manager"
"8","Father_Occ",2,35449.0777907602,1.36591987432901,"Professional"
"9","Father_Occ",3,35638.5586947573,1.90773668112028,"Technician"
"10","Father_Occ",4,35952.9288934683,2.80667189634693,"Clerical"
"11","Father_Occ",5,35121.8535967376,0.430228919883945,"Service"
"12","Father_Occ",6,34546.2385440541,-1.21573066341408,"Agriculture"
"13","Father_Occ",7,34498.9826978591,-1.35085779837826,"Craft/Trades"
"14","Father_Occ",8,34560.6340599293,-1.1745669773691,"Plant Operator"
"15","Father_Occ",9,33697.4735954203,-3.64275684116637,"Elementary"
"16","Father_Occ",10,35129.7966376292,0.452941884416518,"Armed forces"
"17","Mother_Occ",0,35043.4384601295,0.206002425156328,"Dead/unknown/not working"
"18","Mother_Occ",1,35530.0391145946,1.59742713985389,"Manager"
"19","Mother_Occ",2,36482.7512572682,4.32168821337397,"Professional"
"20","Mother_Occ",3,36099.2205206047,3.22498984081142,"Technician"
"21","Mother_Occ",4,36641.7663078187,4.77638852936117,"Clerical"
"22","Mother_Occ",5,35252.9767919414,0.805173040493997,"Service"
"23","Mother_Occ",6,35106.7696690302,0.387096734149566,"Agriculture"
"24","Mother_Occ",7,35171.4589476516,0.572074416000092,"Craft/Trades"
"25","Mother_Occ",8,34123.3402084202,-2.42499988778928,"Plant Operator"
"26","Mother_Occ",9,33129.5552351085,-5.26670788853409,"Elementary"
"27","Mother_Edu",0,33240.9206788081,-4.94826065813058,"Unknown"
"28","Mother_Edu",1,33336.8954514306,-4.67382273991372,"None"
"29","Mother_Edu",2,34354.2677668064,-1.76466721232958,"Low"
"30","Mother_Edu",3,35583.658934335,1.75075192826074,"Medium"
"31","Mother_Edu",4,37243.97984451,6.49840593889176,"High"
"32","Father_Edu",0,33829.602646419,-3.2649364962857,"Unknown"
"33","Father_Edu",1,33597.44841047,-3.92877683138819,"None"
"34","Father_Edu",2,34412.215433036,-1.5989670345533,"Low"
"35","Father_Edu",3,35567.3265261145,1.70404973778876,"Medium"
"36","Father_Edu",4,36461.1791309581,4.26000315516251,"High"
